q0 (),q1,q2,q3
1.000000,0.000000,0.000000,0.000000
1.000000,0.000011,0.000014,0.000025
1.000000,0.000032,0.000040,0.000074
1.000000,0.000062,0.000078,0.000144
1.000000,0.000100,0.000126,0.000234
1.000000,0.000145,0.000183,0.000340
1.000000,0.000196,0.000248,0.000463
1.000000,0.000254,0.000321,0.000599
1.000000,0.000316,0.000400,0.000748
0.999999,0.000383,0.000484,0.000907
0.999999,0.000454,0.000575,0.001077
0.999999,0.000529,0.000669,0.001255
0.999998,0.000607,0.000768,0.001442
0.999998,0.000687,0.000871,0.001635
0.999998,0.000771,0.000977,0.001835
0.999997,0.000856,0.001086,0.002039
0.999996,0.000944,0.001197,0.002249
0.999996,0.001033,0.001311,0.002463
0.999995,0.001124,0.001427,0.002681
0.999994,0.001216,0.001544,0.002902
0.999993,0.001309,0.001663,0.003125
0.999992,0.001403,0.001784,0.003351
0.999991,0.001498,0.001905,0.003579
0.999989,0.001593,0.002028,0.003809
0.999988,0.001689,0.002151,0.004040
0.999987,0.001786,0.002275,0.004272
0.999985,0.001882,0.002399,0.004505
0.999984,0.001979,0.002524,0.004739
0.999982,0.002076,0.002649,0.004974
0.999980,0.002174,0.002774,0.005209
0.999978,0.002271,0.002900,0.005444
0.999976,0.002368,0.003026,0.005679
0.999975,0.002465,0.003151,0.005914
0.999972,0.002562,0.003277,0.006148
0.999970,0.002659,0.003403,0.006383
0.999968,0.002756,0.003528,0.006617
0.999966,0.002852,0.003653,0.006851
0.999963,0.002949,0.003778,0.007084
0.999961,0.003044,0.003903,0.007316
0.999958,0.003140,0.004027,0.007548
0.999956,0.003235,0.004151,0.007779
0.999953,0.003330,0.004275,0.008010
0.999951,0.003424,0.004398,0.008239
0.999948,0.003518,0.004521,0.008468
0.999945,0.003612,0.004644,0.008696
0.999942,0.003705,0.004766,0.008923
0.999939,0.003798,0.004888,0.009149
0.999936,0.003891,0.005009,0.009374
0.999933,0.003983,0.005130,0.009598
0.999930,0.004074,0.005250,0.009821
0.999926,0.004165,0.005370,0.010044
0.999923,0.004256,0.005489,0.010265
0.999920,0.004346,0.005608,0.010485
0.999916,0.004435,0.005726,0.010704
0.999913,0.004525,0.005844,0.010922
0.999910,0.004613,0.005961,0.011139
0.999906,0.004702,0.006078,0.011355
0.999902,0.004789,0.006194,0.011570
0.999899,0.004877,0.006310,0.011784
0.999895,0.004964,0.006425,0.011997
0.999891,0.005050,0.006540,0.012208
0.999888,0.005136,0.006654,0.012419
0.999884,0.005221,0.006767,0.012629
0.999880,0.005306,0.006881,0.012837
0.999876,0.005391,0.006993,0.013045
0.999872,0.005474,0.007105,0.013251
0.999868,0.005558,0.007216,0.013456
0.999864,0.005641,0.007327,0.013661
0.999860,0.005724,0.007438,0.013864
0.999856,0.005806,0.007548,0.014066
0.999852,0.005887,0.007657,0.014267
0.999847,0.005968,0.007766,0.014467
0.999843,0.006049,0.007874,0.014666
0.999839,0.006129,0.007982,0.014864
0.999835,0.006209,0.008089,0.015061
0.999830,0.006289,0.008196,0.015257
0.999826,0.006367,0.008302,0.015451
0.999821,0.006446,0.008408,0.015645
0.999817,0.006524,0.008513,0.015838
0.999813,0.006601,0.008617,0.016030
0.999808,0.006679,0.008722,0.016221
0.999804,0.006755,0.008825,0.016410
0.999799,0.006831,0.008928,0.016599
0.999794,0.006907,0.009031,0.016787
0.999790,0.006983,0.009133,0.016973
0.999785,0.007057,0.009235,0.017159
0.999781,0.007132,0.009336,0.017344
0.999776,0.007206,0.009436,0.017528
0.999771,0.007280,0.009536,0.017711
0.999766,0.007353,0.009636,0.017892
0.999762,0.007426,0.009735,0.018073
0.999757,0.007498,0.009834,0.018253
0.999752,0.007570,0.009932,0.018432
0.999747,0.007642,0.010029,0.018610
0.999742,0.007713,0.010126,0.018787
0.999738,0.007784,0.010223,0.018963
0.999733,0.007854,0.010319,0.019138
0.999728,0.007924,0.010415,0.019313
0.999723,0.007993,0.010510,0.019486
0.999718,0.008062,0.010605,0.019658
0.999713,0.008131,0.010699,0.019830
0.999708,0.008200,0.010793,0.020000
0.999703,0.008267,0.010886,0.020170
0.999698,0.008335,0.010979,0.020339
0.999693,0.008402,0.011071,0.020506
0.999688,0.008469,0.011163,0.020673
0.999683,0.008535,0.011255,0.020839
0.999678,0.008602,0.011346,0.021005
0.999673,0.008667,0.011436,0.021169
0.999668,0.008732,0.011527,0.021332
