ref_mag_x (uT),ref_mag_y (uT),ref_mag_z (uT)
27.652757,0.000000,-16.617507
27.653588,-0.001647,-16.616125
27.655249,-0.004916,-16.613359
27.657740,-0.009780,-16.609210
27.661059,-0.016219,-16.603677
27.665204,-0.024160,-16.596759
27.670175,-0.033449,-16.588454
27.675968,-0.043946,-16.578762
27.682582,-0.055523,-16.567682
27.690013,-0.068067,-16.555212
27.698260,-0.081473,-16.541350
27.707295,-0.095647,-16.526136
27.717031,-0.110505,-16.509710
27.727388,-0.125970,-16.492199
27.738294,-0.141972,-16.473718
27.749686,-0.158449,-16.454371
27.761505,-0.175344,-16.434251
27.773697,-0.192606,-16.413445
27.786215,-0.210188,-16.392028
27.799016,-0.228049,-16.370070
27.812062,-0.246152,-16.347634
27.825317,-0.264461,-16.324776
27.838749,-0.282947,-16.301549
27.852331,-0.301581,-16.277999
27.866036,-0.320339,-16.254167
27.879842,-0.339198,-16.230092
27.893728,-0.358138,-16.205808
27.907675,-0.377140,-16.181346
27.921667,-0.396187,-16.156734
27.935688,-0.415266,-16.131999
27.949726,-0.434361,-16.107162
27.963768,-0.453463,-16.082244
27.977803,-0.472558,-16.057265
27.991821,-0.491639,-16.032241
28.005815,-0.510695,-16.007187
28.019776,-0.529720,-15.982118
28.033697,-0.548705,-15.957045
28.047572,-0.567646,-15.931981
28.061396,-0.586536,-15.906935
28.075163,-0.605369,-15.881916
28.088871,-0.624143,-15.856933
28.102514,-0.642851,-15.831992
28.116089,-0.661492,-15.807102
28.129594,-0.680062,-15.782268
28.143026,-0.698557,-15.757494
28.156382,-0.716976,-15.732787
28.169662,-0.735316,-15.708150
28.182862,-0.753576,-15.683588
28.195982,-0.771753,-15.659103
28.209020,-0.789846,-15.634699
28.221976,-0.807854,-15.610380
28.234848,-0.825776,-15.586146
28.247636,-0.843611,-15.562001
28.260339,-0.861358,-15.537947
28.272957,-0.879016,-15.513985
28.285490,-0.896585,-15.490116
28.297937,-0.914065,-15.466343
28.310298,-0.931454,-15.442667
28.322573,-0.948753,-15.419087
28.334762,-0.965962,-15.395606
28.346865,-0.983080,-15.372224
28.358883,-1.000108,-15.348942
28.370816,-1.017044,-15.325761
28.382663,-1.033891,-15.302680
28.394426,-1.050647,-15.279700
28.406104,-1.067312,-15.256822
28.417698,-1.083888,-15.234045
28.429208,-1.100373,-15.211371
28.440635,-1.116769,-15.188799
28.451979,-1.133075,-15.166329
28.463241,-1.149292,-15.143961
28.474421,-1.165420,-15.121695
28.485519,-1.181460,-15.099532
28.496537,-1.197411,-15.077470
28.507474,-1.213275,-15.055511
28.518331,-1.229051,-15.033653
28.529109,-1.244740,-15.011898
28.539808,-1.260343,-14.990243
28.550429,-1.275859,-14.968690
28.560973,-1.291289,-14.947238
28.571439,-1.306633,-14.925887
28.581828,-1.321893,-14.904637
28.592142,-1.337068,-14.883486
28.602380,-1.352159,-14.862436
28.612544,-1.367165,-14.841486
28.622633,-1.382089,-14.820635
28.632649,-1.396930,-14.799883
28.642591,-1.411688,-14.779230
28.652461,-1.426364,-14.758675
28.662258,-1.440959,-14.738219
28.671985,-1.455472,-14.717860
28.681640,-1.469905,-14.697599
28.691225,-1.484257,-14.677435
28.700740,-1.498530,-14.657367
28.710186,-1.512723,-14.637396
28.719564,-1.526838,-14.617522
28.728873,-1.540873,-14.597742
28.738114,-1.554831,-14.578059
28.747289,-1.568711,-14.558470
28.756397,-1.582514,-14.538975
28.765439,-1.596241,-14.519575
28.774415,-1.609890,-14.500269
28.783327,-1.623465,-14.481056
28.792174,-1.636963,-14.461936
28.800957,-1.650387,-14.442909
28.809676,-1.663736,-14.423975
28.818333,-1.677011,-14.405132
28.826927,-1.690212,-14.386381
28.835460,-1.703339,-14.367721
28.843931,-1.716394,-14.349152
28.852341,-1.729377,-14.330673
28.860691,-1.742287,-14.312284
28.868980,-1.755125,-14.293986
28.877211,-1.767893,-14.275776
28.885382,-1.780589,-14.257655
28.893494,-1.793216,-14.239623
28.901549,-1.805772,-14.221679
28.909546,-1.818258,-14.203823
28.917486,-1.830675,-14.186055
28.925369,-1.843024,-14.168373
28.933196,-1.855304,-14.150778
28.940967,-1.867516,-14.133269
28.948683,-1.879660,-14.115847
28.956344,-1.891737,-14.098510
28.963951,-1.903747,-14.081258
