gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
0.129274,0.293092,0.320569
0.158874,0.569511,0.564860
0.164187,0.859507,0.837070
0.336141,1.106403,1.138900
0.361853,1.425864,1.421534
0.396075,1.705841,1.680004
0.529187,1.968518,1.895684
0.585621,2.286393,2.122349
0.554423,2.510543,2.318545
0.580298,2.921599,2.446323
0.600079,3.089091,2.508152
0.592390,3.500283,2.737629
0.705093,3.595645,2.822913
0.784271,3.820630,2.812175
0.703465,3.954103,2.928531
0.734767,4.100806,3.053060
0.720835,4.196648,3.141957
0.741809,4.415085,3.210882
0.750092,4.473891,3.240762
0.703809,4.707109,3.349569
0.709708,4.760571,3.339740
0.701896,4.757135,3.343656
0.833069,4.809317,3.397065
0.695192,4.888207,3.382427
0.809697,4.982620,3.423919
0.744961,4.905755,3.426593
0.769515,4.954622,3.494729
0.786970,5.060659,3.428406
0.796365,5.066128,3.497787
0.837043,5.069794,3.539399
0.815796,5.133526,3.445796
0.795452,5.066177,3.524455
0.766588,5.093441,3.451965
0.689816,5.139725,3.463754
0.786258,5.124680,3.434579
0.751827,5.117946,3.447952
0.672004,5.050023,3.384151
0.725071,5.044724,3.480078
0.710730,5.103349,3.423963
0.716759,5.043635,3.421188
0.647583,5.041527,3.370920
0.650599,5.139033,3.467865
0.701944,5.072238,3.274282
0.715692,5.085464,3.415903
0.662279,5.002965,3.319034
0.653530,5.006592,3.343958
0.665895,4.975052,3.375155
0.706495,4.936536,3.342938
0.730615,4.956709,3.333156
0.672158,4.938482,3.327007
0.578134,4.910904,3.297995
0.648274,4.926172,3.312026
0.685128,4.915519,3.267255
0.689154,4.868575,3.322889
0.652317,4.781059,3.253880
0.607467,4.766686,3.181160
0.659259,4.776037,3.205283
0.668221,4.788284,3.170835
0.668103,4.681782,3.122162
0.598159,4.711806,3.101912
0.614801,4.659012,3.202335
0.597495,4.650935,3.091038
0.604969,4.624292,3.154720
0.647137,4.534932,3.028947
0.546231,4.567764,3.061846
0.589323,4.621300,3.116004
0.479760,4.544604,3.046946
0.594641,4.488003,3.066623
0.587793,4.501197,2.965470
0.543537,4.595405,2.994890
0.549622,4.424156,3.021532
0.527400,4.427209,2.942963
0.450751,4.459326,2.950936
0.516342,4.384415,2.988050
0.512480,4.345080,2.890359
0.522087,4.245341,2.915593
0.506253,4.364781,2.843941
0.566400,4.356537,2.854536
0.448620,4.241250,2.847075
0.510840,4.241013,2.753946
0.481371,4.298543,2.791516
0.481837,4.254816,2.820462
0.434104,4.180666,2.789258
0.506427,4.157046,2.754637
0.436897,4.187546,2.738792
0.437859,4.110947,2.713230
0.490769,4.072520,2.687876
0.397270,4.026241,2.692829
0.452903,4.093901,2.649934
0.449145,4.047229,2.690300
0.378891,4.004253,2.575559
0.403269,4.006074,2.620256
0.417596,3.998003,2.558201
0.474892,3.919619,2.627410
0.444857,3.971754,2.600691
0.383773,3.974294,2.595245
0.374379,3.877205,2.636675
0.434192,3.901040,2.525742
0.443256,3.832851,2.569414
0.398384,3.831387,2.475747
0.365262,3.784152,2.513531
0.552825,3.732018,2.582382
0.415039,3.774212,2.471413
0.345376,3.741037,2.451114
0.443153,3.800043,2.545689
0.335205,3.767383,2.481346
0.389963,3.744692,2.461885
0.373247,3.724222,2.409320
0.357540,3.716138,2.450835
0.380078,3.656106,2.371133
0.329853,3.615748,2.395964
0.296067,3.583354,2.337265
0.361509,3.537811,2.345506
0.412074,3.575695,2.448378
0.344540,3.544751,2.306772
0.336149,3.547295,2.293657
0.379705,3.509336,2.366231
0.334140,3.539495,2.348427
0.365283,3.464571,2.309461
0.310634,3.450796,2.175144
0.322087,3.508060,2.347655
0.381775,3.407383,2.274928
0.305099,3.431970,2.131500
0.356157,3.362079,2.199866
0.284049,3.233247,2.164109
0.324456,3.328343,2.212868
0.247689,3.292927,2.147906
0.346713,3.299297,2.159215
0.230987,3.335242,2.182226
0.308429,3.274786,2.214204
0.310994,3.319152,2.043780
0.366488,3.268495,2.141247
0.221226,3.234533,2.228667
0.295671,3.131411,2.106517
0.302415,3.128229,2.058435
0.345716,3.137635,2.079087
0.269643,3.155872,2.123872
0.335164,3.161647,2.020434
0.320580,3.185857,2.037580
0.371492,3.107685,2.034143
0.285109,3.117540,2.036734
0.299130,3.154769,2.021137
0.266539,3.027482,1.983563
0.300758,3.135556,1.962062
0.235008,3.021204,1.926869
0.334153,2.952568,1.972529
0.301589,3.027924,1.971809
0.294826,2.945352,2.035806
0.238823,2.963027,1.921031
0.210867,2.965807,2.006326
0.237473,2.995080,1.994724
0.226503,2.947917,1.899283
0.255596,2.900675,1.872897
0.213368,2.957322,1.937252
0.280365,2.917242,1.817457
0.280196,2.919648,1.845494
0.181147,2.905097,1.909393
0.243014,2.889224,1.940132
0.244878,2.841070,1.749564
0.212619,2.858134,1.799390
0.211163,2.835516,1.768486
0.251886,2.812211,1.758339
0.207262,2.759325,1.785904
0.219080,2.736964,1.737040
0.268145,2.760189,1.790887
0.242346,2.723933,1.762034
0.253613,2.695253,1.664537
0.213169,2.684029,1.705081
0.233012,2.705144,1.661937
0.131684,2.695436,1.699202
0.158048,2.724971,1.715854
0.170379,2.614957,1.813371
0.272335,2.604670,1.687641
0.234488,2.646977,1.691675
0.262740,2.535674,1.727986
0.176092,2.577871,1.765297
0.142277,2.588560,1.587936
0.163348,2.573573,1.666871
0.124394,2.502873,1.642562
0.207255,2.544872,1.641565
0.196020,2.478076,1.623760
0.128883,2.506943,1.664674
0.102539,2.477672,1.659645
0.221894,2.417177,1.528191
0.216468,2.404107,1.619399
0.153882,2.454333,1.545665
0.231458,2.431820,1.505810
0.200219,2.452455,1.544810
0.175582,2.406498,1.592355
0.228350,2.443903,1.497745
0.180142,2.406725,1.583851
0.199734,2.402890,1.535148
0.191870,2.419558,1.580061
0.115354,2.378159,1.441897
0.141298,2.435656,1.555052
0.127396,2.286863,1.426870
0.179672,2.401136,1.442584
0.165820,2.388269,1.512268
0.108748,2.239610,1.442054
0.094916,2.261397,1.402591
0.076627,2.310795,1.481270
0.098103,2.254408,1.448453
0.207722,2.229302,1.414325
0.121571,2.284821,1.435270
0.177697,2.238859,1.418012
0.200227,2.312247,1.451993
0.153324,2.185313,1.385890
0.118510,2.246372,1.447823
0.205675,2.136956,1.452913
0.172932,2.162536,1.393876
0.106217,2.103306,1.358046
0.239662,2.194232,1.345184
0.130085,2.215681,1.272990
0.125850,2.058335,1.442801
0.171043,2.146493,1.358213
0.171319,2.069146,1.335465
0.134633,2.052410,1.367319
0.189971,2.054772,1.362033
0.124641,2.012258,1.325957
0.155825,2.061150,1.318513
0.152247,2.072396,1.329963
0.147103,1.998472,1.353372
0.132242,2.021314,1.329922
0.139492,2.036662,1.276532
0.191950,1.984818,1.242097
0.140465,1.985952,1.334764
0.176873,1.909034,1.280881
0.142630,2.009298,1.161548
0.057501,1.987017,1.200151
0.175153,1.914561,1.235007
0.131987,1.988835,1.258222
0.165356,1.922310,1.227700
0.173588,1.911327,1.236467
0.164081,1.902152,1.232352
0.124752,1.929106,1.263841
0.169045,1.869316,1.295747
0.098584,1.919856,1.195535
