ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
0.091302,0.286479,0.286479
0.173399,0.572967,0.572949
0.247125,0.859476,0.859397
0.313231,1.146018,1.145813
0.372395,1.432599,1.421476
0.425246,1.719223,1.668802
0.472352,2.005889,1.890488
0.514230,2.292597,2.088978
0.551352,2.579345,2.266479
0.584146,2.866132,2.424990
0.613003,3.144549,2.566326
0.638282,3.393620,2.692142
0.660320,3.616153,2.803926
0.679426,3.814691,2.903025
0.695883,3.991534,2.990658
0.709947,4.148762,3.067929
0.721854,4.288258,3.135837
0.731815,4.411723,3.195284
0.740026,4.520698,3.247089
0.746661,4.616576,3.291991
0.751881,4.700619,3.330658
0.755828,4.773966,3.363698
0.758635,4.837650,3.391656
0.760419,4.892603,3.415029
0.761288,4.939671,3.434265
0.761338,4.979618,3.449769
0.760657,5.013135,3.461907
0.759323,5.040846,3.471013
0.757408,5.063319,3.477384
0.754976,5.081064,3.481294
0.752084,5.094545,3.482986
0.748786,5.104180,3.482684
0.745128,5.110350,3.480587
0.741152,5.113395,3.476877
0.736897,5.113627,3.471718
0.732397,5.111326,3.465259
0.727683,5.106746,3.457634
0.722782,5.100117,3.448963
0.717721,5.091645,3.439358
0.712520,5.081519,3.428916
0.707201,5.069909,3.417727
0.701781,5.056969,3.405873
0.696277,5.042837,3.393426
0.690703,5.027639,3.380453
0.685073,5.011488,3.367014
0.679398,4.994489,3.353162
0.673688,4.976732,3.338947
0.667954,4.958303,3.324412
0.662203,4.939278,3.309597
0.656443,4.919725,3.294539
0.650680,4.899706,3.279270
0.644922,4.879277,3.263819
0.639172,4.858490,3.248213
0.633436,4.837389,3.232475
0.627717,4.816017,3.216627
0.622021,4.794411,3.200689
0.616349,4.772604,3.184679
0.610706,4.750628,3.168611
0.605092,4.728509,3.152501
0.599512,4.706273,3.136360
0.593966,4.683942,3.120202
0.588457,4.661536,3.104036
0.582985,4.639074,3.087871
0.577553,4.616572,3.071716
0.572162,4.594045,3.055579
0.566811,4.571507,3.039466
0.561503,4.548968,3.023384
0.556238,4.526442,3.007338
0.551016,4.503936,2.991333
0.545838,4.481460,2.975373
0.540704,4.459022,2.959462
0.535615,4.436629,2.943604
0.530571,4.414287,2.927802
0.525571,4.392003,2.912058
0.520617,4.369780,2.896376
0.515707,4.347624,2.880757
0.510842,4.325539,2.865203
0.506022,4.303528,2.849716
0.501247,4.281595,2.834298
0.496517,4.259742,2.818949
0.491831,4.237973,2.803672
0.487190,4.216289,2.788466
0.482592,4.194692,2.773333
0.478038,4.173185,2.758274
0.473528,4.151768,2.743289
