ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
6378137.000000,0.000000,0.000000
6378137.000000,0.000000,0.000000
6378137.000100,0.000079,-0.000100
6378137.000300,0.000231,-0.000300
6378137.000600,0.000446,-0.000600
6378137.000999,0.000720,-0.001000
6378137.001499,0.001046,-0.001500
6378137.002098,0.001420,-0.002101
6378137.002796,0.001836,-0.002801
6378137.003594,0.002291,-0.003602
6378137.004491,0.002781,-0.004503
6378137.005488,0.003303,-0.005504
6378137.006538,0.003854,-0.006606
6378137.007635,0.004431,-0.007809
6378137.008775,0.005032,-0.009112
6378137.009952,0.005655,-0.010515
6378137.011162,0.006297,-0.012019
6378137.012402,0.006958,-0.013624
6378137.013669,0.007635,-0.015329
6378137.014959,0.008328,-0.017134
6378137.016270,0.009035,-0.019041
6378137.017599,0.009754,-0.021048
6378137.018944,0.010486,-0.023156
6378137.020303,0.011228,-0.025364
6378137.021674,0.011982,-0.027673
6378137.023056,0.012744,-0.030083
6378137.024446,0.013516,-0.032593
6378137.025844,0.014297,-0.035205
6378137.027249,0.015086,-0.037916
6378137.028658,0.015882,-0.040729
6378137.030072,0.016686,-0.043642
6378137.031489,0.017496,-0.046656
6378137.032908,0.018314,-0.049771
6378137.034328,0.019138,-0.052986
6378137.035749,0.019968,-0.056302
6378137.037171,0.020804,-0.059718
6378137.038592,0.021646,-0.063236
6378137.040011,0.022494,-0.066854
6378137.041429,0.023348,-0.070572
6378137.042845,0.024207,-0.074391
6378137.044258,0.025072,-0.078311
6378137.045669,0.025942,-0.082331
6378137.047076,0.026817,-0.086452
6378137.048479,0.027698,-0.090674
6378137.049878,0.028584,-0.094996
6378137.051272,0.029476,-0.099418
6378137.052662,0.030372,-0.103941
6378137.054047,0.031274,-0.108565
6378137.055427,0.032181,-0.113289
6378137.056801,0.033094,-0.118114
6378137.058170,0.034012,-0.123039
6378137.059532,0.034935,-0.128065
6378137.060889,0.035863,-0.133191
6378137.062239,0.036797,-0.138418
6378137.063582,0.037736,-0.143745
6378137.064919,0.038681,-0.149172
6378137.066248,0.039631,-0.154700
6378137.067571,0.040587,-0.160328
6378137.068887,0.041548,-0.166057
6378137.070194,0.042515,-0.171886
6378137.071495,0.043487,-0.177815
