gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
0.276647,0.065299,0.289338
0.565547,0.207782,0.529841
0.859666,0.292945,0.830155
1.103668,0.363235,1.077357
1.292267,0.454539,1.401436
1.505337,0.448064,1.506998
1.768255,0.591746,1.697808
1.934439,0.647840,1.765681
2.141077,0.662861,1.879070
2.225358,0.714372,2.084581
2.315757,0.680248,2.270405
2.517594,0.788506,2.274541
2.641412,0.788080,2.407228
2.630442,0.848066,2.509520
2.821916,0.910438,2.618875
2.764671,0.843594,2.607373
2.846978,0.948197,2.686222
2.892210,0.893541,2.763359
2.962893,0.914325,2.781246
3.003434,0.943956,2.788039
3.025087,0.967674,2.790498
3.020408,0.973396,2.849636
3.082547,1.016687,2.926307
3.097748,0.937741,2.896322
3.145228,0.996990,2.909666
3.124136,1.049240,2.960791
3.042573,1.039078,2.968121
3.134308,0.997662,2.967131
3.159739,1.022941,2.970753
3.231723,1.033414,3.034556
3.117554,0.928748,2.998336
3.183160,1.090007,2.967590
3.163078,0.994447,2.969048
3.232933,1.006003,2.964804
3.124396,0.986818,2.953098
3.166197,1.067500,2.941911
3.125357,1.046824,2.894615
3.091972,0.978117,2.940494
3.091964,0.946602,3.045655
3.136268,0.951961,2.912873
3.065297,1.021869,2.883729
3.176462,1.025900,2.825527
3.073779,1.003877,2.890444
2.967800,1.038050,2.904993
3.017702,0.954802,2.876298
3.037881,1.047164,2.899653
3.016989,1.001194,2.873974
3.005879,1.024534,2.848669
2.949068,0.966173,2.750529
2.977768,0.962384,2.770311
2.914232,0.928779,2.843533
2.965598,0.959257,2.805480
2.960432,0.974094,2.803398
2.948223,1.026638,2.774106
2.916174,1.002591,2.789071
2.947470,0.944897,2.763944
2.852909,0.938454,2.684522
2.840768,0.895864,2.615980
2.852436,0.937723,2.701714
2.793998,1.003871,2.732204
2.853321,0.946413,2.660443
2.772274,0.970274,2.648141
2.791191,0.882292,2.722099
2.749642,0.902934,2.617409
2.746798,0.940977,2.644692
2.765180,0.940405,2.569878
2.751018,0.873178,2.612446
2.716108,0.905775,2.539847
2.717709,0.897692,2.546874
2.603154,0.950022,2.622957
2.686970,0.978183,2.551909
2.681066,0.907439,2.592707
2.591104,0.870854,2.518346
2.654368,0.881619,2.455350
2.710672,0.886445,2.450376
2.571550,0.920799,2.463230
2.620885,0.811507,2.474074
2.573681,0.873781,2.417348
2.579984,0.853257,2.390603
2.528138,0.878948,2.442275
2.536450,0.858727,2.419183
2.487332,0.924098,2.389127
2.563316,0.845333,2.348075
2.503167,0.924712,2.302154
2.540237,0.902294,2.375594
2.528457,0.898037,2.320398
2.442351,0.848511,2.377118
2.441824,0.844075,2.266923
2.339379,0.872601,2.255200
2.399154,0.785205,2.236711
2.523999,0.798453,2.263369
2.437358,0.855400,2.293601
2.369665,0.776407,2.205844
2.415038,0.772708,2.257372
2.356063,0.799947,2.193991
2.336097,0.855523,2.262038
2.304829,0.950663,2.176483
2.269284,0.815000,2.217825
2.334669,0.787043,2.118547
2.292328,0.825742,2.147501
2.354767,0.840903,2.125255
2.273073,0.773247,2.097785
2.297642,0.771393,2.113510
2.207716,0.844923,2.077909
