q0 (),q1,q2,q3
0.998895,0.033202,0.011268,0.031302
0.998885,0.033346,0.011323,0.031438
0.998875,0.033490,0.011376,0.031573
0.998866,0.033634,0.011430,0.031708
0.998856,0.033776,0.011484,0.031842
0.998846,0.033918,0.011537,0.031975
0.998837,0.034059,0.011590,0.032108
0.998827,0.034199,0.011643,0.032240
0.998817,0.034339,0.011695,0.032371
0.998808,0.034478,0.011747,0.032502
0.998798,0.034616,0.011799,0.032631
0.998789,0.034753,0.011851,0.032760
0.998779,0.034890,0.011903,0.032889
0.998769,0.035026,0.011954,0.033017
0.998760,0.035161,0.012005,0.033144
0.998750,0.035295,0.012056,0.033270
0.998741,0.035429,0.012106,0.033396
0.998731,0.035562,0.012157,0.033521
0.998722,0.035694,0.012207,0.033645
0.998712,0.035825,0.012257,0.033769
0.998703,0.035956,0.012307,0.033892
0.998693,0.036086,0.012356,0.034014
0.998684,0.036216,0.012405,0.034136
0.998674,0.036345,0.012454,0.034257
0.998665,0.036473,0.012503,0.034377
0.998656,0.036600,0.012551,0.034497
0.998646,0.036727,0.012600,0.034616
0.998637,0.036853,0.012648,0.034734
0.998627,0.036978,0.012696,0.034852
0.998618,0.037103,0.012743,0.034969
0.998609,0.037227,0.012791,0.035086
0.998600,0.037350,0.012838,0.035202
0.998590,0.037473,0.012885,0.035317
0.998581,0.037595,0.012932,0.035432
0.998572,0.037716,0.012978,0.035546
0.998563,0.037837,0.013025,0.035659
0.998553,0.037957,0.013071,0.035772
0.998544,0.038076,0.013117,0.035885
0.998535,0.038195,0.013162,0.035996
0.998526,0.038313,0.013208,0.036107
0.998517,0.038431,0.013253,0.036218
0.998508,0.038548,0.013298,0.036328
0.998499,0.038664,0.013343,0.036437
0.998490,0.038780,0.013388,0.036546
0.998480,0.038895,0.013432,0.036654
0.998471,0.039009,0.013476,0.036761
0.998462,0.039123,0.013520,0.036868
0.998454,0.039236,0.013564,0.036975
0.998445,0.039349,0.013608,0.037081
0.998436,0.039461,0.013651,0.037186
0.998427,0.039572,0.013694,0.037291
0.998418,0.039683,0.013737,0.037395
0.998409,0.039793,0.013780,0.037498
0.998400,0.039903,0.013823,0.037601
0.998391,0.040012,0.013865,0.037704
0.998383,0.040121,0.013907,0.037806
0.998374,0.040228,0.013949,0.037907
0.998365,0.040336,0.013991,0.038008
0.998356,0.040443,0.014033,0.038108
0.998348,0.040549,0.014074,0.038208
0.998339,0.040654,0.014115,0.038307
0.998330,0.040759,0.014156,0.038406
0.998322,0.040864,0.014197,0.038504
0.998313,0.040968,0.014238,0.038602
0.998304,0.041071,0.014278,0.038699
0.998296,0.041174,0.014318,0.038796
0.998287,0.041276,0.014358,0.038892
0.998279,0.041378,0.014398,0.038987
0.998270,0.041479,0.014438,0.039082
0.998262,0.041580,0.014477,0.039177
0.998253,0.041680,0.014517,0.039271
0.998245,0.041780,0.014556,0.039365
0.998237,0.041879,0.014595,0.039458
0.998228,0.041977,0.014633,0.039550
0.998220,0.042075,0.014672,0.039642
0.998212,0.042173,0.014710,0.039734
0.998203,0.042270,0.014749,0.039825
0.998195,0.042366,0.014787,0.039916
0.998187,0.042462,0.014824,0.040006
0.998179,0.042557,0.014862,0.040096
0.998170,0.042652,0.014899,0.040185
0.998162,0.042747,0.014937,0.040273
0.998154,0.042841,0.014974,0.040362
0.998146,0.042934,0.015011,0.040449
0.998138,0.043027,0.015047,0.040537
0.998130,0.043119,0.015084,0.040624
0.998122,0.043211,0.015120,0.040710
0.998114,0.043303,0.015157,0.040796
0.998106,0.043394,0.015193,0.040881
0.998098,0.043484,0.015228,0.040966
0.998090,0.043574,0.015264,0.041051
0.998082,0.043664,0.015300,0.041135
0.998074,0.043753,0.015335,0.041219
0.998066,0.043841,0.015370,0.041302
0.998058,0.043929,0.015405,0.041384
0.998050,0.044017,0.015440,0.041467
0.998043,0.044104,0.015475,0.041549
0.998035,0.044191,0.015509,0.041630
0.998027,0.044277,0.015543,0.041711
0.998019,0.044363,0.015578,0.041792
0.998012,0.044448,0.015612,0.041872
0.998004,0.044533,0.015645,0.041952
0.997996,0.044617,0.015679,0.042031
0.997989,0.044701,0.015713,0.042110
0.997981,0.044785,0.015746,0.042188
0.997974,0.044868,0.015779,0.042266
0.997966,0.044950,0.015812,0.042344
0.997959,0.045033,0.015845,0.042421
0.997951,0.045114,0.015878,0.042498
0.997944,0.045196,0.015910,0.042574
0.997936,0.045277,0.015943,0.042650
0.997929,0.045357,0.015975,0.042726
0.997922,0.045437,0.016007,0.042801
0.997914,0.045517,0.016039,0.042876
0.997907,0.045596,0.016071,0.042950
0.997900,0.045675,0.016102,0.043024
0.997892,0.045753,0.016134,0.043098
0.997885,0.045831,0.016165,0.043171
0.997878,0.045908,0.016196,0.043244
0.997871,0.045986,0.016227,0.043316
0.997863,0.046062,0.016258,0.043388
0.997856,0.046138,0.016289,0.043460
0.997849,0.046214,0.016319,0.043531
0.997842,0.046290,0.016350,0.043602
0.997835,0.046365,0.016380,0.043672
0.997828,0.046440,0.016410,0.043742
0.997821,0.046514,0.016440,0.043812
0.997814,0.046588,0.016470,0.043882
0.997807,0.046661,0.016499,0.043951
0.997800,0.046734,0.016529,0.044019
0.997793,0.046807,0.016558,0.044088
0.997786,0.046879,0.016587,0.044156
0.997779,0.046951,0.016616,0.044223
0.997773,0.047023,0.016645,0.044290
0.997766,0.047094,0.016674,0.044357
0.997759,0.047165,0.016703,0.044424
0.997752,0.047235,0.016731,0.044490
0.997746,0.047305,0.016760,0.044556
0.997739,0.047375,0.016788,0.044621
0.997732,0.047444,0.016816,0.044686
0.997725,0.047513,0.016844,0.044751
0.997719,0.047582,0.016872,0.044815
0.997712,0.047650,0.016899,0.044879
0.997706,0.047718,0.016927,0.044943
0.997699,0.047785,0.016954,0.045006
0.997693,0.047853,0.016982,0.045070
0.997686,0.047919,0.017009,0.045132
0.997680,0.047986,0.017036,0.045195
0.997673,0.048052,0.017063,0.045257
0.997667,0.048118,0.017089,0.045318
0.997660,0.048183,0.017116,0.045380
0.997654,0.048248,0.017142,0.045441
0.997648,0.048313,0.017169,0.045502
0.997641,0.048377,0.017195,0.045562
0.997635,0.048441,0.017221,0.045622
0.997629,0.048505,0.017247,0.045682
0.997622,0.048568,0.017273,0.045741
0.997616,0.048631,0.017299,0.045801
0.997610,0.048694,0.017324,0.045859
0.997604,0.048756,0.017350,0.045918
0.997598,0.048818,0.017375,0.045976
0.997592,0.048880,0.017400,0.046034
0.997585,0.048941,0.017425,0.046092
0.997579,0.049002,0.017450,0.046149
0.997573,0.049063,0.017475,0.046206
0.997567,0.049123,0.017500,0.046263
0.997561,0.049183,0.017524,0.046319
0.997555,0.049243,0.017549,0.046375
0.997549,0.049302,0.017573,0.046431
0.997543,0.049361,0.017597,0.046486
0.997537,0.049420,0.017621,0.046541
0.997532,0.049479,0.017645,0.046596
0.997526,0.049537,0.017669,0.046651
0.997520,0.049595,0.017693,0.046705
0.997514,0.049652,0.017716,0.046759
0.997508,0.049709,0.017740,0.046813
0.997503,0.049766,0.017763,0.046867
0.997497,0.049823,0.017786,0.046920
0.997491,0.049879,0.017810,0.046973
0.997485,0.049935,0.017833,0.047025
0.997480,0.049991,0.017855,0.047078
0.997474,0.050047,0.017878,0.047130
0.997468,0.050102,0.017901,0.047181
0.997463,0.050157,0.017923,0.047233
0.997457,0.050211,0.017946,0.047284
0.997452,0.050265,0.017968,0.047335
0.997446,0.050319,0.017991,0.047386
0.997441,0.050373,0.018013,0.047436
0.997435,0.050427,0.018035,0.047486
0.997430,0.050480,0.018057,0.047536
0.997424,0.050533,0.018078,0.047586
0.997419,0.050585,0.018100,0.047635
0.997413,0.050637,0.018122,0.047684
0.997408,0.050689,0.018143,0.047733
0.997403,0.050741,0.018164,0.047782
0.997397,0.050793,0.018186,0.047830
0.997392,0.050844,0.018207,0.047878
0.997387,0.050895,0.018228,0.047926
0.997382,0.050945,0.018249,0.047974
0.997376,0.050996,0.018270,0.048021
0.997371,0.051046,0.018290,0.048068
0.997366,0.051096,0.018311,0.048115
0.997361,0.051145,0.018331,0.048161
0.997356,0.051195,0.018352,0.048208
0.997351,0.051244,0.018372,0.048254
0.997345,0.051293,0.018392,0.048300
0.997340,0.051341,0.018412,0.048345
0.997335,0.051390,0.018432,0.048391
0.997330,0.051438,0.018452,0.048436
0.997325,0.051485,0.018472,0.048481
0.997320,0.051533,0.018492,0.048525
0.997315,0.051580,0.018511,0.048570
0.997310,0.051627,0.018531,0.048614
0.997305,0.051674,0.018550,0.048658
0.997301,0.051721,0.018570,0.048701
0.997296,0.051767,0.018589,0.048745
0.997291,0.051813,0.018608,0.048788
0.997286,0.051859,0.018627,0.048831
0.997281,0.051904,0.018646,0.048874
0.997276,0.051950,0.018665,0.048916
0.997272,0.051995,0.018684,0.048959
0.997267,0.052040,0.018702,0.049001
0.997262,0.052084,0.018721,0.049043
0.997257,0.052129,0.018739,0.049084
0.997253,0.052173,0.018758,0.049126
0.997248,0.052217,0.018776,0.049167
0.997243,0.052260,0.018794,0.049208
0.997239,0.052304,0.018812,0.049249
0.997234,0.052347,0.018830,0.049289
0.997229,0.052390,0.018848,0.049330
0.997225,0.052433,0.018866,0.049370
0.997220,0.052475,0.018883,0.049410
0.997216,0.052518,0.018901,0.049450
0.997211,0.052560,0.018919,0.049489
0.997207,0.052602,0.018936,0.049528
0.997202,0.052643,0.018953,0.049567
0.997198,0.052685,0.018971,0.049606
0.997193,0.052726,0.018988,0.049645
0.997189,0.052767,0.019005,0.049683
0.997185,0.052808,0.019022,0.049722
0.997180,0.052848,0.019039,0.049760
0.997176,0.052888,0.019056,0.049798
0.997172,0.052929,0.019073,0.049835
0.997167,0.052968,0.019089,0.049873
0.997163,0.053008,0.019106,0.049910
0.997159,0.053048,0.019122,0.049947
0.997154,0.053087,0.019139,0.049984
0.997150,0.053126,0.019155,0.050021
0.997146,0.053165,0.019171,0.050057
0.997142,0.053204,0.019188,0.050093
0.997138,0.053242,0.019204,0.050130
0.997134,0.053280,0.019220,0.050165
0.997129,0.053318,0.019236,0.050201
0.997125,0.053356,0.019251,0.050237
0.997121,0.053394,0.019267,0.050272
0.997117,0.053431,0.019283,0.050307
0.997113,0.053469,0.019298,0.050342
0.997109,0.053506,0.019314,0.050377
0.997105,0.053542,0.019329,0.050412
0.997101,0.053579,0.019345,0.050446
0.997097,0.053616,0.019360,0.050480
0.997093,0.053652,0.019375,0.050514
0.997089,0.053688,0.019390,0.050548
0.997085,0.053724,0.019405,0.050582
0.997081,0.053760,0.019420,0.050615
0.997077,0.053795,0.019435,0.050649
0.997073,0.053830,0.019450,0.050682
0.997070,0.053866,0.019465,0.050715
0.997066,0.053901,0.019480,0.050748
0.997062,0.053935,0.019494,0.050780
0.997058,0.053970,0.019509,0.050813
0.997054,0.054004,0.019523,0.050845
0.997050,0.054039,0.019538,0.050877
0.997047,0.054073,0.019552,0.050909
0.997043,0.054107,0.019566,0.050941
0.997039,0.054140,0.019580,0.050973
0.997036,0.054174,0.019594,0.051004
0.997032,0.054207,0.019608,0.051035
0.997028,0.054240,0.019622,0.051067
0.997025,0.054273,0.019636,0.051097
0.997021,0.054306,0.019650,0.051128
0.997017,0.054339,0.019664,0.051159
0.997014,0.054371,0.019677,0.051189
0.997010,0.054403,0.019691,0.051220
0.997006,0.054436,0.019705,0.051250
0.997003,0.054468,0.019718,0.051280
0.996999,0.054499,0.019731,0.051310
0.996996,0.054531,0.019745,0.051339
0.996992,0.054562,0.019758,0.051369
0.996989,0.054594,0.019771,0.051398
0.996985,0.054625,0.019784,0.051427
0.996982,0.054656,0.019797,0.051457
0.996979,0.054687,0.019810,0.051485
0.996975,0.054717,0.019823,0.051514
0.996972,0.054748,0.019836,0.051543
0.996968,0.054778,0.019849,0.051571
0.996965,0.054808,0.019862,0.051600
0.996962,0.054838,0.019874,0.051628
0.996958,0.054868,0.019887,0.051656
0.996955,0.054898,0.019899,0.051684
0.996952,0.054927,0.019912,0.051711
0.996948,0.054957,0.019924,0.051739
0.996945,0.054986,0.019937,0.051766
0.996942,0.055015,0.019949,0.051793
0.996939,0.055044,0.019961,0.051821
0.996935,0.055072,0.019973,0.051848
0.996932,0.055101,0.019985,0.051874
0.996929,0.055129,0.019997,0.051901
0.996926,0.055158,0.020009,0.051928
0.996922,0.055186,0.020021,0.051954
0.996919,0.055214,0.020033,0.051980
0.996916,0.055242,0.020045,0.052006
0.996913,0.055269,0.020057,0.052032
0.996910,0.055297,0.020068,0.052058
0.996907,0.055324,0.020080,0.052084
0.996904,0.055352,0.020091,0.052110
0.996901,0.055379,0.020103,0.052135
0.996898,0.055406,0.020114,0.052160
0.996895,0.055433,0.020126,0.052186
0.996892,0.055459,0.020137,0.052211
0.996889,0.055486,0.020148,0.052236
0.996886,0.055512,0.020159,0.052260
0.996883,0.055539,0.020170,0.052285
0.996880,0.055565,0.020182,0.052310
0.996877,0.055591,0.020193,0.052334
0.996874,0.055617,0.020203,0.052358
0.996871,0.055642,0.020214,0.052382
0.996868,0.055668,0.020225,0.052406
