ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
0.000000,0.000000,0.000000
0.002865,0.002698,0.001170
0.008594,0.007822,0.003393
0.017189,0.015127,0.006561
0.028648,0.024392,0.010580
0.042972,0.035416,0.015361
0.060161,0.048018,0.020827
0.080056,0.062032,0.026905
0.102376,0.077312,0.033533
0.126869,0.093723,0.040651
0.153304,0.111144,0.048207
0.181474,0.129465,0.056153
0.211191,0.148586,0.064447
0.242286,0.168419,0.073049
0.274606,0.188882,0.081924
0.308012,0.209901,0.091041
0.342378,0.231412,0.100371
0.377592,0.253353,0.109888
0.413551,0.275671,0.119568
0.450162,0.298317,0.129390
0.487342,0.321247,0.139336
0.525015,0.344421,0.149387
0.563114,0.367803,0.159528
0.601577,0.391361,0.169746
0.640348,0.415065,0.180027
0.679377,0.438888,0.190360
0.718618,0.462807,0.200735
0.758031,0.486801,0.211142
0.797579,0.510849,0.221572
0.837228,0.534935,0.232019
0.876949,0.559042,0.242475
0.916715,0.583157,0.252934
0.956501,0.607267,0.263391
0.996285,0.631359,0.273841
1.036048,0.655424,0.284279
1.075772,0.679452,0.294701
1.115441,0.703436,0.305103
1.155040,0.727367,0.315483
1.194557,0.751239,0.325837
1.233980,0.775046,0.336163
1.273299,0.798782,0.346458
1.312505,0.822443,0.356721
1.351589,0.846024,0.366948
1.390544,0.869522,0.377140
1.429363,0.892932,0.387294
1.468041,0.916253,0.397409
1.506572,0.939481,0.407484
1.544952,0.962615,0.417518
1.583177,0.985651,0.427509
1.621243,1.008588,0.437458
1.659147,1.031425,0.447363
1.696886,1.054161,0.457224
1.734458,1.076793,0.467041
1.771860,1.099321,0.476812
1.809092,1.121745,0.486538
1.846151,1.144063,0.496218
1.883036,1.166274,0.505852
1.919747,1.188379,0.515439
1.956281,1.210377,0.524980
1.992639,1.232268,0.534475
2.028821,1.254051,0.543923
2.064825,1.275726,0.553324
2.100651,1.297293,0.562679
2.136299,1.318753,0.571987
2.171770,1.340105,0.581248
2.207063,1.361350,0.590462
2.242178,1.382487,0.599630
2.277116,1.403516,0.608751
2.311876,1.424439,0.617826
2.346460,1.445254,0.626854
2.380868,1.465964,0.635837
2.415099,1.486566,0.644773
2.449155,1.507063,0.653663
2.483036,1.527455,0.662507
2.516742,1.547741,0.671306
2.550275,1.567922,0.680059
2.583634,1.587999,0.688767
2.616821,1.607971,0.697430
2.649836,1.627840,0.706048
2.682679,1.647606,0.714621
2.715352,1.667269,0.723150
2.747856,1.686830,0.731634
2.780190,1.706289,0.740074
2.812356,1.725647,0.748470
2.844354,1.744903,0.756822
2.876186,1.764059,0.765131
2.907851,1.783116,0.773396
2.939351,1.802072,0.781618
2.970687,1.820930,0.789797
3.001858,1.839688,0.797933
3.032867,1.858349,0.806027
3.063714,1.876912,0.814079
3.094399,1.895378,0.822088
3.124924,1.913748,0.830055
3.155289,1.932021,0.837981
3.185495,1.950198,0.845865
3.215543,1.968281,0.853708
3.245434,1.986268,0.861510
3.275168,2.004161,0.869271
3.304746,2.021961,0.876991
3.334169,2.039667,0.884671
3.363438,2.057280,0.892310
3.392553,2.074801,0.899910
3.421516,2.092231,0.907469
3.450327,2.109568,0.914989
3.478987,2.126815,0.922470
3.507496,2.143971,0.929911
3.535856,2.161038,0.937313
3.564068,2.178015,0.944677
3.592131,2.194902,0.952001
3.620047,2.211702,0.959288
3.647817,2.228413,0.966536
3.675440,2.245036,0.973746
3.702919,2.261572,0.980918
3.730254,2.278021,0.988053
3.757446,2.294384,0.995150
3.784494,2.310662,1.002210
3.811401,2.326853,1.009233
3.838166,2.342960,1.016219
3.864791,2.358982,1.023168
3.891277,2.374920,1.030081
3.917623,2.390775,1.036958
3.943831,2.406546,1.043798
3.969902,2.422235,1.050603
3.995835,2.437841,1.057372
4.021633,2.453365,1.064105
4.047295,2.468808,1.070803
4.072823,2.484170,1.077466
4.098216,2.499451,1.084094
4.123476,2.514652,1.090687
4.148604,2.529773,1.097246
4.173600,2.544815,1.103770
4.198464,2.559777,1.110260
4.223198,2.574662,1.116715
4.247802,2.589468,1.123137
4.272277,2.604196,1.129526
4.296624,2.618847,1.135880
4.320843,2.633421,1.142202
4.344934,2.647919,1.148490
4.368900,2.662341,1.154745
4.392739,2.676686,1.160967
4.416453,2.690957,1.167157
4.440043,2.705153,1.173314
4.463509,2.719274,1.179439
4.486852,2.733321,1.185531
4.510072,2.747294,1.191592
4.533170,2.761194,1.197621
4.556147,2.775021,1.203618
4.579004,2.788775,1.209584
4.601740,2.802458,1.215518
4.624358,2.816068,1.221421
4.646856,2.829607,1.227294
4.669236,2.843075,1.233135
4.691499,2.856472,1.238946
4.713645,2.869799,1.244726
4.735675,2.883056,1.250476
4.757589,2.896243,1.256196
4.779388,2.909361,1.261886
4.801073,2.922410,1.267546
4.822644,2.935391,1.273176
4.844101,2.948304,1.278776
4.865446,2.961148,1.284348
4.886679,2.973926,1.289890
4.907801,2.986636,1.295402
4.928811,2.999280,1.300886
4.949711,3.011857,1.306341
4.970502,3.024368,1.311768
4.991183,3.036814,1.317166
5.011756,3.049194,1.322536
5.032221,3.061509,1.327877
5.052579,3.073759,1.333191
5.072829,3.085946,1.338476
5.092974,3.098068,1.343734
5.113012,3.110127,1.348964
5.132945,3.122122,1.354167
5.152774,3.134054,1.359343
5.172499,3.145924,1.364491
5.192120,3.157731,1.369612
5.211638,3.169477,1.374706
5.231054,3.181161,1.379774
5.250367,3.192783,1.384815
5.269580,3.204345,1.389830
5.288691,3.215845,1.394818
5.307702,3.227286,1.399780
5.326614,3.238666,1.404716
5.345426,3.249987,1.409626
5.364139,3.261248,1.414511
5.382754,3.272450,1.419369
5.401272,3.283593,1.424202
5.419692,3.294678,1.429010
5.438015,3.305704,1.433793
5.456243,3.316673,1.438550
5.474374,3.327584,1.443283
5.492411,3.338438,1.447990
5.510353,3.349235,1.452673
5.528200,3.359975,1.457332
5.545954,3.370659,1.461966
5.563615,3.381287,1.466575
5.581183,3.391859,1.471161
5.598659,3.402375,1.475722
5.616043,3.412836,1.480259
5.633336,3.423243,1.484773
5.650538,3.433594,1.489263
5.667649,3.443892,1.493729
5.684671,3.454135,1.498172
5.701604,3.464324,1.502592
5.718447,3.474460,1.506988
5.735203,3.484543,1.511361
5.751870,3.494573,1.515711
5.768450,3.504550,1.520039
5.784943,3.514475,1.524344
5.801349,3.524348,1.528626
5.817669,3.534169,1.532885
5.833903,3.543939,1.537123
5.850052,3.553657,1.541338
5.866117,3.563324,1.545531
5.882097,3.572940,1.549702
5.897993,3.582506,1.553851
5.913806,3.592022,1.557978
5.929536,3.601487,1.562084
5.945183,3.610903,1.566168
5.960748,3.620270,1.570230
5.976231,3.629587,1.574272
5.991633,3.638856,1.578292
6.006954,3.648076,1.582291
6.022195,3.657247,1.586269
6.037356,3.666371,1.590226
6.052437,3.675446,1.594162
6.067439,3.684474,1.598078
6.082363,3.693454,1.601973
6.097207,3.702388,1.605847
6.111974,3.711274,1.609702
6.126664,3.720114,1.613536
6.141276,3.728907,1.617350
6.155812,3.737654,1.621144
6.170271,3.746355,1.624918
6.184655,3.755011,1.628672
6.198963,3.763621,1.632406
6.213196,3.772186,1.636121
6.227354,3.780706,1.639817
6.241438,3.789181,1.643493
6.255448,3.797612,1.647149
6.269384,3.805999,1.650787
6.283247,3.814341,1.654405
6.297038,3.822640,1.658005
6.310756,3.830895,1.661585
6.324402,3.839107,1.665147
6.337976,3.847275,1.668690
6.351479,3.855401,1.672214
6.364912,3.863484,1.675720
6.378273,3.871525,1.679208
6.391565,3.879524,1.682677
6.404787,3.887480,1.686128
6.417939,3.895395,1.689561
6.431023,3.903268,1.692976
6.444037,3.911100,1.696373
6.456984,3.918891,1.699752
6.469862,3.926641,1.703113
6.482673,3.934350,1.706457
6.495417,3.942019,1.709783
6.508093,3.949647,1.713092
6.520704,3.957236,1.716383
6.533248,3.964784,1.719657
6.545726,3.972293,1.722914
6.558138,3.979763,1.726154
6.570486,3.987193,1.729377
6.582768,3.994584,1.732583
6.594987,4.001937,1.735772
6.607141,4.009251,1.738944
6.619231,4.016527,1.742100
6.631258,4.023764,1.745239
6.643221,4.030963,1.748361
6.655122,4.038125,1.751468
6.666960,4.045249,1.754558
6.678737,4.052335,1.757631
6.690451,4.059385,1.760689
6.702104,4.066397,1.763730
6.713696,4.073373,1.766756
6.725226,4.080312,1.769766
6.736697,4.087214,1.772759
6.748107,4.094081,1.775738
6.759457,4.100911,1.778700
6.770748,4.107705,1.781647
6.781979,4.114464,1.784578
6.793152,4.121187,1.787495
6.804266,4.127875,1.790395
6.815321,4.134528,1.793281
6.826318,4.141146,1.796151
6.837258,4.147729,1.799007
6.848140,4.154278,1.801847
6.858966,4.160792,1.804673
6.869734,4.167272,1.807483
6.880446,4.173718,1.810279
6.891101,4.180131,1.813060
6.901701,4.186509,1.815827
6.912245,4.192854,1.818579
6.922733,4.199166,1.821316
