q0 (),q1,q2,q3
0.998962,0.009181,0.023597,0.037870
0.998951,0.009226,0.023726,0.038076
0.998939,0.009270,0.023855,0.038280
0.998928,0.009314,0.023982,0.038483
0.998917,0.009358,0.024109,0.038685
0.998905,0.009401,0.024236,0.038885
0.998894,0.009444,0.024362,0.039085
0.998883,0.009487,0.024487,0.039284
0.998872,0.009530,0.024611,0.039481
0.998860,0.009572,0.024735,0.039678
0.998849,0.009614,0.024858,0.039874
0.998838,0.009656,0.024981,0.040068
0.998827,0.009697,0.025103,0.040261
0.998815,0.009738,0.025224,0.040454
0.998804,0.009779,0.025345,0.040645
0.998793,0.009820,0.025465,0.040836
0.998782,0.009860,0.025584,0.041025
0.998771,0.009900,0.025703,0.041213
0.998759,0.009940,0.025822,0.041401
0.998748,0.009980,0.025939,0.041587
0.998737,0.010019,0.026056,0.041772
0.998726,0.010058,0.026173,0.041957
0.998715,0.010097,0.026289,0.042140
0.998704,0.010136,0.026404,0.042323
0.998692,0.010174,0.026519,0.042504
0.998681,0.010213,0.026633,0.042684
0.998670,0.010250,0.026746,0.042864
0.998659,0.010288,0.026859,0.043042
0.998648,0.010326,0.026972,0.043220
0.998637,0.010363,0.027083,0.043397
0.998626,0.010400,0.027195,0.043572
0.998615,0.010436,0.027305,0.043747
0.998604,0.010473,0.027415,0.043921
0.998593,0.010509,0.027525,0.044094
0.998582,0.010545,0.027634,0.044266
0.998571,0.010581,0.027742,0.044437
0.998560,0.010617,0.027850,0.044607
0.998549,0.010652,0.027957,0.044777
0.998538,0.010687,0.028064,0.044945
0.998527,0.010722,0.028170,0.045112
0.998516,0.010757,0.028276,0.045279
0.998505,0.010791,0.028381,0.045445
0.998494,0.010826,0.028485,0.045609
0.998484,0.010860,0.028589,0.045773
0.998473,0.010893,0.028693,0.045936
0.998462,0.010927,0.028796,0.046099
0.998451,0.010960,0.028898,0.046260
0.998440,0.010994,0.029000,0.046420
0.998430,0.011027,0.029101,0.046580
0.998419,0.011059,0.029202,0.046739
0.998408,0.011092,0.029302,0.046897
0.998398,0.011124,0.029402,0.047054
0.998387,0.011157,0.029502,0.047210
0.998376,0.011189,0.029600,0.047366
0.998366,0.011220,0.029699,0.047520
0.998355,0.011252,0.029796,0.047674
0.998344,0.011283,0.029894,0.047827
0.998334,0.011315,0.029990,0.047979
0.998323,0.011346,0.030087,0.048130
0.998313,0.011376,0.030182,0.048281
0.998302,0.011407,0.030278,0.048431
0.998292,0.011437,0.030373,0.048580
0.998281,0.011468,0.030467,0.048728
0.998271,0.011498,0.030561,0.048875
0.998261,0.011528,0.030654,0.049022
0.998250,0.011557,0.030747,0.049167
0.998240,0.011587,0.030839,0.049312
0.998230,0.011616,0.030931,0.049457
0.998219,0.011645,0.031022,0.049600
0.998209,0.011674,0.031113,0.049743
0.998199,0.011703,0.031204,0.049885
0.998189,0.011732,0.031294,0.050026
0.998178,0.011760,0.031383,0.050167
0.998168,0.011788,0.031473,0.050306
0.998158,0.011816,0.031561,0.050445
0.998148,0.011844,0.031649,0.050584
0.998138,0.011872,0.031737,0.050721
0.998128,0.011900,0.031824,0.050858
0.998118,0.011927,0.031911,0.050994
0.998108,0.011954,0.031998,0.051129
0.998098,0.011981,0.032083,0.051264
0.998088,0.012008,0.032169,0.051398
0.998078,0.012035,0.032254,0.051531
0.998068,0.012061,0.032339,0.051663
0.998058,0.012088,0.032423,0.051795
0.998048,0.012114,0.032506,0.051926
0.998038,0.012140,0.032590,0.052056
0.998029,0.012166,0.032673,0.052186
0.998019,0.012192,0.032755,0.052315
0.998009,0.012217,0.032837,0.052443
0.997999,0.012243,0.032919,0.052571
0.997990,0.012268,0.033000,0.052698
0.997980,0.012293,0.033081,0.052824
0.997970,0.012318,0.033161,0.052950
0.997961,0.012343,0.033241,0.053075
0.997951,0.012368,0.033320,0.053199
0.997942,0.012392,0.033399,0.053323
0.997932,0.012417,0.033478,0.053446
0.997923,0.012441,0.033556,0.053568
0.997913,0.012465,0.033634,0.053690
0.997904,0.012489,0.033712,0.053811
0.997894,0.012513,0.033789,0.053931
0.997885,0.012537,0.033865,0.054051
0.997876,0.012560,0.033942,0.054170
0.997866,0.012584,0.034018,0.054288
0.997857,0.012607,0.034093,0.054406
0.997848,0.012630,0.034168,0.054523
0.997839,0.012653,0.034243,0.054640
0.997829,0.012676,0.034317,0.054756
0.997820,0.012698,0.034391,0.054871
0.997811,0.012721,0.034465,0.054986
0.997802,0.012743,0.034538,0.055100
0.997793,0.012766,0.034611,0.055214
0.997784,0.012788,0.034683,0.055327
0.997775,0.012810,0.034755,0.055439
0.997766,0.012832,0.034827,0.055551
0.997757,0.012853,0.034898,0.055662
0.997748,0.012875,0.034969,0.055773
0.997739,0.012896,0.035039,0.055882
0.997730,0.012918,0.035110,0.055992
0.997721,0.012939,0.035180,0.056101
0.997712,0.012960,0.035249,0.056209
0.997704,0.012981,0.035318,0.056317
0.997695,0.013002,0.035387,0.056424
0.997686,0.013023,0.035455,0.056530
0.997677,0.013043,0.035523,0.056636
0.997669,0.013064,0.035591,0.056742
0.997660,0.013084,0.035658,0.056846
0.997652,0.013104,0.035725,0.056951
0.997643,0.013125,0.035792,0.057054
0.997634,0.013145,0.035858,0.057158
0.997626,0.013164,0.035924,0.057260
0.997617,0.013184,0.035990,0.057362
0.997609,0.013204,0.036055,0.057464
0.997601,0.013223,0.036120,0.057565
0.997592,0.013243,0.036185,0.057665
0.997584,0.013262,0.036249,0.057765
0.997575,0.013281,0.036313,0.057865
0.997567,0.013300,0.036376,0.057964
0.997559,0.013319,0.036440,0.058062
0.997551,0.013338,0.036503,0.058160
0.997542,0.013357,0.036565,0.058257
0.997534,0.013375,0.036627,0.058354
0.997526,0.013394,0.036689,0.058450
0.997518,0.013412,0.036751,0.058546
0.997510,0.013431,0.036812,0.058641
0.997502,0.013449,0.036873,0.058736
0.997494,0.013467,0.036934,0.058830
0.997486,0.013485,0.036994,0.058924
0.997478,0.013503,0.037055,0.059017
0.997470,0.013521,0.037114,0.059110
0.997462,0.013538,0.037174,0.059203
0.997454,0.013556,0.037233,0.059294
0.997446,0.013573,0.037292,0.059386
0.997438,0.013591,0.037350,0.059476
0.997430,0.013608,0.037408,0.059567
0.997423,0.013625,0.037466,0.059657
0.997415,0.013642,0.037524,0.059746
0.997407,0.013659,0.037581,0.059835
0.997399,0.013676,0.037638,0.059924
0.997392,0.013693,0.037695,0.060012
0.997384,0.013709,0.037751,0.060099
0.997376,0.013726,0.037807,0.060186
0.997369,0.013742,0.037863,0.060273
