gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
0.381516,0.936702,1.627031
0.378844,1.104222,1.575433
0.260227,1.058666,1.642881
0.325058,1.024921,1.569863
0.377512,0.936125,1.567013
0.393135,1.044900,1.535421
0.328920,0.981786,1.496002
0.346449,0.944826,1.523499
0.241923,1.002544,1.582446
0.354746,0.949201,1.499509
0.295528,0.964891,1.539287
0.334490,0.980122,1.459130
0.282356,0.990557,1.456266
0.317322,0.983760,1.438062
0.236996,0.930368,1.434993
0.321592,0.960108,1.473598
0.296302,0.885273,1.452485
0.318631,0.971746,1.485260
0.393024,0.915441,1.413257
0.324846,0.891070,1.420689
0.382889,0.925786,1.440025
0.246535,0.937800,1.427915
0.243679,0.939963,1.385706
0.275222,0.901662,1.359731
0.230517,0.899741,1.392872
0.266938,0.918287,1.362276
0.280862,0.983448,1.402499
0.242326,0.862750,1.376654
0.303161,0.874289,1.400088
0.315118,0.927307,1.339829
0.233646,0.879968,1.368641
0.314607,0.789269,1.380622
0.264440,0.929698,1.345135
0.242760,0.869969,1.283598
0.271717,0.861610,1.360531
0.272356,0.793312,1.404256
0.214465,0.828873,1.307510
0.206500,0.788396,1.300297
0.391657,0.872322,1.243804
0.261342,0.923433,1.284758
0.269347,0.889087,1.355616
0.199589,0.820591,1.268512
0.306406,0.845522,1.280102
0.216764,0.870971,1.309041
0.182098,0.843607,1.267361
0.205349,0.837513,1.246892
0.260682,0.893201,1.285541
0.256967,0.797724,1.246521
0.253927,0.804049,1.155298
0.285550,0.809423,1.286968
0.196804,0.838453,1.178402
0.254860,0.783293,1.264754
0.196983,0.731135,1.281629
0.287941,0.836635,1.190355
0.303420,0.769278,1.252877
0.169532,0.764116,1.215637
0.257686,0.794307,1.158350
0.170081,0.802661,1.155214
0.267757,0.784926,1.166960
0.195610,0.732643,1.161892
0.223718,0.751301,1.157377
0.271530,0.718446,1.194216
0.263964,0.829462,1.109905
0.188598,0.729764,1.267139
0.214573,0.727459,1.085325
0.274458,0.724741,1.090281
0.223314,0.688470,1.190039
0.245545,0.709367,1.089923
0.142391,0.636587,1.178022
0.165441,0.727937,1.127645
0.196084,0.726609,1.168806
0.170858,0.730362,1.085558
0.211943,0.754611,1.132651
0.214786,0.654290,1.080990
0.202672,0.730954,1.127962
0.271199,0.615078,1.095749
0.168485,0.703194,1.101010
0.259132,0.652605,1.042838
0.202317,0.615712,1.025820
0.168104,0.632819,1.070979
0.171675,0.627964,1.152078
0.136960,0.711167,1.022248
0.156992,0.689540,1.012183
0.250104,0.658006,1.041380
0.231714,0.767590,0.985772
0.215877,0.569434,1.103683
0.159551,0.614560,1.101358
0.147578,0.642854,1.086578
0.227297,0.648480,1.025106
0.166095,0.699243,0.931534
0.136453,0.653167,0.941752
0.172635,0.693049,0.989726
0.215204,0.716198,1.005294
0.165302,0.593973,0.974060
0.243474,0.630956,0.994446
0.192127,0.653061,0.985589
0.214723,0.664443,0.911034
0.195151,0.651945,0.979034
0.146504,0.634162,0.994546
0.195934,0.590669,1.028427
0.207059,0.585252,0.984256
0.146558,0.672960,0.942511
0.169398,0.621817,0.874676
0.166723,0.656920,0.937160
0.133791,0.616991,0.897970
0.183824,0.611943,0.852030
0.178479,0.659702,0.949373
0.170904,0.589133,0.849504
0.179483,0.531243,0.909586
0.118197,0.547715,0.934832
0.166788,0.616949,0.902338
0.139950,0.587644,0.875677
0.170290,0.532639,0.846771
0.203101,0.553886,0.914330
0.191090,0.556350,0.837052
0.148213,0.613803,0.855418
0.200091,0.572040,0.824854
0.237701,0.565333,0.838765
0.210640,0.602514,0.921698
0.146577,0.592831,0.883159
0.180960,0.610963,0.813733
0.124205,0.571329,0.905324
0.179595,0.518749,0.894457
0.148084,0.556270,0.854667
0.161373,0.505242,0.710324
0.109996,0.538092,0.765462
0.091115,0.573862,0.794901
0.233280,0.529812,0.792982
0.088223,0.530210,0.910435
0.134863,0.543536,0.742569
0.118729,0.428547,0.833262
0.176669,0.537314,0.778991
0.145919,0.477208,0.787322
0.149312,0.495137,0.798798
0.177294,0.506387,0.830344
0.223033,0.436272,0.744191
0.132819,0.534690,0.761082
0.112338,0.609650,0.745546
0.070191,0.551791,0.833310
0.078621,0.429015,0.698580
0.144574,0.490101,0.728539
0.057151,0.568341,0.760847
0.127204,0.563932,0.750719
0.134955,0.485786,0.737852
0.194987,0.479655,0.816039
0.153761,0.513990,0.719298
0.068424,0.513412,0.746514
0.130853,0.467130,0.784497
0.150480,0.549181,0.734982
0.128620,0.429221,0.694942
0.190210,0.488672,0.731475
0.116209,0.379255,0.737979
0.078728,0.471522,0.716183
0.067023,0.460029,0.746865
0.142414,0.466999,0.740820
0.119519,0.478915,0.714130
0.158804,0.440143,0.617022
0.182908,0.455891,0.716010
0.168113,0.451124,0.648464
0.147002,0.387256,0.755259
0.174256,0.489005,0.711992
0.135189,0.449213,0.680637
0.164707,0.427648,0.662961
0.136682,0.431518,0.636988
0.037521,0.380630,0.705754
0.049868,0.500462,0.653951
0.142257,0.446403,0.689661
0.126511,0.484507,0.678926
0.053383,0.440959,0.641696
0.111862,0.409047,0.659819
0.084302,0.445457,0.754127
0.147356,0.383117,0.704400
0.137704,0.427410,0.614330
0.175759,0.455773,0.616272
0.091544,0.469805,0.668497
0.128184,0.463284,0.615298
0.057445,0.400977,0.657247
0.080824,0.446525,0.605277
0.153083,0.461753,0.727210
0.046440,0.521759,0.634413
0.098690,0.416228,0.610645
0.107482,0.415538,0.620529
0.172503,0.407246,0.645002
0.131492,0.489304,0.534381
0.075550,0.443202,0.584159
0.119633,0.402299,0.538092
0.092710,0.402353,0.628713
0.011898,0.425970,0.507692
0.137758,0.434940,0.588382
0.100048,0.415622,0.516029
0.098423,0.381725,0.557189
0.114718,0.380031,0.572308
0.032119,0.414893,0.534700
0.063954,0.364406,0.566189
0.072045,0.329924,0.540214
0.129392,0.284708,0.518746
0.129834,0.377746,0.622035
0.177080,0.358203,0.590929
0.078724,0.420928,0.610957
0.145004,0.360797,0.577008
0.113867,0.360086,0.518909
0.093885,0.355734,0.541388
-0.003858,0.394380,0.536547
0.076628,0.348221,0.594938
0.150807,0.424652,0.559525
0.163809,0.334029,0.618780
0.152003,0.348414,0.624159
0.185564,0.374538,0.579524
0.112459,0.301302,0.498023
0.214965,0.333800,0.566869
0.117008,0.338495,0.520097
0.057326,0.432135,0.570230
0.126494,0.334925,0.554542
0.138841,0.390036,0.549696
0.110588,0.327028,0.506655
0.142425,0.366874,0.526675
0.146003,0.260007,0.460530
0.086749,0.313592,0.506921
0.101222,0.338518,0.493423
0.059201,0.249038,0.457153
0.052421,0.301077,0.456374
0.064791,0.313336,0.514862
0.113472,0.327174,0.471129
0.090534,0.332993,0.391268
0.062280,0.383198,0.530525
0.109349,0.295924,0.459068
0.052378,0.340082,0.419568
0.096675,0.236400,0.504904
-0.041858,0.349452,0.549119
0.112727,0.321171,0.397025
0.091769,0.224864,0.496178
0.059902,0.329262,0.444515
0.128518,0.306736,0.503553
0.054888,0.267942,0.526671
0.092679,0.330376,0.521158
0.115401,0.324562,0.419514
0.128763,0.294176,0.493467
0.102095,0.261089,0.485822
0.091481,0.237568,0.492423
0.091170,0.304491,0.511990
0.093156,0.239781,0.448472
0.113701,0.308431,0.467986
0.140968,0.341049,0.451862
0.024407,0.305053,0.384930
0.089498,0.294082,0.390692
0.091841,0.275061,0.364875
0.100510,0.277280,0.463289
0.067162,0.294154,0.343737
0.020682,0.244759,0.380181
0.057816,0.333186,0.459254
0.070894,0.313255,0.387794
0.071228,0.261569,0.365593
0.067299,0.230330,0.411665
0.141428,0.348694,0.358444
0.034470,0.382466,0.388762
0.060841,0.167062,0.413645
0.084236,0.230446,0.391079
-0.000033,0.329644,0.383038
0.157775,0.319469,0.362628
0.017982,0.256381,0.349798
0.143979,0.292372,0.435525
0.095047,0.388668,0.369315
-0.007994,0.349671,0.494044
0.146938,0.296922,0.400850
0.066681,0.198075,0.354175
0.123556,0.288044,0.384637
0.025948,0.270800,0.335530
-0.035809,0.248121,0.426358
0.068844,0.242831,0.342776
0.114385,0.239216,0.361075
0.086364,0.322957,0.385438
0.181659,0.249964,0.393606
0.128952,0.258338,0.374351
0.097513,0.226329,0.460277
0.039857,0.276320,0.408850
0.042967,0.244768,0.422612
0.081885,0.240186,0.388144
0.006864,0.288343,0.388790
0.182177,0.269384,0.327468
0.022384,0.259037,0.340684
0.053464,0.228831,0.343850
0.120530,0.312881,0.418546
0.107461,0.198228,0.417778
0.102174,0.172188,0.317429
0.062037,0.241939,0.369235
0.053931,0.272072,0.390722
0.098512,0.216123,0.414775
