ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
6378137.000000,0.000000,0.000000
6378137.000000,0.000000,0.000000
6378137.000035,0.000100,-0.000100
6378137.000101,0.000300,-0.000300
6378137.000195,0.000600,-0.000600
6378137.000315,0.001000,-0.001000
6378137.000457,0.001500,-0.001500
6378137.000619,0.002101,-0.002100
6378137.000799,0.002801,-0.002800
6378137.000994,0.003602,-0.003600
6378137.001204,0.004479,-0.004499
6378137.001427,0.005410,-0.005499
6378137.001660,0.006393,-0.006598
6378137.001903,0.007420,-0.007798
6378137.002155,0.008488,-0.009097
6378137.002413,0.009593,-0.010497
6378137.002678,0.010732,-0.011996
6378137.002949,0.011900,-0.013595
6378137.003223,0.013095,-0.015294
6378137.003502,0.014315,-0.017093
6378137.003784,0.015557,-0.018992
6378137.004068,0.016820,-0.020990
6378137.004353,0.018100,-0.023089
6378137.004641,0.019397,-0.025287
6378137.004929,0.020709,-0.027585
6378137.005217,0.022035,-0.029983
6378137.005505,0.023372,-0.032481
6378137.005793,0.024722,-0.035079
6378137.006080,0.026081,-0.037777
6378137.006366,0.027450,-0.040575
6378137.006651,0.028827,-0.043472
6378137.006934,0.030212,-0.046469
6378137.007216,0.031605,-0.049566
6378137.007495,0.033004,-0.052763
6378137.007772,0.034409,-0.056060
6378137.008046,0.035820,-0.059457
6378137.008317,0.037236,-0.062954
6378137.008586,0.038657,-0.066550
6378137.008852,0.040083,-0.070246
6378137.009114,0.041513,-0.074042
6378137.009373,0.042947,-0.077938
6378137.009629,0.044385,-0.081934
6378137.009881,0.045826,-0.086030
6378137.010129,0.047270,-0.090225
6378137.010373,0.048718,-0.094521
6378137.010614,0.050169,-0.098916
6378137.010850,0.051623,-0.103411
6378137.011082,0.053080,-0.108006
6378137.011310,0.054539,-0.112700
6378137.011533,0.056001,-0.117495
6378137.011752,0.057466,-0.122389
6378137.011966,0.058933,-0.127383
6378137.012176,0.060402,-0.132477
6378137.012381,0.061874,-0.137671
6378137.012581,0.063348,-0.142965
6378137.012776,0.064825,-0.148358
6378137.012966,0.066304,-0.153852
6378137.013151,0.067785,-0.159445
6378137.013330,0.069268,-0.165138
6378137.013505,0.070753,-0.170931
6378137.013674,0.072241,-0.176823
