accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
0.353645,0.998879,-10.779350
0.310189,0.999268,-10.781979
0.288006,1.004505,-10.781480
0.255715,1.005884,-10.782850
0.229057,0.998034,-10.782963
0.209046,1.004362,-10.769390
0.192102,0.994493,-10.781523
0.176144,1.004679,-10.777347
0.164002,0.746013,-10.778120
0.146740,0.550461,-10.776625
0.140364,0.489653,-10.786757
0.120410,0.439093,-10.770785
0.115191,0.397724,-10.778945
0.100630,0.353365,-10.775617
0.093344,0.318804,-10.777893
0.093309,0.280593,-10.779279
0.097731,0.256516,-10.782076
0.085051,0.229275,-10.779212
0.087931,0.195299,-10.767870
0.084547,0.177973,-10.783382
0.085952,0.165613,-10.784171
0.072751,0.134884,-10.781269
0.079543,0.113132,-10.782563
0.078043,0.101745,-10.783668
0.087832,0.077241,-10.779652
0.078091,0.067153,-10.779365
0.081068,0.062343,-10.778203
0.080189,0.056988,-10.787730
0.083659,0.029915,-10.777365
0.087613,0.037243,-10.789234
0.085827,0.024584,-10.773926
0.093719,0.013756,-10.776118
0.094053,0.017411,-10.774232
0.083834,0.006945,-10.779560
0.098501,-0.007234,-10.775572
0.095258,-0.012616,-10.776767
0.112475,-0.000474,-10.772508
0.109743,-0.015641,-10.779175
0.103968,-0.018800,-10.780601
0.103764,-0.023386,-10.772394
0.105955,-0.022016,-10.781298
0.111184,-0.039902,-10.777717
0.125695,-0.033961,-10.783825
0.117531,-0.042822,-10.781460
0.120768,-0.044931,-10.770898
0.132409,-0.039218,-10.769070
0.134310,-0.048788,-10.771862
0.131634,-0.044234,-10.777308
0.143696,-0.059673,-10.784884
0.148494,-0.048901,-10.777797
0.146611,-0.059115,-10.777607
0.151193,-0.060935,-10.778004
0.151463,-0.059569,-10.776193
0.161022,-0.062641,-10.769576
0.173049,-0.072122,-10.778143
0.168341,-0.069071,-10.778086
0.178954,-0.068030,-10.780869
0.172651,-0.076443,-10.772552
0.172680,-0.070384,-10.775153
0.172646,-0.072775,-10.771565
0.186009,-0.087070,-10.777059
0.181328,-0.086776,-10.770133
0.187489,-0.080253,-10.766441
0.202192,-0.078642,-10.779570
0.188199,-0.090789,-10.780493
0.200695,-0.082890,-10.789165
0.201700,-0.087778,-10.769390
0.203641,-0.089142,-10.777530
0.210038,-0.095673,-10.770087
0.212829,-0.091663,-10.776289
0.202051,-0.096836,-10.782756
0.217913,-0.094245,-10.773111
0.223494,-0.094916,-10.778141
0.231496,-0.097996,-10.776052
0.223401,-0.105773,-10.780769
0.235261,-0.103742,-10.774335
0.232788,-0.103661,-10.775357
0.244441,-0.105666,-10.776650
0.242598,-0.114165,-10.781319
0.245122,-0.112080,-10.772942
0.245082,-0.110430,-10.773064
0.246365,-0.109009,-10.775499
0.265102,-0.109510,-10.771021
0.260592,-0.120610,-10.775284
0.265785,-0.120268,-10.777336
0.265584,-0.117816,-10.773317
0.262788,-0.113971,-10.770982
0.270117,-0.124384,-10.783090
0.278401,-0.120352,-10.779806
0.278521,-0.120968,-10.763150
0.274068,-0.122012,-10.771264
0.276015,-0.127849,-10.777920
0.284189,-0.128683,-10.772593
0.286885,-0.129364,-10.770934
0.289760,-0.124369,-10.774815
0.294667,-0.131022,-10.772115
0.298332,-0.125975,-10.763302
0.291502,-0.133621,-10.771321
0.301862,-0.133658,-10.774016
0.299868,-0.143296,-10.775969
0.299046,-0.141518,-10.763482
0.317411,-0.134036,-10.771741
0.318950,-0.133461,-10.770039
0.324434,-0.139320,-10.773942
0.315901,-0.153573,-10.774680
0.317187,-0.147620,-10.772348
0.322995,-0.136185,-10.777092
0.325541,-0.150770,-10.774550
0.331902,-0.150627,-10.777612
0.330817,-0.151394,-10.777100
0.332263,-0.145754,-10.777141
0.343897,-0.156920,-10.773485
0.340557,-0.148506,-10.768941
0.342774,-0.159847,-10.770868
0.349587,-0.152992,-10.772705
0.349732,-0.158522,-10.770019
0.347990,-0.162029,-10.773591
0.353612,-0.158508,-10.774469
0.353703,-0.162707,-10.774561
0.357966,-0.157219,-10.776533
0.372962,-0.155415,-10.761996
0.376243,-0.160075,-10.767339
0.373467,-0.167605,-10.761659
0.368867,-0.170961,-10.765610
0.373820,-0.159401,-10.771972
0.371843,-0.159341,-10.762675
0.382751,-0.169747,-10.768057
0.376422,-0.168781,-10.772753
0.380586,-0.173947,-10.764639
0.399358,-0.176633,-10.768494
0.386380,-0.163654,-10.768514
0.387406,-0.174982,-10.768984
0.398359,-0.175493,-10.771500
0.408799,-0.174509,-10.759474
0.401073,-0.176232,-10.762068
