ref_gps_x (m),ref_gps_y (m),ref_gps_z (m),ref_gps_vx (m/s),ref_gps_vy (m/s),ref_gps_vz (m/s)
6378085.581813,226.413976,-183.027980,-0.782859,8.452604,2.099595
6378083.787060,234.423005,-179.927572,-2.800685,7.386932,4.081152
6378080.120657,240.885374,-174.988451,-4.454398,5.373929,5.750228
6378075.137912,244.954607,-168.587447,-5.371858,2.646104,6.983370
6378069.712693,246.093762,-161.203695,-5.300762,-0.417295,7.701624
6378064.888073,244.191289,-153.369825,-4.163140,-3.357104,7.878273
6378061.689330,239.599645,-145.618386,-2.074300,-5.719270,7.540484
6378060.937855,233.087399,-138.429736,0.678332,-7.139596,6.764694
6378063.033873,225.679660,-132.192021,3.111533,-7.664454,5.702977
6378066.250222,217.664160,-126.744980,3.262312,-8.381111,5.219114
6378069.536842,208.990852,-121.696831,3.425865,-8.776368,4.912345
6378073.122615,200.230449,-116.871867,3.722383,-8.745020,4.749822
6378076.938824,191.497900,-112.174196,3.896432,-8.721274,4.652905
6378080.890437,182.785050,-107.552277,3.998823,-8.705430,4.595347
6378084.921767,174.084962,-102.975294,4.059153,-8.695440,4.561241
6378089.000091,165.392807,-98.424923,4.094738,-8.689318,4.541057
6378093.106144,156.705474,-93.890295,4.115740,-8.685624,4.529121
6378097.228564,148.021038,-89.364975,4.128141,-8.683416,4.522064
6378101.360649,139.338329,-84.845157,4.135464,-8.682102,4.517894
6378105.498443,130.656647,-80.328590,4.139790,-8.681322,4.515430
6378109.639609,121.975574,-75.813944,4.142345,-8.680860,4.513974
6378113.782767,113.294861,-71.300433,4.143854,-8.680587,4.513114
6378117.927102,104.614361,-66.787592,4.144746,-8.680426,4.512606
6378122.304503,95.947698,-62.466764,5.002885,-8.610492,3.793343
6378128.054286,87.512404,-59.366475,6.477763,-8.195912,2.386962
6378135.172520,79.663548,-57.677099,7.731777,-7.441413,0.985373
6378143.424309,72.716753,-57.354276,8.739752,-6.398950,-0.333022
6378152.558715,66.927955,-58.280333,9.494859,-5.135315,-1.500804
6378162.326865,62.481034,-60.277450,10.008051,-3.727013,-2.465921
6378172.498930,59.480868,-63.124817,10.306190,-2.254631,-3.195087
6378182.878543,57.952060,-66.578504,10.428828,-0.797208,-3.675764
6378193.313437,57.843101,-70.392561,10.423904,0.572951,-3.916594
6378203.701381,59.035338,-74.339740,10.342717,1.794603,-3.946217
