ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
0.000000,0.000000,0.000000
0.003482,0.010000,-0.010000
0.006612,0.020002,-0.020000
0.009422,0.030006,-0.029999
0.011941,0.040013,-0.039998
0.014194,0.050024,-0.049995
0.016206,0.060039,-0.059992
0.017997,0.070058,-0.069987
0.019585,0.080082,-0.079980
0.020994,0.087625,-0.089973
0.022242,0.093193,-0.099965
0.023340,0.098213,-0.109958
0.024303,0.102739,-0.119949
0.025143,0.106821,-0.129940
0.025871,0.110505,-0.139930
0.026498,0.113830,-0.149920
0.027032,0.116833,-0.159909
0.027482,0.119546,-0.169898
0.027856,0.121999,-0.179887
0.028161,0.124217,-0.189875
0.028402,0.126226,-0.199863
0.028585,0.128045,-0.209850
0.028715,0.129694,-0.219838
0.028797,0.131191,-0.229825
0.028835,0.132550,-0.239812
0.028832,0.133787,-0.249798
0.028792,0.134913,-0.259785
0.028717,0.135941,-0.269771
0.028611,0.136879,-0.279758
0.028475,0.137737,-0.289744
0.028313,0.138524,-0.299730
0.028125,0.139247,-0.309715
0.027915,0.139912,-0.319701
0.027683,0.140525,-0.329686
0.027430,0.141093,-0.339672
0.027159,0.141619,-0.349657
0.026870,0.142109,-0.359642
0.026565,0.142565,-0.369627
0.026244,0.142992,-0.379612
0.025908,0.143393,-0.389597
0.025558,0.143770,-0.399581
0.025195,0.144126,-0.409566
0.024820,0.144464,-0.419550
0.024432,0.144786,-0.429534
0.024033,0.145092,-0.439518
0.023624,0.145386,-0.449502
0.023203,0.145668,-0.459485
0.022773,0.145940,-0.469469
0.022333,0.146203,-0.479452
0.021884,0.146459,-0.489435
0.021425,0.146707,-0.499418
0.020958,0.146950,-0.509401
0.020482,0.147187,-0.519383
0.019998,0.147420,-0.529366
0.019506,0.147649,-0.539348
0.019006,0.147874,-0.549330
0.018498,0.148097,-0.559312
0.017983,0.148318,-0.569293
0.017460,0.148536,-0.579275
0.016930,0.148753,-0.589256
0.016394,0.148969,-0.599237
0.015850,0.149183,-0.609217
0.015299,0.149397,-0.619198
0.014742,0.149611,-0.629178
0.014178,0.149824,-0.639158
0.013608,0.150037,-0.649138
0.013031,0.150250,-0.659118
0.012448,0.150463,-0.669097
0.011858,0.150677,-0.679077
0.011263,0.150891,-0.689056
0.010661,0.151105,-0.699034
0.010054,0.151320,-0.709013
0.009440,0.151536,-0.718991
0.008821,0.151753,-0.728969
0.008196,0.151970,-0.738947
0.007565,0.152188,-0.748925
0.006929,0.152407,-0.758902
0.006287,0.152627,-0.768879
0.005639,0.152848,-0.778856
0.004986,0.153070,-0.788833
0.004328,0.153293,-0.798809
0.003664,0.153517,-0.808785
0.002995,0.153743,-0.818761
0.002320,0.153969,-0.828736
0.001640,0.154196,-0.838712
0.000955,0.154424,-0.848687
0.000265,0.154653,-0.858662
-0.000430,0.154884,-0.868636
-0.001130,0.155115,-0.878611
-0.001835,0.155347,-0.888585
-0.002545,0.155581,-0.898559
-0.003260,0.155816,-0.908532
-0.003979,0.156051,-0.918505
-0.004704,0.156288,-0.928478
-0.005433,0.156525,-0.938451
-0.006167,0.156764,-0.948424
-0.006906,0.157004,-0.958396
-0.007649,0.157244,-0.968368
-0.008397,0.157486,-0.978340
-0.009150,0.157729,-0.988311
-0.009907,0.157972,-0.998283
-0.010668,0.158217,-1.008254
-0.011434,0.158462,-1.018224
-0.012205,0.158709,-1.028195
-0.012979,0.158956,-1.038165
-0.013758,0.159204,-1.048135
-0.014542,0.159453,-1.058105
-0.015329,0.159703,-1.068074
-0.016121,0.159954,-1.078043
-0.016917,0.160206,-1.088012
-0.017717,0.160458,-1.097981
-0.018521,0.160712,-1.107949
-0.019329,0.160966,-1.117917
-0.020141,0.161221,-1.127885
-0.020957,0.161477,-1.137853
-0.021777,0.161733,-1.147820
-0.022601,0.161991,-1.157787
-0.023429,0.162249,-1.167754
-0.024261,0.162507,-1.177720
-0.025096,0.162767,-1.187687
-0.025936,0.163027,-1.197653
-0.026779,0.163288,-1.207618
-0.027626,0.163550,-1.217584
-0.028476,0.163812,-1.227549
-0.029330,0.164075,-1.237514
-0.030188,0.164339,-1.247479
-0.031049,0.164603,-1.257444
-0.031914,0.164868,-1.267408
-0.032782,0.165133,-1.277372
-0.033654,0.165399,-1.287336
-0.034529,0.165666,-1.297299
-0.035408,0.165933,-1.307262
-0.036290,0.166201,-1.317225
-0.037175,0.166470,-1.327188
-0.038064,0.166739,-1.337151
-0.038956,0.167008,-1.347113
-0.039851,0.167278,-1.357075
-0.040749,0.167549,-1.367037
-0.041651,0.167820,-1.376998
-0.042556,0.168092,-1.386960
-0.043463,0.168364,-1.396921
-0.044374,0.168637,-1.406881
-0.045289,0.168910,-1.416842
-0.046206,0.169184,-1.426802
-0.047126,0.169458,-1.436762
-0.048049,0.169732,-1.446722
-0.048975,0.170007,-1.456682
-0.049904,0.170283,-1.466641
-0.050836,0.170558,-1.476600
-0.051771,0.170835,-1.486559
-0.052708,0.171111,-1.496518
-0.053649,0.171389,-1.506476
-0.054592,0.171666,-1.516434
-0.055538,0.171944,-1.526392
-0.056487,0.172222,-1.536350
-0.057438,0.172501,-1.546308
-0.058393,0.172780,-1.556265
-0.059349,0.173059,-1.566222
-0.060309,0.173339,-1.576179
-0.061271,0.173619,-1.586135
-0.062236,0.173899,-1.596092
-0.063203,0.174180,-1.606048
-0.064172,0.174461,-1.616004
-0.065145,0.174743,-1.625959
-0.066119,0.175024,-1.635915
-0.067097,0.175306,-1.645870
-0.068076,0.175588,-1.655825
-0.069058,0.175871,-1.665780
-0.070042,0.176154,-1.675735
-0.071029,0.176437,-1.685689
-0.072018,0.176720,-1.695643
-0.073010,0.177004,-1.705597
-0.074003,0.177288,-1.715551
-0.074999,0.177572,-1.725505
-0.075997,0.177857,-1.735458
-0.076998,0.178141,-1.745411
-0.078000,0.178426,-1.755364
-0.079005,0.178711,-1.765317
-0.080012,0.178997,-1.775269
-0.081021,0.179282,-1.785222
-0.082032,0.179568,-1.795174
-0.083045,0.179854,-1.805126
-0.084060,0.180140,-1.815077
-0.085077,0.180427,-1.825029
-0.086097,0.180714,-1.834980
-0.087118,0.181000,-1.844931
-0.088141,0.181287,-1.854882
-0.089166,0.181575,-1.864833
-0.090194,0.181862,-1.874784
-0.091223,0.182149,-1.884734
-0.092253,0.182437,-1.894684
-0.093286,0.182725,-1.904634
-0.094067,0.182931,-1.910378
-0.094499,0.183023,-1.910348
-0.094929,0.183114,-1.910318
-0.095357,0.183205,-1.910288
-0.095782,0.183295,-1.910258
-0.096205,0.183384,-1.910228
-0.096626,0.183473,-1.910199
-0.097045,0.183561,-1.910169
-0.097462,0.183648,-1.910139
-0.097876,0.183734,-1.910110
-0.098289,0.183820,-1.910080
-0.098699,0.183905,-1.910051
-0.099107,0.183990,-1.910022
-0.099513,0.184073,-1.909993
-0.099917,0.184156,-1.909964
-0.100319,0.184239,-1.909935
-0.100719,0.184321,-1.909906
-0.101117,0.184402,-1.909877
