ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
0.677205,0.961613,-10.780325
0.609859,0.865091,-10.780307
0.549664,0.777856,-10.780286
0.495945,0.698972,-10.780271
0.448097,0.627601,-10.780270
0.405597,0.562988,-10.780273
0.367914,0.504453,-10.780278
0.334572,0.451386,-10.780284
0.305139,0.403239,-10.780289
0.279228,0.359517,-10.780292
0.256488,0.319777,-10.780292
0.236604,0.283621,-10.780288
0.219292,0.250688,-10.780280
0.204295,0.220656,-10.780267
0.191383,0.193234,-10.780248
0.180346,0.168163,-10.780224
0.170997,0.145206,-10.780194
0.163168,0.124154,-10.780157
0.156704,0.104815,-10.780114
0.151470,0.087019,-10.780065
0.147341,0.070613,-10.780009
0.144205,0.055459,-10.779947
0.141962,0.041432,-10.779878
0.140521,0.028420,-10.779803
0.139801,0.016324,-10.779721
0.139726,0.005053,-10.779633
0.140232,-0.005475,-10.779538
0.141259,-0.015333,-10.779436
0.142751,-0.024586,-10.779329
0.144662,-0.033293,-10.779215
0.146946,-0.041507,-10.779095
0.149565,-0.049277,-10.778970
0.152483,-0.056646,-10.778838
0.155668,-0.063651,-10.778700
0.159091,-0.070329,-10.778557
0.162725,-0.076709,-10.778408
0.166549,-0.082821,-10.778254
0.170539,-0.088690,-10.778094
0.174678,-0.094338,-10.777929
0.178949,-0.099786,-10.777759
0.183335,-0.105052,-10.777584
0.187822,-0.110153,-10.777403
0.192400,-0.115104,-10.777218
0.197055,-0.119919,-10.777028
0.201778,-0.124608,-10.776834
0.206560,-0.129184,-10.776634
0.211393,-0.133656,-10.776431
0.216268,-0.138033,-10.776222
0.221180,-0.142322,-10.776010
0.226123,-0.146532,-10.775793
0.231090,-0.150667,-10.775572
0.236078,-0.154735,-10.775347
0.241081,-0.158740,-10.775118
0.246096,-0.162687,-10.774886
0.251120,-0.166580,-10.774649
0.256148,-0.170423,-10.774409
0.261179,-0.174219,-10.774165
0.266210,-0.177972,-10.773917
0.271238,-0.181684,-10.773666
0.276262,-0.185358,-10.773412
0.281279,-0.188996,-10.773154
0.286288,-0.192600,-10.772893
0.291287,-0.196172,-10.772628
0.296275,-0.199713,-10.772361
0.301251,-0.203226,-10.772090
0.306215,-0.206711,-10.771817
0.311164,-0.210169,-10.771540
0.316097,-0.213603,-10.771261
0.321016,-0.217012,-10.770979
0.325918,-0.220398,-10.770694
0.330803,-0.223762,-10.770407
0.335670,-0.227103,-10.770116
0.340520,-0.230424,-10.769824
0.345351,-0.233724,-10.769528
0.350163,-0.237005,-10.769231
0.354957,-0.240266,-10.768931
0.359731,-0.243508,-10.768628
0.364486,-0.246732,-10.768323
0.369221,-0.249938,-10.768017
0.373936,-0.253126,-10.767707
0.378631,-0.256296,-10.767396
0.383306,-0.259450,-10.767083
0.387960,-0.262587,-10.766768
0.392595,-0.265707,-10.766450
0.397209,-0.268811,-10.766131
0.401802,-0.271899,-10.765810
0.406375,-0.274971,-10.765487
0.410928,-0.278027,-10.765163
0.415460,-0.281068,-10.764836
0.419971,-0.284094,-10.764508
0.424462,-0.287104,-10.764178
0.428933,-0.290099,-10.763847
0.433383,-0.293080,-10.763514
0.437813,-0.296045,-10.763180
0.442222,-0.298997,-10.762844
0.446611,-0.301933,-10.762507
0.450980,-0.304855,-10.762168
0.455329,-0.307763,-10.761828
0.459657,-0.310656,-10.761487
0.463966,-0.313536,-10.761144
0.468254,-0.316401,-10.760801
0.472522,-0.319253,-10.760456
0.476771,-0.322091,-10.760110
0.480999,-0.324915,-10.759763
0.485208,-0.327725,-10.759414
0.489397,-0.330522,-10.759065
0.493567,-0.333305,-10.758715
0.497717,-0.336075,-10.758363
0.501847,-0.338831,-10.758011
0.505958,-0.341575,-10.757658
0.510050,-0.344305,-10.757304
0.514123,-0.347021,-10.756950
0.518176,-0.349725,-10.756594
0.522211,-0.352416,-10.756238
0.526226,-0.355094,-10.755881
0.530223,-0.357759,-10.755523
0.534201,-0.360411,-10.755165
0.538160,-0.363051,-10.754805
0.542100,-0.365677,-10.754446
0.546022,-0.368292,-10.754086
0.549925,-0.370893,-10.753725
0.553810,-0.373483,-10.753363
0.557677,-0.376059,-10.753002
0.561525,-0.378624,-10.752639
0.565356,-0.381176,-10.752277
0.569168,-0.383716,-10.751914
0.572962,-0.386243,-10.751550
0.576738,-0.388759,-10.751186
0.580497,-0.391263,-10.750822
0.584238,-0.393754,-10.750458
0.587961,-0.396234,-10.750093
0.591666,-0.398701,-10.749728
0.595354,-0.401157,-10.749363
0.599025,-0.403601,-10.748997
0.602678,-0.406034,-10.748631
0.606314,-0.408454,-10.748266
0.609933,-0.410863,-10.747900
0.613535,-0.413261,-10.747534
0.617120,-0.415647,-10.747167
0.620687,-0.418022,-10.746801
0.624238,-0.420385,-10.746435
0.627773,-0.422737,-10.746068
0.631290,-0.425077,-10.745702
0.634791,-0.427407,-10.745336
0.638275,-0.429725,-10.744970
0.641743,-0.432032,-10.744603
0.645195,-0.434328,-10.744237
0.648630,-0.436613,-10.743871
0.652049,-0.438887,-10.743505
0.655451,-0.441150,-10.743139
0.658838,-0.443402,-10.742773
0.662209,-0.445644,-10.742408
0.665563,-0.447875,-10.742043
0.668902,-0.450095,-10.741677
0.672225,-0.452304,-10.741312
0.675533,-0.454503,-10.740948
0.678824,-0.456691,-10.740583
0.682100,-0.458869,-10.740219
0.685361,-0.461036,-10.739855
0.688606,-0.463193,-10.739492
0.691836,-0.465339,-10.739128
0.695051,-0.467475,-10.738765
0.698250,-0.469601,-10.738403
0.701434,-0.471717,-10.738040
0.704604,-0.473823,-10.737678
0.707758,-0.475918,-10.737317
0.710897,-0.478003,-10.736956
0.714021,-0.480079,-10.736595
0.717131,-0.482144,-10.736235
0.720226,-0.484200,-10.735875
