ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
6378137.000000,0.000000,0.000000
6378137.000000,0.000000,0.000000
6378137.000068,0.000096,-0.000100
6378137.000196,0.000279,-0.000300
6378137.000380,0.000540,-0.000600
6378137.000612,0.000870,-0.001000
6378137.000889,0.001265,-0.001500
6378137.001206,0.001716,-0.002100
6378137.001558,0.002218,-0.002800
6378137.001942,0.002767,-0.003600
6378137.002355,0.003358,-0.004500
6378137.002793,0.003986,-0.005500
6378137.003254,0.004649,-0.006600
6378137.003736,0.005342,-0.007799
6378137.004235,0.006063,-0.009099
6378137.004751,0.006810,-0.010499
6378137.005281,0.007579,-0.011999
6378137.005823,0.008369,-0.013599
6378137.006376,0.009179,-0.015299
6378137.006939,0.010005,-0.017099
6378137.007510,0.010847,-0.018999
6378137.008088,0.011703,-0.020999
6378137.008672,0.012573,-0.023099
6378137.009262,0.013455,-0.025298
6378137.009856,0.014347,-0.027598
6378137.010453,0.015250,-0.029998
6378137.011053,0.016163,-0.032498
6378137.011655,0.017084,-0.035098
6378137.012259,0.018014,-0.037798
6378137.012863,0.018951,-0.040597
6378137.013468,0.019895,-0.043497
6378137.014073,0.020846,-0.046497
6378137.014677,0.021803,-0.049597
6378137.015280,0.022767,-0.052796
6378137.015882,0.023736,-0.056096
6378137.016482,0.024711,-0.059495
6378137.017081,0.025691,-0.062995
6378137.017676,0.026676,-0.066594
6378137.018270,0.027667,-0.070294
6378137.018860,0.028662,-0.074093
6378137.019447,0.029661,-0.077992
6378137.020031,0.030666,-0.081991
6378137.020611,0.031675,-0.086090
6378137.021187,0.032688,-0.090289
6378137.021759,0.033706,-0.094588
6378137.022327,0.034728,-0.098987
6378137.022891,0.035754,-0.103486
6378137.023450,0.036785,-0.108084
6378137.024004,0.037820,-0.112783
6378137.024553,0.038860,-0.117581
6378137.025097,0.039903,-0.122479
6378137.025636,0.040952,-0.127477
6378137.026170,0.042004,-0.132575
6378137.026698,0.043061,-0.137773
6378137.027220,0.044122,-0.143070
6378137.027737,0.045187,-0.148468
6378137.028248,0.046257,-0.153965
6378137.028752,0.047331,-0.159562
6378137.029251,0.048410,-0.165259
6378137.029743,0.049494,-0.171055
6378137.030229,0.050581,-0.176952
