ref_gps_x (m),ref_gps_y (m),ref_gps_z (m),ref_gps_vx (m/s),ref_gps_vy (m/s),ref_gps_vz (m/s)
6378137.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6378137.043313,0.098404,-0.494554,0.014419,0.131725,-0.998135
6378136.999940,0.268131,-1.978772,-0.101242,0.207617,-1.884572
6378136.876971,0.489719,-3.860407,-0.141563,0.233517,-1.878935
6378136.722601,0.731425,-5.737278,-0.165331,0.248707,-1.875041
6378136.549717,0.984947,-7.610986,-0.179350,0.257642,-1.872544
6378136.365910,1.245425,-9.482703,-0.187623,0.262906,-1.871001
6378136.175656,1.510004,-11.353202,-0.192507,0.266012,-1.870066
6378135.981595,1.777003,-13.222966,-0.195391,0.267845,-1.869505
6378135.785286,2.045431,-15.092290,-0.197095,0.268927,-1.869170
6378135.587649,2.314703,-16.961354,-0.198101,0.269566,-1.868972
6378135.389228,2.584472,-18.830263,-0.198696,0.269944,-1.868854
6378135.190343,2.854536,-20.699079,-0.199047,0.270167,-1.868785
6378134.991184,3.124774,-22.567842,-0.199254,0.270299,-1.868744
6378134.791864,3.395115,-24.436573,-0.199377,0.270377,-1.868719
6378134.548430,3.752220,-26.276489,-0.339007,0.524627,-1.774442
6378134.082709,4.434199,-27.950687,-0.600797,0.824443,-1.559045
6378133.348329,5.363904,-29.377207,-0.866579,1.020996,-1.284444
6378132.367126,6.447582,-30.515571,-1.087777,1.136828,-0.989382
6378131.197978,7.621377,-31.365866,-1.239790,1.206820,-0.715380
6378129.912247,8.856380,-31.968843,-1.321775,1.263730,-0.501330
6378128.573220,10.150637,-32.400718,-1.349189,1.327229,-0.378394
6378127.225317,11.513228,-32.763261,-1.342337,1.399414,-0.365813
6378125.895008,12.947501,-33.170379,-1.315104,1.467594,-0.468146
6378124.601279,14.440137,-33.732777,-1.267731,1.512802,-0.674274
6378123.077642,16.095751,-34.731077,-1.996593,1.822242,-1.380245
6378120.636047,17.995979,-36.103781,-2.686493,1.932883,-1.377581
6378117.945440,19.911419,-37.497541,-2.693886,1.900493,-1.407876
6378115.249561,21.801597,-38.915432,-2.697498,1.881343,-1.426557
6378112.551041,23.676847,-40.348059,-2.699365,1.870031,-1.437854
6378109.851127,25.543279,-41.789551,-2.700374,1.863349,-1.444617
6378107.150447,27.404502,-43.236335,-2.700938,1.859403,-1.448643
6378104.449336,29.262649,-44.686264,-2.701259,1.857072,-1.451032
6378101.747976,31.118979,-46.138058,-2.701445,1.855695,-1.452447
6378099.046473,32.974236,-47.590956,-2.701553,1.854881,-1.453285
6378096.344885,34.828858,-49.044508,-2.701617,1.854401,-1.453780
6378093.643248,36.683106,-50.498445,-2.701654,1.854117,-1.454072
6378090.941582,38.537132,-51.952610,-2.701676,1.853949,-1.454245
6378088.239898,40.391027,-53.406910,-2.701689,1.853850,-1.454347
6378085.538205,42.244846,-54.861290,-2.701697,1.853791,-1.454408
6378082.844416,44.084190,-56.345811,-2.654940,1.771725,-1.624907
6378080.285378,45.730761,-58.224257,-2.440091,1.516681,-2.138690
6378078.006431,47.123838,-60.611764,-2.090895,1.273477,-2.633642
6378076.145173,48.302977,-63.462991,-1.605532,1.099972,-3.056844
6378074.825723,49.368963,-66.681573,-1.014095,1.058369,-3.359578
6378074.125401,50.480181,-70.126091,-0.379922,1.198665,-3.501216
6378074.044350,51.832126,-73.620083,0.207591,1.542329,-3.452992
6378074.486208,53.622461,-76.965416,0.647672,2.070393,-3.200846
6378075.256162,56.007705,-79.957914,0.847749,2.719119,-2.747099
6378076.079440,59.060137,-82.404032,0.744057,3.384995,-2.110797
6378076.557451,62.697131,-84.259848,0.003057,3.700554,-1.965441
6378076.442997,66.442716,-86.702572,-0.231967,3.791298,-2.932102
6378076.097196,70.278397,-90.113857,-0.453710,3.876705,-3.852309
6378075.609636,74.157282,-93.959788,-0.516481,3.880690,-3.840374
6378075.073283,78.039150,-97.796229,-0.553348,3.882857,-3.833042
6378074.508239,81.922667,-101.626891,-0.575052,3.884073,-3.828612
6378073.926294,85.807117,-105.454078,-0.587847,3.884770,-3.825962
6378073.334380,89.692104,-109.279190,-0.595396,3.885173,-3.824384
6378072.736584,93.577405,-113.103070,-0.599853,3.885409,-3.823448
6378072.135313,97.462889,-116.926220,-0.602484,3.885548,-3.822894
6378071.531992,101.348480,-120.748937,-0.604039,3.885629,-3.822566
6378070.927458,105.234135,-124.571398,-0.604957,3.885677,-3.822372
6378070.322209,109.119827,-128.393708,-0.605499,3.885705,-3.822257
6378069.716537,113.005541,-132.215928,-0.605820,3.885722,-3.822189
6378069.142565,117.100457,-135.824557,-0.532704,4.366688,-3.309563
6378068.646253,121.712655,-138.805850,-0.462451,4.846141,-2.634324
6378068.209894,126.754183,-141.078910,-0.413666,5.222855,-1.895033
6378067.810348,132.118342,-142.587550,-0.389449,5.489238,-1.107780
6378067.422210,137.692072,-143.292189,-0.391195,5.640212,-0.289620
6378067.019546,143.358527,-143.170573,-0.418555,5.673321,0.541935
6378066.577626,148.999725,-142.217972,-0.469456,5.588782,1.369438
6378066.074612,154.499219,-140.446852,-0.540197,5.389464,2.176027
6378065.493111,159.744717,-137.886051,-0.625602,5.080809,2.945920
6378064.821548,164.630581,-134.579460,-0.719239,4.670684,3.664872
6378064.022057,169.721320,-130.797428,-1.047323,5.528724,3.720840
6378062.676598,175.645884,-127.190337,-1.633207,6.309645,3.495775
6378060.992028,181.935517,-123.683024,-1.728451,6.272261,3.517188
6378059.233434,188.195543,-120.159032,-1.784371,6.249467,3.529816
6378057.431326,194.437639,-116.625202,-1.817284,6.235754,3.537268
6378055.603589,200.668989,-113.085564,-1.836685,6.227568,3.541667
6378053.760737,206.893937,-109.542497,-1.848131,6.222701,3.544265
6378051.908966,213.115085,-105.997405,-1.854888,6.219816,3.545800
6378050.051929,219.333981,-102.451117,-1.858878,6.218108,3.546707
6378048.191782,225.551545,-98.904122,-1.861234,6.217097,3.547242
6378046.329798,231.768321,-95.356709,-1.862626,6.216500,3.547558
6378044.466729,237.984631,-91.809050,-1.863448,6.216147,3.547745
6378042.603019,244.200665,-88.261246,-1.863934,6.215938,3.547856
6378040.471393,250.189397,-84.503846,-2.582367,5.570477,4.109915
6378037.458464,255.233268,-80.053185,-3.418310,4.466932,4.777244
6378033.720112,259.066050,-74.999256,-4.020326,3.156152,5.313100
6378029.518858,261.512770,-69.478762,-4.333608,1.706011,5.707757
6378025.162642,262.473432,-63.635643,-4.322978,0.197828,5.956543
6378020.983482,261.933601,-57.615968,-3.976076,-1.279588,6.059912
6378017.313819,259.968631,-51.562861,-3.304721,-2.636604,6.023319
6378014.462475,256.741101,-45.611630,-2.344307,-3.789571,5.856926
6378012.692167,252.491629,-39.885282,-1.151282,-4.667185,5.575117
6378012.200431,247.523760,-34.490605,0.201098,-5.215852,5.195866
6378012.665160,241.869255,-29.502322,0.369705,-6.130968,4.912646
6378012.834208,235.300146,-24.595701,-0.041736,-7.009684,4.906029
6378012.850094,228.265043,-19.726196,0.065372,-7.056535,4.838137
6378012.949742,221.194094,-14.909791,0.129050,-7.083175,4.797761
6378013.099120,214.102616,-10.124923,0.166805,-7.098548,4.773816
6378013.277962,206.999236,-5.358742,0.189156,-7.107503,4.759638
6378013.474237,199.888905,-0.603621,0.202376,-7.112749,4.751250
