accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
0.668914,0.960818,-10.783208
0.605263,0.862572,-10.776833
0.546037,0.778691,-10.779453
0.489857,0.697315,-10.768150
0.451006,0.622614,-10.777491
0.402629,0.559926,-10.775237
0.369916,0.499399,-10.780007
0.329971,0.457341,-10.785296
0.297391,0.406227,-10.773602
0.269947,0.359940,-10.781781
0.260916,0.316459,-10.781854
0.227955,0.284117,-10.783989
0.217104,0.249641,-10.774723
0.202095,0.222422,-10.773884
0.195372,0.202822,-10.784752
0.171803,0.172841,-10.780575
0.163634,0.144925,-10.778364
0.165759,0.129278,-10.774299
0.156546,0.115887,-10.780678
0.146729,0.085382,-10.788151
0.146841,0.066542,-10.776398
0.138008,0.043581,-10.782123
0.141411,0.048288,-10.772794
0.134065,0.024198,-10.783000
0.142012,0.021141,-10.785966
0.140333,0.004978,-10.773865
0.138858,-0.007887,-10.780348
0.139298,-0.019507,-10.777291
0.147215,-0.029467,-10.771234
0.145448,-0.034720,-10.778654
0.147194,-0.041293,-10.773255
0.149305,-0.042103,-10.780309
0.162955,-0.057258,-10.770031
0.153483,-0.064976,-10.785298
0.154609,-0.069471,-10.774932
0.166496,-0.076949,-10.779247
0.165467,-0.082621,-10.775184
0.169241,-0.089604,-10.774052
0.163457,-0.084934,-10.777500
0.193926,-0.100525,-10.777782
0.186365,-0.101628,-10.775579
0.192338,-0.106215,-10.775331
0.187796,-0.109211,-10.775597
0.196803,-0.111506,-10.778341
0.199123,-0.125129,-10.773859
0.204837,-0.120264,-10.782234
0.219998,-0.129008,-10.775451
0.222384,-0.135893,-10.781912
0.217506,-0.136616,-10.774427
0.230179,-0.146631,-10.763848
0.229403,-0.143213,-10.778292
0.232513,-0.149185,-10.777021
0.244817,-0.155436,-10.775826
0.246561,-0.160395,-10.774078
0.258616,-0.154620,-10.782488
0.261638,-0.169985,-10.765802
0.256887,-0.184241,-10.771278
0.268393,-0.177937,-10.780560
0.277902,-0.187191,-10.776852
0.275986,-0.188264,-10.767654
0.279870,-0.187470,-10.782326
0.286875,-0.188685,-10.765591
0.300847,-0.196306,-10.775144
0.302751,-0.198838,-10.784862
0.300739,-0.211364,-10.769697
0.305501,-0.207325,-10.770308
0.318119,-0.212123,-10.764806
0.304902,-0.209167,-10.765796
0.320559,-0.210186,-10.767701
0.331327,-0.218377,-10.760049
0.329445,-0.223475,-10.772934
0.336450,-0.227495,-10.775168
0.346924,-0.227943,-10.761563
0.347136,-0.228314,-10.767967
0.355174,-0.237694,-10.768575
0.347029,-0.243178,-10.770134
0.364865,-0.243231,-10.770717
0.359410,-0.241992,-10.765913
0.360063,-0.260101,-10.761942
0.371006,-0.243340,-10.762895
0.380640,-0.257138,-10.766936
0.381350,-0.264002,-10.766341
0.382710,-0.272686,-10.759365
0.398456,-0.266086,-10.771943
0.401874,-0.274116,-10.763855
0.399257,-0.274438,-10.762589
0.406406,-0.268311,-10.766118
0.418225,-0.279437,-10.763026
0.421985,-0.270587,-10.771634
0.414906,-0.286586,-10.766288
0.426200,-0.289358,-10.769183
0.426618,-0.296128,-10.757203
0.425874,-0.295540,-10.769960
0.434925,-0.298037,-10.756777
0.444870,-0.298266,-10.768281
0.437490,-0.305418,-10.760273
0.456718,-0.307082,-10.758454
0.455092,-0.304903,-10.765722
0.454754,-0.313438,-10.756867
0.458988,-0.312318,-10.764320
0.464254,-0.320961,-10.760584
0.472283,-0.314884,-10.762997
0.473933,-0.319548,-10.760806
0.470333,-0.322759,-10.759729
0.483799,-0.321094,-10.755640
0.491788,-0.328326,-10.752461
0.488006,-0.331659,-10.762600
0.496199,-0.328839,-10.755594
0.508484,-0.344422,-10.758615
0.513973,-0.330437,-10.758753
0.502457,-0.338436,-10.761175
0.517442,-0.349439,-10.760353
0.510806,-0.347051,-10.763634
0.516742,-0.358664,-10.757721
0.526160,-0.364589,-10.747887
0.536204,-0.358197,-10.755919
0.532487,-0.368435,-10.762119
0.537285,-0.367719,-10.755582
0.550371,-0.367604,-10.752810
0.542933,-0.364587,-10.750596
0.547652,-0.375683,-10.750090
0.559103,-0.377858,-10.760693
0.555527,-0.375910,-10.759876
0.570815,-0.381625,-10.751527
0.560182,-0.387918,-10.754697
0.569307,-0.380808,-10.751374
0.570348,-0.388223,-10.747349
0.585030,-0.389115,-10.752481
0.589209,-0.391496,-10.752206
