ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
6378137.000000,0.000000,0.000000
6378137.000000,0.000000,0.000000
6378137.000100,0.000029,-0.000100
6378137.000300,0.000084,-0.000300
6378137.000600,0.000163,-0.000600
6378137.001000,0.000263,-0.001000
6378137.001499,0.000382,-0.001501
6378137.002099,0.000518,-0.002101
6378137.002798,0.000670,-0.002802
6378137.003596,0.000836,-0.003603
6378137.004494,0.001015,-0.004505
6378137.005492,0.001206,-0.005507
6378137.006589,0.001408,-0.006609
6378137.007785,0.001619,-0.007813
6378137.009080,0.001839,-0.009117
6378137.010474,0.002068,-0.010522
6378137.011922,0.002304,-0.012028
6378137.013406,0.002546,-0.013634
6378137.014923,0.002795,-0.015341
6378137.016470,0.003049,-0.017149
6378137.018042,0.003309,-0.019058
6378137.019637,0.003573,-0.021068
6378137.021253,0.003842,-0.023179
6378137.022887,0.004114,-0.025390
6378137.024538,0.004391,-0.027702
6378137.026203,0.004671,-0.030115
6378137.027880,0.004954,-0.032629
6378137.029568,0.005240,-0.035244
6378137.031266,0.005528,-0.037960
6378137.032972,0.005820,-0.040776
6378137.034685,0.006114,-0.043694
6378137.036405,0.006410,-0.046712
6378137.038129,0.006708,-0.049831
6378137.039858,0.007008,-0.053051
6378137.041590,0.007310,-0.056372
6378137.043325,0.007614,-0.059794
6378137.045062,0.007920,-0.063317
6378137.046801,0.008227,-0.066940
6378137.048541,0.008536,-0.070664
6378137.050281,0.008846,-0.074489
6378137.052021,0.009158,-0.078415
6378137.053760,0.009471,-0.082442
6378137.055499,0.009785,-0.086570
6378137.057236,0.010101,-0.090798
6378137.058973,0.010418,-0.095127
6378137.060707,0.010736,-0.099557
6378137.062439,0.011055,-0.104088
6378137.064169,0.011375,-0.108719
6378137.065897,0.011697,-0.113451
6378137.067621,0.012019,-0.118284
6378137.069343,0.012342,-0.123218
6378137.071061,0.012667,-0.128253
6378137.072776,0.012992,-0.133388
6378137.074488,0.013319,-0.138624
6378137.076195,0.013646,-0.143960
6378137.077899,0.013974,-0.149398
6378137.079599,0.014303,-0.154936
6378137.081295,0.014633,-0.160575
6378137.082986,0.014964,-0.166314
6378137.084674,0.015296,-0.172155
6378137.086356,0.015628,-0.178095
