mag_x (uT),mag_y (uT),mag_z (uT)
27.657326,-0.008913,-16.629040
27.653216,-0.011132,-16.612231
27.654808,-0.001983,-16.611714
27.657089,-0.002877,-16.609087
27.680238,-0.002266,-16.613946
27.649048,-0.025479,-16.613029
27.672954,-0.015511,-16.588561
27.669524,-0.030237,-16.620048
27.685099,-0.040836,-16.611448
27.700868,-0.060987,-16.591401
27.684004,-0.065716,-16.595081
27.667657,-0.084001,-16.597021
27.673919,-0.101070,-16.571044
27.656625,-0.123449,-16.575446
27.670947,-0.125156,-16.576597
27.687982,-0.153966,-16.562155
27.686734,-0.171662,-16.556295
27.701510,-0.171912,-16.573048
27.695581,-0.211548,-16.532916
27.697922,-0.183854,-16.548715
27.718732,-0.222935,-16.532672
27.711344,-0.223660,-16.545879
27.716161,-0.257687,-16.523715
27.709153,-0.280154,-16.518412
27.715470,-0.289995,-16.523598
27.712229,-0.293872,-16.496687
27.716264,-0.323247,-16.499512
27.728871,-0.336902,-16.495309
27.738322,-0.369203,-16.475029
27.717973,-0.378896,-16.488923
27.733820,-0.405331,-16.457977
27.755248,-0.399843,-16.459247
27.736139,-0.449195,-16.466155
27.741491,-0.466251,-16.438689
27.751404,-0.472280,-16.437048
27.769302,-0.481338,-16.456112
27.765195,-0.508853,-16.425315
27.742839,-0.504405,-16.436626
27.764557,-0.545472,-16.417053
27.785645,-0.559153,-16.402651
27.756395,-0.557407,-16.403131
27.767851,-0.556310,-16.404456
27.754041,-0.600201,-16.415792
27.761142,-0.611078,-16.396379
27.769783,-0.625958,-16.376457
27.789187,-0.651016,-16.361911
27.795947,-0.666419,-16.385067
27.794082,-0.703568,-16.365700
27.795823,-0.708120,-16.367210
27.806400,-0.706850,-16.363913
27.795921,-0.727619,-16.356548
27.809927,-0.737054,-16.353345
27.798922,-0.765074,-16.339407
27.797358,-0.795044,-16.326784
27.809977,-0.810091,-16.337576
27.819552,-0.815437,-16.292633
27.810140,-0.838104,-16.319058
27.831373,-0.847539,-16.326100
27.837531,-0.862989,-16.300190
27.805069,-0.879853,-16.307130
27.829802,-0.896864,-16.284606
27.845325,-0.921539,-16.285833
27.828589,-0.926793,-16.262577
27.875635,-0.940794,-16.260418
27.853250,-0.977648,-16.256636
27.864863,-0.981951,-16.256475
27.853169,-0.991713,-16.235335
27.857647,-0.996047,-16.251632
27.854750,-1.019180,-16.241023
27.867977,-1.038305,-16.236629
27.866522,-1.052361,-16.208684
27.866868,-1.050377,-16.211030
27.880948,-1.073664,-16.192649
27.876987,-1.104281,-16.213952
27.882331,-1.125119,-16.203680
27.878307,-1.133072,-16.201202
27.880434,-1.134112,-16.189803
27.862470,-1.139219,-16.171766
27.877029,-1.147553,-16.166472
27.892284,-1.179233,-16.165692
27.894237,-1.204026,-16.160908
27.885896,-1.219586,-16.158584
27.911386,-1.232698,-16.164456
27.894566,-1.240374,-16.146221
27.908821,-1.248845,-16.148570
27.909432,-1.276772,-16.123611
27.906297,-1.277877,-16.114919
27.914094,-1.277573,-16.129728
27.903325,-1.312128,-16.109788
27.917573,-1.328353,-16.118889
27.934247,-1.332796,-16.114411
27.904893,-1.340504,-16.098049
27.921922,-1.349379,-16.089458
27.927955,-1.359296,-16.088281
27.923286,-1.396287,-16.076761
27.925160,-1.398432,-16.074922
27.937294,-1.414998,-16.071012
27.936398,-1.425116,-16.064472
27.923690,-1.452618,-16.057033
27.947979,-1.443128,-16.052685
27.937522,-1.477877,-16.045967
27.947246,-1.464247,-16.044336
27.956632,-1.495472,-16.041826
27.952631,-1.482921,-16.038148
27.973888,-1.508627,-16.054550
27.964732,-1.528948,-16.029414
27.958910,-1.513062,-16.018775
27.959536,-1.538387,-16.016450
27.963156,-1.569727,-16.016875
27.985207,-1.567877,-16.018782
27.967960,-1.586663,-15.999201
27.966896,-1.588177,-16.022577
27.967197,-1.591570,-15.992736
27.959668,-1.622375,-15.985929
27.975271,-1.636705,-15.971030
27.968122,-1.634773,-15.979190
27.972016,-1.661213,-15.963361
27.990578,-1.673439,-15.965836
27.969662,-1.672786,-15.974874
27.990518,-1.706563,-15.952507
28.011819,-1.696108,-15.948260
27.994483,-1.697564,-15.956459
28.004365,-1.708154,-15.933987
28.005179,-1.716225,-15.942224
28.001576,-1.742154,-15.927244
28.000782,-1.738845,-15.929806
28.020326,-1.744246,-15.919564
28.011438,-1.772813,-15.912055
28.006799,-1.769692,-15.910254
28.006723,-1.791839,-15.895816
28.013859,-1.809533,-15.920630
28.000902,-1.807771,-15.879405
28.006406,-1.811942,-15.888366
28.038318,-1.850654,-15.872943
28.029867,-1.847078,-15.883940
28.016425,-1.887982,-15.881192
28.011006,-1.848802,-15.865135
28.029770,-1.861868,-15.852326
28.035301,-1.873521,-15.849611
28.038901,-1.876995,-15.856852
28.036481,-1.912390,-15.845538
28.037864,-1.914017,-15.844027
28.044580,-1.925522,-15.858783
28.039779,-1.934809,-15.839186
28.062011,-1.931049,-15.842935
28.056649,-1.963857,-15.833683
28.037796,-1.974342,-15.826970
28.068798,-1.972984,-15.826809
28.045911,-1.973829,-15.818708
28.060716,-2.000549,-15.798821
28.056025,-2.000432,-15.800001
28.072086,-1.985803,-15.817171
28.051762,-2.028781,-15.809322
28.070355,-2.031779,-15.786825
28.051528,-2.052341,-15.786304
28.049338,-2.058634,-15.780685
28.071063,-2.052176,-15.783275
28.079337,-2.061407,-15.769661
28.059758,-2.079381,-15.784663
28.066113,-2.081226,-15.758210
28.075300,-2.092104,-15.761715
28.069559,-2.098324,-15.756062
28.076975,-2.104717,-15.769011
28.085957,-2.126284,-15.748058
28.089798,-2.123464,-15.739411
28.081061,-2.137151,-15.746927
28.065573,-2.132022,-15.746957
28.088416,-2.153979,-15.734634
28.087272,-2.168152,-15.728646
28.078545,-2.168552,-15.704857
28.074028,-2.182639,-15.719515
28.113508,-2.200359,-15.725632
28.086358,-2.172907,-15.707639
28.089505,-2.183316,-15.698835
28.105724,-2.230375,-15.712931
28.101021,-2.220931,-15.713093
28.088551,-2.240501,-15.673741
28.106919,-2.245006,-15.693686
28.119988,-2.228190,-15.684618
