ref_gps_x (m),ref_gps_y (m),ref_gps_z (m),ref_gps_vx (m/s),ref_gps_vy (m/s),ref_gps_vz (m/s)
6378137.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6378137.149004,0.029526,-0.498210,0.143064,0.036021,-1.006295
6378137.250176,0.067193,-1.982833,0.063436,0.038511,-1.814469
6378137.298216,0.105854,-3.797753,0.034853,0.038666,-1.815239
6378137.323973,0.144388,-5.613141,0.017968,0.038377,-1.815491
6378137.336569,0.182610,-7.428678,0.007996,0.038073,-1.815569
6378137.341392,0.220564,-9.244260,0.002106,0.037847,-1.815590
6378137.341624,0.258332,-11.059852,-0.001373,0.037698,-1.815594
6378137.339144,0.295979,-12.875446,-0.003428,0.037604,-1.815593
6378137.335062,0.333552,-14.691038,-0.004642,0.037546,-1.815592
6378137.330033,0.371079,-16.506629,-0.005359,0.037511,-1.815590
6378137.324446,0.408580,-18.322219,-0.005783,0.037491,-1.815589
6378137.318528,0.446064,-20.137808,-0.006033,0.037478,-1.815589
6378137.312415,0.483538,-21.953397,-0.006181,0.037471,-1.815589
6378137.305928,0.521871,-23.768818,-0.012703,0.058634,-1.811423
6378137.223016,0.749207,-25.532537,-0.170543,0.394500,-1.701639
6378136.947480,1.280641,-27.152579,-0.388240,0.656339,-1.527902
6378136.444917,2.031193,-28.576258,-0.617847,0.833242,-1.312199
6378135.721859,2.922316,-29.773099,-0.824272,0.940275,-1.078165
6378134.813019,3.895563,-30.737128,-0.986803,1.001315,-0.850795
6378133.766360,4.917423,-31.487071,-1.099543,1.041101,-0.654101
6378132.629586,5.976759,-32.064258,-1.168257,1.078704,-0.508889
6378131.441063,7.077019,-32.528423,-1.204901,1.123769,-0.430822
6378130.226669,8.226314,-32.951782,-1.221517,1.176097,-0.428939
6378128.994276,9.436011,-33.413699,-1.372199,1.359265,-0.537773
6378127.039056,10.883771,-34.265387,-2.513739,1.371880,-0.967551
6378124.267215,12.151240,-35.228212,-2.831650,1.205224,-0.970161
6378121.422005,13.317990,-36.205455,-2.856526,1.133714,-0.983347
6378118.557999,14.428829,-37.193055,-2.870308,1.091220,-0.991256
6378115.683458,15.506488,-38.186848,-2.878130,1.066036,-0.995970
6378112.802893,16.564496,-39.184325,-2.882638,1.051130,-0.998769
6378109.918839,17.610878,-40.183988,-2.885263,1.042315,-1.000428
6378107.032747,18.650387,-41.184945,-2.886800,1.037104,-1.001410
6378104.145461,19.685832,-42.186667,-2.887703,1.034024,-1.001990
6378101.257471,20.718876,-43.188842,-2.888235,1.032205,-1.002334
6378098.369068,21.750502,-44.191285,-2.888548,1.031130,-1.002536
6378095.480420,22.781289,-45.193886,-2.888733,1.030494,-1.002656
6378092.591627,23.811581,-46.196581,-2.888843,1.030119,-1.002727
6378089.702750,24.841581,-47.199331,-2.888907,1.029897,-1.002769
6378086.815260,25.856056,-48.212887,-2.878378,0.927088,-1.075238
6378083.970964,26.604901,-49.420014,-2.797742,0.568229,-1.345276
6378081.242886,27.001693,-50.905681,-2.644313,0.226098,-1.630663
6378078.705985,27.071759,-52.680371,-2.414385,-0.081653,-1.921758
6378076.436435,26.859664,-54.744830,-2.109743,-0.333908,-2.208397
6378074.504999,26.432265,-57.089297,-1.739781,-0.507622,-2.479798
6378072.968768,25.879215,-59.693103,-1.322628,-0.580808,-2.724989
6378071.862346,25.310230,-62.524685,-0.885095,-0.535948,-2.933238
6378071.189740,24.848922,-65.542053,-0.461313,-0.363383,-3.094492
6378070.918228,24.623463,-68.693667,-0.090118,-0.064175,-3.199790
6378070.933251,24.654963,-71.907225,-0.005190,-0.199624,-3.199949
6378071.064098,24.051036,-75.281145,0.269202,-1.019483,-3.559366
6378071.463166,22.616844,-79.029834,0.523926,-1.838631,-3.935209
6378072.005596,20.800762,-82.972965,0.558267,-1.796690,-3.949832
6378072.574773,19.017535,-86.927327,0.578516,-1.771667,-3.958213
6378073.159726,17.253871,-90.888164,0.590464,-1.756799,-3.963073
6378073.753990,15.501818,-94.852767,0.597517,-1.747985,-3.965912
6378074.353750,13.756642,-98.819577,0.601682,-1.742768,-3.967578
6378074.956758,12.015536,-102.787683,0.604142,-1.739682,-3.968558
6378075.561683,10.276837,-106.756552,0.605595,-1.737858,-3.969136
6378076.167740,8.539559,-110.725872,0.606453,-1.736780,-3.969477
6378076.774467,6.803123,-114.695457,0.606960,-1.736143,-3.969678
6378077.381588,5.067183,-118.665199,0.607260,-1.735766,-3.969797
6378077.988944,3.331537,-122.635033,0.607437,-1.735544,-3.969867
6378078.653471,1.805089,-126.666268,0.742835,-1.171991,-4.124612
6378079.422014,1.025831,-130.860600,0.761439,-0.373154,-4.248667
6378080.107642,1.051370,-135.127743,0.572010,0.427082,-4.267441
6378080.497047,1.850371,-139.358005,0.167496,1.161331,-4.172813
6378080.381006,3.321604,-143.435938,-0.436191,1.758415,-3.961479
6378079.578285,5.294106,-147.245254,-1.198728,2.151512,-3.635128
6378077.959572,7.535797,-150.673822,-2.056880,2.286756,-3.200412
6378075.468383,9.770468,-153.618533,-2.929037,2.131177,-2.668713
6378072.136039,11.701955,-155.989829,-3.722496,1.678944,-2.055713
6378068.088278,13.043301,-157.715721,-4.342796,0.954961,-1.380783
6378063.484252,13.873625,-159.146951,-4.771652,0.726106,-1.727569
6378058.589644,14.518123,-161.249891,-5.021122,0.586498,-2.501154
6378053.525052,14.951006,-163.709906,-5.097465,0.297573,-2.413705
6378048.407918,15.154904,-166.090891,-5.133026,0.123595,-2.352752
6378043.264973,15.223045,-168.423939,-5.151109,0.020630,-2.316099
6378038.108595,15.210890,-170.728269,-5.160774,-0.040239,-2.294224
6378032.944916,15.151277,-173.015495,-5.166128,-0.076206,-2.281224
6378027.777143,15.063624,-175.292569,-5.169167,-0.097457,-2.273517
6378022.607029,14.959404,-177.563629,-5.170919,-0.110012,-2.268955
6378017.435559,14.845397,-179.831131,-5.171940,-0.117429,-2.266256
6378012.263298,14.725607,-182.096528,-5.172537,-0.121811,-2.264661
6378007.090571,14.602401,-184.360681,-5.172888,-0.124400,-2.263718
6378001.917572,14.477177,-186.624099,-5.173095,-0.125930,-2.263161
6377996.744411,14.350760,-188.887083,-5.173217,-0.126833,-2.262832
6377991.571155,14.223640,-191.149810,-5.173289,-0.127367,-2.262637
6377986.372349,14.079011,-193.376845,-5.288128,-0.206160,-2.100512
6377980.960636,13.775850,-195.286376,-5.532486,-0.406207,-1.711766
6377975.320718,13.261009,-196.799074,-5.743731,-0.629410,-1.307111
6377969.486949,12.512279,-197.900087,-5.919466,-0.873871,-0.888578
6377963.495903,11.509408,-198.576497,-6.057571,-1.137520,-0.458115
6377957.386174,10.234324,-198.817361,-6.156135,-1.418067,-0.017724
6377951.198159,8.671350,-198.613759,-6.213471,-1.713012,0.430555
6377944.973819,6.807403,-197.958826,-6.228137,-2.019665,0.884647
6377938.756433,4.632179,-196.847784,-6.198952,-2.335167,1.342460
6377932.590322,2.138305,-195.277952,-6.125011,-2.656511,1.801891
6377926.472295,-0.723620,-193.376396,-6.226058,-3.083056,1.798861
6377920.021031,-3.943180,-191.766427,-6.704951,-3.349015,1.397203
6377913.163768,-7.394813,-190.480690,-6.853363,-3.535440,1.324114
6377906.352240,-10.985952,-189.093084,-6.775161,-3.638602,1.441864
6377899.602748,-14.657022,-187.613930,-6.727323,-3.698791,1.511048
6377892.890919,-18.374838,-186.080931,-6.698494,-3.734079,1.551783
6377886.201693,-22.120101,-184.516209,-6.681265,-3.754830,1.575799
6377879.525943,-25.881518,-182.932776,-6.671019,-3.767055,1.589969
6377872.858197,-29.652458,-181.338301,-6.664941,-3.774266,1.598335
6377866.195193,-33.429016,-179.737305,-6.661342,-3.778521,1.603275
6377859.534998,-37.208891,-178.132458,-6.659213,-3.781034,1.606193
6377852.876462,-40.990725,-176.525337,-6.657955,-3.782518,1.607916
6377846.218909,-44.773715,-174.916872,-6.657210,-3.783395,1.608934
6377839.561935,-48.557388,-173.307614,-6.656771,-3.783912,1.609536
6377832.924666,-52.367802,-171.680058,-6.439861,-4.071986,1.805575
6377827.297195,-57.232157,-169.292152,-4.683146,-5.583590,2.964363
6377823.711066,-63.289442,-165.819086,-2.403457,-6.406090,3.958982
6377822.539431,-69.753940,-161.454801,0.093872,-6.373373,4.738895
6377823.834347,-75.743443,-156.428526,2.471162,-5.452573,5.277469
6377827.309267,-80.407171,-150.987936,4.397488,-3.740623,5.564810
6377832.370834,-83.051950,-145.382029,5.598662,-1.453533,5.608319
6377838.197567,-83.248008,-139.844072,5.899649,1.103363,5.432021
6377843.854210,-80.897291,-134.575790,5.252313,3.579805,5.074719
6377848.424481,-76.252893,-129.733939,3.743702,5.632716,4.587109
