gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-0.065464,0.265129,0.342101
0.053087,0.585977,0.472302
0.006571,0.804190,0.723717
0.056836,0.995802,0.957147
0.063534,1.239062,1.176196
0.100319,1.354636,1.252145
0.029375,1.477478,1.409188
0.057150,1.650358,1.539909
0.149592,1.765226,1.601352
0.044169,1.871815,1.769698
0.104447,2.109243,1.814509
0.113576,2.092415,1.919997
0.108413,2.169680,1.959980
0.049131,2.201415,2.051663
0.024105,2.212689,2.163124
0.081225,2.333101,2.157983
0.090836,2.391489,2.241223
0.103023,2.390226,2.272565
0.074239,2.487562,2.260773
0.095949,2.423574,2.309245
0.101938,2.550829,2.344439
0.042873,2.562561,2.414059
0.154002,2.551782,2.370030
0.024455,2.556279,2.386483
0.177597,2.564358,2.408208
0.055525,2.599681,2.419041
0.135873,2.638008,2.415472
0.138049,2.597130,2.437747
0.153485,2.660209,2.463873
0.069953,2.707755,2.467083
0.101533,2.657859,2.390238
0.133344,2.628037,2.396858
0.113550,2.716552,2.513794
0.038481,2.587158,2.425676
0.118697,2.669605,2.387904
0.073714,2.624793,2.467828
0.060083,2.753751,2.362719
0.177390,2.621555,2.440881
0.095459,2.559485,2.436737
0.052036,2.617142,2.383551
0.018833,2.574373,2.399228
0.101403,2.555648,2.352847
0.071363,2.578400,2.355955
0.066054,2.609829,2.397400
0.072605,2.585260,2.340516
0.072069,2.570435,2.334283
0.045239,2.494275,2.390031
0.062387,2.525398,2.354129
0.060311,2.393569,2.290877
0.082800,2.544064,2.306923
0.056184,2.482955,2.249429
0.061791,2.435725,2.293984
0.058231,2.483597,2.263630
0.054125,2.396702,2.285509
-0.052109,2.421455,2.296475
0.103924,2.496868,2.194511
0.114486,2.375437,2.292980
0.109657,2.391377,2.261758
0.000074,2.441416,2.187587
0.055131,2.405292,2.252915
0.079331,2.293059,2.235191
0.102911,2.330313,2.249421
0.043891,2.345634,2.186156
0.026403,2.286453,2.172460
0.086164,2.288111,2.070677
0.124093,2.236443,2.100986
-0.060184,2.252728,2.088113
-0.045102,2.252371,2.191980
0.087484,2.246553,2.091933
0.060816,2.271781,2.050042
0.060582,2.301529,2.046578
0.051812,2.159444,2.076362
0.059345,2.195991,2.049599
0.002420,2.252859,2.094422
0.076524,2.165504,1.978604
0.072433,2.113131,2.043954
0.045473,2.170217,1.997332
0.052113,2.178641,2.077177
0.051370,2.081473,1.989328
