ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
1.000000,1.000000,-10.780325
1.000172,0.999891,-10.780341
1.000492,0.999693,-10.780369
1.000937,0.824053,-10.780408
1.001531,0.728764,-10.780476
0.884747,0.655424,-10.780568
0.670301,0.589309,-10.780663
0.604545,0.529646,-10.780734
0.545594,0.475792,-10.780804
0.492784,0.427148,-10.780871
0.445510,0.383184,-10.780934
0.403226,0.343423,-10.780993
0.365438,0.307438,-10.781047
0.331702,0.274847,-10.781096
0.301615,0.245305,-10.781139
0.274816,0.218506,-10.781178
0.250978,0.194171,-10.781212
0.229806,0.172052,-10.781240
0.211035,0.151927,-10.781264
0.194426,0.133594,-10.781283
0.179763,0.116874,-10.781297
0.166851,0.101605,-10.781307
0.155516,0.087642,-10.781313
0.145599,0.074853,-10.781314
0.136958,0.063121,-10.781312
0.129466,0.052342,-10.781306
0.123005,0.042420,-10.781297
0.117474,0.033269,-10.781284
0.112777,0.024814,-10.781268
0.108831,0.016984,-10.781249
0.105560,0.009719,-10.781227
0.102895,0.002962,-10.781203
0.100775,-0.003336,-10.781175
0.099143,-0.009221,-10.781145
0.097951,-0.014734,-10.781113
0.097153,-0.019911,-10.781079
0.096708,-0.024784,-10.781042
0.096581,-0.029383,-10.781003
0.096738,-0.033735,-10.780962
0.097149,-0.037864,-10.780919
0.097789,-0.041791,-10.780875
0.098633,-0.045535,-10.780828
0.099659,-0.049114,-10.780780
0.100848,-0.052543,-10.780730
0.102183,-0.055836,-10.780679
0.103648,-0.059007,-10.780626
0.105228,-0.062067,-10.780571
0.106911,-0.065025,-10.780515
0.108686,-0.067891,-10.780458
0.110542,-0.070673,-10.780399
0.112470,-0.073379,-10.780339
0.114461,-0.076016,-10.780278
0.116508,-0.078589,-10.780215
0.118605,-0.081104,-10.780151
0.120744,-0.083566,-10.780086
0.122921,-0.085980,-10.780021
0.125131,-0.088348,-10.779953
0.127369,-0.090676,-10.779885
0.129631,-0.092965,-10.779816
0.131914,-0.095220,-10.779746
0.134214,-0.097442,-10.779675
0.136529,-0.099634,-10.779603
0.138855,-0.101798,-10.779530
0.141192,-0.103936,-10.779456
0.143536,-0.106050,-10.779381
0.145885,-0.108141,-10.779305
0.148239,-0.110211,-10.779229
0.150595,-0.112261,-10.779152
0.152952,-0.114292,-10.779073
0.155309,-0.116305,-10.778995
0.157664,-0.118301,-10.778915
0.160018,-0.120281,-10.778835
0.162368,-0.122245,-10.778754
0.164714,-0.124195,-10.778672
0.167056,-0.126131,-10.778589
0.169393,-0.128053,-10.778506
0.171723,-0.129963,-10.778422
0.174048,-0.131859,-10.778338
0.176366,-0.133744,-10.778253
0.178677,-0.135617,-10.778167
0.180980,-0.137479,-10.778081
0.183276,-0.139329,-10.777995
0.185563,-0.141169,-10.777907
0.187842,-0.142999,-10.777819
0.190113,-0.144818,-10.777731
0.192375,-0.146627,-10.777642
