ref_gps_x (m),ref_gps_y (m),ref_gps_z (m),ref_gps_vx (m/s),ref_gps_vy (m/s),ref_gps_vz (m/s)
6378137.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6378137.100415,0.110018,-0.495371,0.090802,0.137339,-1.000511
6378137.157478,0.268463,-1.989377,0.020865,0.179913,-1.953392
6378137.163936,0.455554,-3.942176,-0.005981,0.193040,-1.952240
6378137.149270,0.652479,-5.893976,-0.022137,0.200184,-1.951404
6378137.121944,0.854833,-7.845088,-0.031780,0.204188,-1.950856
6378137.087081,1.060260,-9.795761,-0.037509,0.206479,-1.950513
6378137.047743,1.267455,-11.746162,-0.040905,0.207805,-1.950304
6378137.005756,1.475677,-13.696399,-0.042915,0.208579,-1.950178
6378136.962200,1.684502,-15.646537,-0.044104,0.209034,-1.950103
6378136.917718,1.893679,-17.596616,-0.044807,0.209301,-1.950059
6378136.872687,2.103065,-19.546660,-0.045222,0.209458,-1.950032
6378136.827333,2.312573,-21.496684,-0.045468,0.209551,-1.950016
6378136.781787,2.522154,-23.446695,-0.045613,0.209606,-1.950007
6378136.736128,2.731777,-25.396699,-0.045698,0.209638,-1.950002
6378136.673847,2.972508,-27.334673,-0.128456,0.357902,-1.889555
6378136.427138,3.487468,-29.132722,-0.373953,0.658440,-1.695303
6378135.924198,4.254769,-30.713234,-0.632808,0.863506,-1.458576
6378135.173276,5.187540,-32.047777,-0.864417,0.993074,-1.208328
6378134.213883,6.224427,-33.138181,-1.047323,1.076298,-0.975673
6378133.097618,7.333228,-34.017122,-1.178415,1.140672,-0.790603
6378131.872262,8.504927,-34.745346,-1.267328,1.203964,-0.678706
6378130.573052,9.741765,-35.405795,-1.328070,1.270618,-0.658280
6378129.222614,11.044240,-36.095157,-1.370531,1.333231,-0.738125
6378127.838361,12.401812,-36.913634,-1.394459,1.378281,-0.916224
6378126.295523,13.819178,-38.033567,-1.978084,1.418368,-1.535551
6378123.847652,15.004520,-39.694464,-2.774189,0.986443,-1.708322
6378121.075085,15.931958,-41.437717,-2.770040,0.876933,-1.773536
6378118.308042,16.774114,-43.232523,-2.764071,0.812398,-1.813142
6378115.546465,17.566021,-45.058438,-2.759300,0.774371,-1.836893
6378112.788892,18.328311,-46.902945,-2.756044,0.751949,-1.851042
6378110.033958,19.073133,-48.758509,-2.753966,0.738719,-1.859442
6378107.280678,19.807645,-50.620630,-2.752686,0.730910,-1.864417
6378104.528409,20.536071,-52.486633,-2.751910,0.726299,-1.867362
6378101.776749,21.260904,-54.354933,-2.751446,0.723576,-1.869103
6378099.025452,21.983613,-56.224590,-2.751169,0.721967,-1.870132
6378096.274372,22.705068,-58.095049,-2.751005,0.721017,-1.870740
6378093.523420,23.425783,-59.965983,-2.750907,0.720456,-1.871100
6378090.772543,24.146060,-61.837197,-2.750850,0.720124,-1.871312
6378088.021712,24.866078,-63.708577,-2.750816,0.719928,-1.871437
6378085.270907,25.585944,-65.580054,-2.750795,0.719812,-1.871512
6378082.619117,26.291289,-67.631059,-2.500175,0.674155,-2.301847
6378080.315317,26.903535,-70.188832,-2.080191,0.533424,-2.814525
6378078.500883,27.331003,-73.236400,-1.519530,0.306310,-3.270580
6378077.315541,27.497458,-76.686761,-0.822722,0.015785,-3.609066
6378076.886466,27.356360,-80.394355,-0.010786,-0.302220,-3.775021
6378077.311310,26.901691,-84.164372,0.878160,-0.603407,-3.726059
6378078.641714,26.173501,-87.768168,1.790513,-0.840942,-3.437874
6378080.869547,25.257330,-90.963393,2.661042,-0.971763,-2.908045
6378083.917999,24.277438,-93.516884,3.418641,-0.962513,-2.157669
6378087.639128,23.384598,-95.227991,3.993426,-0.794321,-1.230580
6378091.539925,22.678185,-96.756196,3.888239,-0.761930,-2.026321
6378095.489432,21.799800,-99.282896,4.010812,-0.995532,-3.033995
6378099.535048,20.738019,-102.643941,4.047577,-1.064033,-3.460106
6378103.575533,19.688915,-106.116852,4.034395,-1.036306,-3.483835
6378107.605710,18.661452,-109.608174,4.026559,-1.019884,-3.497719
6378111.629768,17.646800,-113.110289,4.021913,-1.010169,-3.505874
6378115.650200,16.639725,-116.618750,4.019163,-1.004424,-3.510676
6378119.668487,15.637130,-120.130951,4.017536,-1.001029,-3.513506
6378123.685504,14.637182,-123.645357,4.016574,-0.999022,-3.515177
6378127.701772,13.638798,-127.161065,4.016005,-0.997837,-3.516163
6378131.717596,12.641339,-130.677542,4.015670,-0.997136,-3.516745
6378135.733159,11.644426,-134.194472,4.015471,-0.996722,-3.517089
6378139.748567,10.647835,-137.711671,4.015354,-0.996478,-3.517292
6378144.071882,9.902338,-140.946215,4.791984,-0.288932,-2.741619
6378149.199753,10.207035,-143.101667,5.370888,0.956984,-1.529894
6378154.593215,11.860829,-143.982003,5.299144,2.374606,-0.208719
6378159.565668,14.920386,-143.534640,4.521236,3.725750,1.105217
6378163.427476,19.194365,-141.827076,3.089209,4.759935,2.290367
6378165.594720,24.253773,-139.045802,1.161624,5.260291,3.232378
6378165.686816,29.487113,-135.483305,-1.017658,5.085654,3.835588
6378163.594163,34.192132,-131.514386,-3.157467,4.200272,4.032734
6378159.502231,37.688425,-127.564074,-4.967160,2.684836,3.791837
6378153.866644,39.430600,-124.070385,-6.205234,0.726307,3.119526
6378147.128877,39.642085,-121.121719,-7.156688,0.107664,2.861331
6378139.618568,39.825705,-118.318515,-7.874263,0.296696,2.759215
6378131.647279,39.996939,-115.631748,-8.002471,0.005526,2.613039
6378123.629051,39.885074,-113.070843,-8.030693,-0.212421,2.516029
6378115.590887,39.603291,-110.586010,-8.044202,-0.341186,2.458039
6378107.542912,39.221138,-108.146536,-8.051080,-0.417238,2.423547
6378099.489828,38.779704,-105.734003,-8.054757,-0.462156,2.403091
6378091.433964,38.303255,-103.337436,-8.056796,-0.488688,2.390977
6378083.376542,37.806125,-100.950317,-8.057953,-0.504361,2.383812
6378075.318228,37.296776,-98.568788,-8.058621,-0.513620,2.379575
6378067.259398,36.780211,-96.190562,-8.059009,-0.519089,2.377071
6378059.200266,36.259381,-93.814288,-8.059237,-0.522320,2.375591
6378051.140957,35.736033,-91.439168,-8.059371,-0.524229,2.374717
6378043.081543,35.211197,-89.064730,-8.059449,-0.525357,2.374200
6378035.022069,34.685481,-86.690694,-8.059751,-0.526839,2.373236
6378026.866787,33.820418,-84.612999,-8.253421,-1.253039,1.711670
6378018.548677,32.207472,-83.304234,-8.366667,-1.964445,0.879411
6378010.168939,29.932857,-82.878323,-8.375401,-2.571727,-0.051635
6378001.832226,27.111007,-83.423534,-8.279894,-3.054496,-1.059777
6377993.641316,23.875356,-85.005232,-8.083624,-3.395265,-2.120962
6377985.694004,20.375157,-87.663797,-7.793070,-3.580015,-3.209367
6377978.080246,16.771760,-91.413176,-7.417395,-3.598667,-4.298042
6377970.879665,13.234498,-96.240079,-6.968053,-3.445436,-5.359572
6377964.159490,9.936255,-102.103847,-6.458318,-3.119073,-6.366746
6377957.972984,7.048878,-108.936986,-5.910479,-2.613445,-7.300601
6377951.814725,4.953267,-116.617322,-6.467512,-1.655087,-7.915918
6377945.003968,3.656189,-124.691499,-7.074124,-0.998656,-8.206448
6377937.996834,2.771553,-132.967815,-6.949634,-0.786233,-8.334913
6377931.086992,2.053996,-141.341780,-6.875721,-0.658488,-8.406973
6377924.234847,1.436523,-149.771038,-6.831940,-0.582259,-8.448190
6377917.416858,0.878645,-158.232118,-6.806037,-0.536965,-8.472064
6377910.619070,0.356137,-166.711699,-6.790722,-0.510117,-8.486002
6377903.833224,-0.145421,-175.202108,-6.781669,-0.494224,-8.494177
6377897.054436,-0.634583,-183.698877,-6.776320,-0.484824,-8.498987
6377890.279818,-1.116414,-192.199391,-6.773159,-0.479267,-8.501821
6377883.507665,-1.593912,-200.702113,-6.771292,-0.475983,-8.503493
6377876.736968,-2.068850,-209.206137,-6.770188,-0.474043,-8.504480
6377869.967130,-2.542275,-217.710931,-6.769537,-0.472896,-8.505062
6377863.197801,-3.014806,-226.216179,-6.769151,-0.472218,-8.505407
6377856.558224,-3.466248,-234.827963,-6.120089,-0.362649,-9.023818
6377851.299567,-3.627345,-244.407667,-4.360245,0.082942,-10.080859
6377847.840346,-3.238745,-254.847506,-2.537671,0.729107,-10.738629
6377846.196663,-2.131624,-265.749798,-0.742837,1.508726,-11.005858
6377846.304527,-0.211591,-276.740396,0.954720,2.341552,-10.920179
6377848.041516,2.533356,-287.495360,2.508017,3.144812,-10.543841
6377851.249095,6.035435,-297.762973,3.891566,3.843349,-9.958169
6377855.752279,10.158948,-307.379416,5.097231,4.377784,-9.256478
6377861.374035,14.718903,-316.276839,6.128018,4.709695,-8.536039
6377867.942951,19.503106,-324.483175,6.991040,4.823313,-7.889721
