ref_mag_x (uT),ref_mag_y (uT),ref_mag_z (uT)
27.652757,0.000000,-16.617507
27.653330,-0.001822,-16.616553
27.654419,-0.005423,-16.614740
27.655970,-0.010761,-16.612155
27.657937,-0.017800,-16.608875
27.660274,-0.026508,-16.604971
27.662943,-0.036854,-16.600505
27.665906,-0.048812,-16.595534
27.669131,-0.062356,-16.590111
27.672588,-0.077350,-16.584281
27.676250,-0.093640,-16.578086
27.680090,-0.111089,-16.571565
27.684088,-0.129571,-16.564751
27.688223,-0.148972,-16.557675
27.692477,-0.169192,-16.550366
27.696832,-0.190137,-16.542849
27.701274,-0.211723,-16.535147
27.705791,-0.233876,-16.527280
27.710368,-0.256527,-16.519268
27.714996,-0.279614,-16.511126
27.719666,-0.303082,-16.502872
27.724367,-0.326880,-16.494519
27.729092,-0.350963,-16.486078
27.733835,-0.375290,-16.477563
27.738588,-0.399824,-16.468983
27.743346,-0.424531,-16.460347
27.748105,-0.449381,-16.451664
27.752858,-0.474347,-16.442942
27.757604,-0.499405,-16.434188
27.762337,-0.524531,-16.425408
27.767055,-0.549707,-16.416608
27.771754,-0.574914,-16.407792
27.776433,-0.600137,-16.398967
27.781089,-0.625360,-16.390135
27.785721,-0.650570,-16.381300
27.790325,-0.675756,-16.372467
27.794902,-0.700907,-16.363639
27.799449,-0.726013,-16.354817
27.803966,-0.751067,-16.346006
27.808451,-0.776059,-16.337206
27.812904,-0.800984,-16.328421
27.817323,-0.825836,-16.319651
27.821709,-0.850608,-16.310900
27.826061,-0.875296,-16.302168
27.830378,-0.899896,-16.293457
27.834660,-0.924404,-16.284768
27.838907,-0.948816,-16.276102
27.843118,-0.973129,-16.267461
27.847294,-0.997341,-16.258845
27.851434,-1.021449,-16.250254
27.855538,-1.045451,-16.241691
27.859607,-1.069346,-16.233155
27.863639,-1.093131,-16.224647
27.867636,-1.116806,-16.216168
27.871598,-1.140369,-16.207717
27.875524,-1.163820,-16.199297
27.879414,-1.187157,-16.190906
27.883269,-1.210379,-16.182546
27.887090,-1.233487,-16.174216
27.890875,-1.256480,-16.165917
27.894626,-1.279357,-16.157649
27.898342,-1.302119,-16.149412
27.902024,-1.324764,-16.141207
27.905672,-1.347293,-16.133033
27.909287,-1.369707,-16.124892
27.912868,-1.392004,-16.116782
27.916415,-1.414186,-16.108704
27.919930,-1.436251,-16.100658
27.923412,-1.458202,-16.092644
27.926862,-1.480037,-16.084663
27.930280,-1.501757,-16.076713
27.933665,-1.523362,-16.068796
27.937020,-1.544853,-16.060912
27.940342,-1.566230,-16.053059
27.943634,-1.587493,-16.045239
27.946895,-1.608643,-16.037451
27.950126,-1.629681,-16.029695
27.953326,-1.650606,-16.021972
27.956496,-1.671419,-16.014281
27.959637,-1.692121,-16.006622
27.962748,-1.712712,-15.998995
27.965831,-1.733192,-15.991400
27.968884,-1.753563,-15.983837
27.971909,-1.773824,-15.976306
27.974906,-1.793976,-15.968808
27.977874,-1.814020,-15.961341
27.980815,-1.833956,-15.953906
27.983728,-1.853785,-15.946502
27.986615,-1.873507,-15.939131
27.989474,-1.893122,-15.931791
27.992306,-1.912632,-15.924482
27.995112,-1.932037,-15.917205
27.997892,-1.951337,-15.909960
28.000646,-1.970533,-15.902746
28.003374,-1.989625,-15.895563
28.006077,-2.008615,-15.888411
28.008755,-2.027501,-15.881291
28.011408,-2.046286,-15.874201
28.014036,-2.064970,-15.867142
28.016639,-2.083552,-15.860114
28.019219,-2.102035,-15.853117
28.021774,-2.120417,-15.846151
28.024306,-2.138700,-15.839215
28.026814,-2.156885,-15.832310
28.029299,-2.174971,-15.825435
28.031761,-2.192960,-15.818591
28.034200,-2.210851,-15.811777
28.036616,-2.228646,-15.804993
28.039010,-2.246345,-15.798239
28.041382,-2.263948,-15.791515
28.043732,-2.281456,-15.784820
28.046060,-2.298869,-15.778156
28.048367,-2.316189,-15.771521
28.050652,-2.333415,-15.764916
28.052917,-2.350548,-15.758341
28.055160,-2.367588,-15.751795
28.057383,-2.384536,-15.745278
28.059585,-2.401393,-15.738790
28.061767,-2.418159,-15.732332
28.063928,-2.434835,-15.725903
28.066070,-2.451420,-15.719502
28.068193,-2.467916,-15.713131
28.070295,-2.484323,-15.706788
28.072379,-2.500641,-15.700473
28.074443,-2.516871,-15.694188
28.076488,-2.533014,-15.687931
28.078515,-2.549069,-15.681702
28.080523,-2.565038,-15.675501
28.082512,-2.580921,-15.669329
28.084483,-2.596718,-15.663185
28.086437,-2.612430,-15.657068
28.088372,-2.628057,-15.650980
28.090290,-2.643600,-15.644919
28.092190,-2.659059,-15.638886
28.094073,-2.674434,-15.632881
28.095939,-2.689727,-15.626903
28.097787,-2.704938,-15.620953
28.099619,-2.720066,-15.615030
28.101434,-2.735113,-15.609134
28.103233,-2.750078,-15.603265
28.105015,-2.764963,-15.597423
28.106781,-2.779768,-15.591608
28.108531,-2.794493,-15.585820
28.110265,-2.809139,-15.580059
28.111984,-2.823706,-15.574324
28.113687,-2.838194,-15.568615
28.115374,-2.852604,-15.562934
28.117046,-2.866937,-15.557278
28.118703,-2.881192,-15.551649
28.120345,-2.895371,-15.546045
28.121972,-2.909473,-15.540468
28.123585,-2.923500,-15.534917
28.125182,-2.937451,-15.529392
