ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
6378137.000000,0.000000,0.000000
6378137.000000,0.000000,0.000000
6378137.000100,0.000074,-0.000100
6378137.000295,0.000215,-0.000300
6378137.000573,0.000415,-0.000600
6378137.000926,0.000670,-0.001000
6378137.001346,0.000974,-0.001500
6378137.001826,0.001322,-0.002100
6378137.002360,0.001709,-0.002801
6378137.002942,0.002133,-0.003601
6378137.003568,0.002590,-0.004501
6378137.004233,0.003076,-0.005502
6378137.004932,0.003589,-0.006603
6378137.005663,0.004126,-0.007804
6378137.006421,0.004686,-0.009105
6378137.007203,0.005266,-0.010506
6378137.008008,0.005864,-0.012008
6378137.008831,0.006480,-0.013609
6378137.009672,0.007111,-0.015311
6378137.010527,0.007757,-0.017114
6378137.011396,0.008416,-0.019016
6378137.012275,0.009088,-0.021019
6378137.013165,0.009770,-0.023122
6378137.014063,0.010464,-0.025325
6378137.014969,0.011167,-0.027628
6378137.015880,0.011880,-0.030032
6378137.016796,0.012602,-0.032536
6378137.017716,0.013332,-0.035140
6378137.018640,0.014069,-0.037844
6378137.019565,0.014815,-0.040649
6378137.020492,0.015567,-0.043554
6378137.021420,0.016327,-0.046559
6378137.022348,0.017093,-0.049664
6378137.023276,0.017865,-0.052870
6378137.024203,0.018644,-0.056176
6378137.025129,0.019429,-0.059582
6378137.026053,0.020220,-0.063088
6378137.026975,0.021017,-0.066694
6378137.027894,0.021820,-0.070400
6378137.028810,0.022628,-0.074207
6378137.029723,0.023442,-0.078114
6378137.030632,0.024262,-0.082121
6378137.031537,0.025087,-0.086228
6378137.032438,0.025918,-0.090435
6378137.033335,0.026754,-0.094743
6378137.034227,0.027596,-0.099150
6378137.035114,0.028443,-0.103658
6378137.035996,0.029296,-0.108266
6378137.036873,0.030155,-0.112973
6378137.037743,0.031019,-0.117781
6378137.038609,0.031888,-0.122689
6378137.039468,0.032764,-0.127697
6378137.040321,0.033645,-0.132806
6378137.041168,0.034531,-0.138014
6378137.042008,0.035424,-0.143322
6378137.042842,0.036322,-0.148730
6378137.043669,0.037226,-0.154238
6378137.044490,0.038136,-0.159846
6378137.045303,0.039052,-0.165555
6378137.046109,0.039973,-0.171363
6378137.046907,0.040901,-0.177271
