ref_gps_x (m),ref_gps_y (m),ref_gps_z (m),ref_gps_vx (m/s),ref_gps_vy (m/s),ref_gps_vz (m/s)
6378137.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6378137.071572,0.083582,-0.495445,0.040673,0.122100,-0.999725
6378137.045204,0.251283,-1.985349,-0.099835,0.215767,-1.951824
6378136.917628,0.482387,-3.933723,-0.151489,0.243896,-1.945175
6378136.749487,0.734731,-5.876424,-0.182450,0.259458,-1.940498
6378136.557118,0.998964,-7.815310,-0.200881,0.268280,-1.937476
6378136.350350,1.269989,-9.751781,-0.211815,0.273362,-1.935600
6378136.135047,1.544947,-11.686769,-0.218291,0.276319,-1.934460
6378135.914693,1.822200,-13.620861,-0.222121,0.278050,-1.933776
6378135.691352,2.100798,-15.554418,-0.224386,0.279067,-1.933368
6378135.466245,2.380189,-17.487655,-0.225725,0.279666,-1.933126
6378135.240094,2.660045,-19.420704,-0.226516,0.280020,-1.932982
6378135.013326,2.940177,-21.353640,-0.226984,0.280228,-1.932897
6378134.786193,3.220471,-23.286509,-0.227260,0.280351,-1.932847
6378134.558846,3.500861,-25.219340,-0.227423,0.280424,-1.932817
6378134.331228,3.781594,-27.152079,-0.233175,0.291756,-1.930079
6378134.005503,4.247082,-29.028971,-0.426929,0.647286,-1.809937
6378133.483529,5.058431,-30.758144,-0.613703,0.971013,-1.641852
6378132.794222,6.171856,-32.310612,-0.757542,1.252153,-1.462559
6378131.988834,7.548316,-33.694072,-0.844174,1.497825,-1.310722
6378131.125529,9.154804,-34.955284,-0.874005,1.712011,-1.224788
6378130.255771,10.958656,-36.176860,-0.859458,1.890675,-1.236984
6378129.414748,12.917973,-37.468283,-0.819692,2.019044,-1.367880
6378128.617900,14.970739,-38.952055,-0.773874,2.071875,-1.622242
6378127.864295,17.025816,-40.746585,-0.734484,2.016925,-1.986719
6378127.143951,18.960916,-42.950176,-0.765814,1.877519,-2.494985
6378125.928693,20.996513,-45.913615,-1.641280,2.251669,-3.196745
6378124.062482,23.389607,-49.146116,-1.911732,2.403668,-3.258683
6378122.155400,25.773659,-52.421857,-1.902876,2.367162,-3.290434
6378120.255671,28.129076,-55.722512,-1.896953,2.345327,-3.309435
6378118.360721,30.467412,-59.038032,-1.893208,2.332339,-3.320740
6378116.468746,32.795603,-62.362382,-1.890909,2.324636,-3.327444
6378114.578583,35.117783,-65.691964,-1.889520,2.320074,-3.331414
6378112.689510,37.436404,-69.024643,-1.888689,2.317376,-3.333763
6378110.801088,39.752921,-72.359153,-1.888194,2.315781,-3.335151
6378108.913051,42.068194,-75.694746,-1.887901,2.314838,-3.335972
6378107.025244,44.382732,-79.030979,-1.887727,2.314281,-3.336457
6378105.137573,46.696835,-82.367590,-1.887624,2.313952,-3.336743
6378103.249982,49.010682,-85.704425,-1.887563,2.313757,-3.336912
6378101.362438,51.324377,-89.041391,-1.887527,2.313642,-3.337013
6378099.474947,53.637971,-92.378470,-1.885122,2.312444,-3.340334
6378097.710346,55.879660,-95.882093,-1.624074,2.144706,-3.691345
6378096.235034,57.890584,-99.762251,-1.318707,1.854911,-4.071646
6378095.079461,59.554664,-104.014243,-0.984112,1.450497,-4.429554
6378094.273586,60.760361,-108.600023,-0.618677,0.938952,-4.733408
6378093.849218,61.407356,-113.450099,-0.220478,0.335295,-4.952321
6378093.839827,61.413978,-118.465299,0.211705,-0.338218,-5.058170
6378094.279326,60.724067,-123.520471,0.677356,-1.052945,-5.027461
6378095.199857,59.312715,-128.469943,1.173269,-1.775240,-4.842954
6378096.628702,57.190404,-133.154441,1.692794,-2.468281,-4.494936
6378098.585196,54.405872,-137.409509,2.266398,-3.043639,-4.012353
6378101.088963,51.659248,-141.714911,2.626599,-2.621924,-4.701315
6378103.804330,49.113338,-146.844927,2.799369,-2.468302,-5.576792
6378106.665419,46.688985,-152.712620,2.904169,-2.426859,-5.929066
6378109.596134,44.247893,-158.622720,2.953518,-2.453137,-5.893769
6378112.565456,41.786607,-164.505129,2.982881,-2.468213,-5.872650
6378115.557714,39.313672,-170.371014,3.000299,-2.476962,-5.860080
6378118.563567,36.833953,-176.227079,3.010613,-2.482075,-5.852622
6378121.577467,34.350260,-182.077322,3.016715,-2.485076,-5.848205
6378124.596125,31.864232,-187.924119,3.020323,-2.486842,-5.845591
6378127.617596,29.376829,-193.768878,3.022455,-2.487884,-5.844045
6378130.640731,26.888615,-199.612431,3.023716,-2.488498,-5.843132
6378133.664847,24.399921,-205.455272,3.024460,-2.488860,-5.842592
