accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
0.806602,-0.672725,-10.719447
0.808865,-0.669632,-10.723888
0.804547,-0.674499,-10.723593
0.827332,-0.682284,-10.711501
0.825287,-0.682763,-10.718128
0.814463,-0.680580,-10.702417
0.823709,-0.687293,-10.722603
0.828763,-0.683797,-10.717570
0.832903,-0.699792,-10.708701
0.825233,-0.690012,-9.928094
0.834235,-0.696269,-9.711201
0.846009,-0.697587,-9.713279
0.843428,-0.700778,-9.713703
0.855881,-0.702649,-9.707255
0.849312,-0.713408,-9.713083
0.854938,-0.703057,-9.702579
0.864219,-0.706845,-9.712100
0.852007,-0.706429,-9.715153
0.869565,-0.716672,-9.712085
0.870586,-0.721773,-9.710484
0.876071,-0.720613,-9.706694
0.870573,-0.720283,-9.716082
0.871632,-0.725590,-9.701613
0.883841,-0.719021,-9.699469
0.881770,-0.727971,-9.705310
0.881415,-0.738823,-9.712417
0.881580,-0.741917,-9.706452
0.892564,-0.739388,-9.697618
0.896857,-0.735953,-9.705739
0.900994,-0.744483,-9.704436
0.905802,-0.745547,-9.703566
0.902682,-0.751483,-9.700409
0.899194,-0.737245,-9.694289
0.899050,-0.756018,-9.698364
0.912249,-0.746894,-9.704353
0.908635,-0.750834,-9.696948
0.905775,-0.752887,-9.706240
0.931727,-0.749878,-9.699931
0.924572,-0.766703,-9.703783
0.919303,-0.771325,-9.704443
0.925301,-0.755463,-9.687052
0.930304,-0.768259,-9.698520
0.930665,-0.768920,-9.701426
0.927364,-0.767265,-9.709991
0.937911,-0.779773,-9.700688
0.937948,-0.775150,-9.690419
0.938547,-0.772736,-9.704151
0.951604,-0.784650,-9.704600
0.942332,-0.791948,-9.696800
0.957373,-0.781268,-9.691918
0.944964,-0.791507,-9.688201
0.954604,-0.777608,-9.694255
0.963681,-0.783199,-9.698506
0.963477,-0.795922,-9.693308
0.963912,-0.795102,-9.703727
0.967529,-0.795495,-9.697644
0.969115,-0.797720,-9.698845
0.969076,-0.799373,-9.697832
0.975276,-0.806559,-9.694135
0.972805,-0.808931,-9.688188
0.977466,-0.809171,-9.693679
0.991280,-0.797750,-9.688957
0.974112,-0.805385,-9.699113
0.987298,-0.812141,-9.690600
0.990275,-0.818543,-9.685575
0.991488,-0.819096,-9.696058
0.990616,-0.819025,-9.681133
0.999448,-0.816503,-9.687595
0.996988,-0.815568,-9.696948
0.997215,-0.817900,-9.689363
1.002214,-0.818025,-9.689613
1.010687,-0.827466,-9.684746
1.007368,-0.832473,-9.688019
1.013022,-0.830304,-9.687715
1.009911,-0.838939,-9.691489
1.014433,-0.835529,-9.690615
1.021561,-0.837920,-9.685279
1.011617,-0.835033,-9.691961
1.027520,-0.842591,-9.678363
1.028143,-0.827642,-9.687214
1.018873,-0.837752,-9.683103
1.017582,-0.844342,-9.684770
1.028152,-0.843491,-9.690461
1.040847,-0.847560,-9.687760
1.031139,-0.856694,-9.667753
1.036917,-0.847936,-9.679908
1.038410,-0.856008,-9.679946
1.034539,-0.850101,-9.682219
1.046410,-0.852995,-9.677640
1.034088,-0.861665,-9.681370
1.049765,-0.862315,-9.681058
1.044274,-0.870178,-9.683353
1.049424,-0.871966,-9.690629
1.052989,-0.866502,-9.670695
1.047503,-0.864046,-9.690622
1.046857,-0.872506,-9.670490
1.065433,-0.870612,-9.680346
1.075108,-0.865747,-9.682017
1.059194,-0.873818,-9.678566
1.059747,-0.879767,-9.683650
1.063201,-0.877227,-9.667422
1.063344,-0.882017,-9.671275
1.067189,-0.873861,-9.678916
1.067584,-0.872258,-9.678452
1.085451,-0.881989,-9.677900
1.066396,-0.884826,-9.674494
1.085144,-0.884404,-9.678471
1.076673,-0.877086,-9.675116
1.077444,-0.887413,-9.674324
1.095715,-0.897000,-9.674632
1.086263,-0.881991,-9.672636
1.088563,-0.895376,-9.665737
1.082061,-0.897260,-9.673417
1.095304,-0.896988,-9.664631
1.093158,-0.903309,-9.676912
1.092216,-0.891280,-9.672025
1.093455,-0.896154,-9.675706
1.092816,-0.899652,-9.663721
1.100116,-0.900555,-9.665306
1.102409,-0.911746,-9.672092
1.113521,-0.906902,-9.670051
1.106031,-0.906705,-9.666418
1.107653,-0.913048,-9.666965
1.109408,-0.904648,-9.669647
1.109362,-0.917095,-9.671346
1.113357,-0.904870,-9.674818
1.115406,-0.909461,-9.670781
1.114120,-0.914980,-9.671803
1.113992,-0.923585,-9.672093
1.124797,-0.918295,-9.669131
1.125293,-0.914770,-9.669478
