mag_x (uT),mag_y (uT),mag_z (uT)
27.906921,-1.282075,-16.109194
27.932889,-1.297660,-16.117520
27.903731,-1.311350,-16.109007
27.918338,-1.323882,-16.113160
27.924497,-1.330364,-16.094723
27.924497,-1.320056,-16.111933
27.930887,-1.344649,-16.110088
27.919647,-1.320716,-16.087643
27.935619,-1.334756,-16.099526
27.916114,-1.332010,-16.113976
27.932089,-1.361068,-16.092883
27.928511,-1.330490,-16.113847
27.920845,-1.357754,-16.100361
27.937052,-1.340981,-16.099565
27.940352,-1.347189,-16.107655
27.945609,-1.363102,-16.094634
27.926428,-1.374813,-16.087863
27.922924,-1.368662,-16.059872
27.942641,-1.383674,-16.071856
27.935469,-1.382848,-16.083278
27.907650,-1.379343,-16.083445
27.936942,-1.372308,-16.067958
27.932092,-1.396223,-16.081153
27.955525,-1.402767,-16.084611
27.920128,-1.403655,-16.053648
27.934200,-1.383787,-16.063742
27.942563,-1.412227,-16.080235
27.928612,-1.428054,-16.047215
27.940890,-1.420220,-16.058020
27.938785,-1.428677,-16.061391
27.936321,-1.419494,-16.056985
27.937659,-1.434800,-16.058593
27.943469,-1.445701,-16.054636
27.932993,-1.427181,-16.058233
27.929909,-1.441785,-16.032674
27.949507,-1.453077,-16.061414
27.955400,-1.447818,-16.033027
27.952541,-1.445075,-16.045835
27.935333,-1.454697,-16.063451
27.963645,-1.438594,-16.056754
27.947279,-1.447280,-16.070662
27.947032,-1.470978,-16.051342
27.944856,-1.474747,-16.043329
27.963328,-1.469437,-16.047641
27.932283,-1.465475,-16.045362
27.962357,-1.479989,-16.041833
27.954137,-1.491266,-16.055245
27.938315,-1.489560,-16.051597
27.961686,-1.483063,-16.035693
27.952928,-1.474895,-16.043099
27.954060,-1.506360,-16.038300
27.952820,-1.496455,-16.025987
27.954476,-1.510129,-16.025081
27.954831,-1.495260,-16.003308
27.957971,-1.515991,-16.039181
27.971849,-1.509429,-16.032058
27.955725,-1.495912,-16.034434
27.952579,-1.512668,-16.027728
27.956816,-1.523545,-15.991009
27.972877,-1.524392,-16.031116
27.944754,-1.531351,-16.017619
27.965615,-1.526755,-16.014538
27.956842,-1.549398,-16.001789
27.972499,-1.535346,-16.006785
27.956384,-1.541150,-16.016140
27.964021,-1.550020,-16.013137
27.964474,-1.545859,-16.015588
27.964948,-1.545483,-16.028315
27.968772,-1.564289,-16.006661
27.972084,-1.577989,-15.998273
27.940891,-1.575577,-16.024402
27.951266,-1.561700,-16.021834
27.968297,-1.564991,-15.990501
27.965265,-1.574196,-16.006860
27.958056,-1.560556,-15.996708
27.997692,-1.568024,-15.990475
27.952213,-1.586173,-15.992597
27.990047,-1.578510,-15.999565
27.978979,-1.584661,-15.986772
27.971531,-1.560745,-15.971759
27.959785,-1.585551,-16.004318
27.956833,-1.594692,-15.990020
27.977444,-1.584978,-16.001154
27.967731,-1.589926,-15.983223
28.000958,-1.628595,-15.972206
27.980004,-1.598526,-15.985637
28.008676,-1.604093,-15.981471
27.969734,-1.612971,-15.979996
27.972686,-1.596828,-15.975352
