ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
1.000000,1.000000,-10.780325
1.000048,0.999711,-10.780261
1.000134,0.999129,-10.780127
1.000262,0.998230,-10.779929
1.000432,0.997018,-10.779678
1.000646,0.995516,-10.779382
1.000904,0.993747,-10.779050
1.001206,0.991731,-10.778686
1.001551,0.989486,-10.778297
1.001939,0.987032,-10.777887
1.002369,0.747799,-10.777459
1.002935,0.473796,-10.777120
0.898354,0.421585,-10.776900
0.443937,0.374101,-10.776694
0.400858,0.330702,-10.776448
0.362236,0.291133,-10.776218
0.327629,0.255010,-10.776004
0.296635,0.221986,-10.775805
0.268895,0.191751,-10.775620
0.244084,0.164025,-10.775447
0.221909,0.138559,-10.775286
0.202106,0.115126,-10.775136
0.184440,0.093524,-10.774995
0.168695,0.073570,-10.774863
0.154680,0.055101,-10.774738
0.142222,0.037969,-10.774620
0.131164,0.022043,-10.774507
0.121367,0.007202,-10.774400
0.112703,-0.006660,-10.774297
0.105059,-0.019639,-10.774197
0.098332,-0.031822,-10.774101
0.092431,-0.043287,-10.774007
0.087271,-0.054104,-10.773915
0.082779,-0.064335,-10.773824
0.078887,-0.074038,-10.773734
0.075534,-0.083263,-10.773645
0.072665,-0.092056,-10.773556
0.070233,-0.100459,-10.773467
0.068192,-0.108507,-10.773378
0.066502,-0.116236,-10.773289
0.065129,-0.123674,-10.773199
0.064039,-0.130849,-10.773108
0.063204,-0.137784,-10.773016
0.062597,-0.144502,-10.772922
0.062195,-0.151023,-10.772828
0.061977,-0.157364,-10.772732
0.061923,-0.163540,-10.772634
0.062018,-0.169567,-10.772535
0.062244,-0.175457,-10.772434
0.062589,-0.181222,-10.772332
0.063040,-0.186872,-10.772228
0.063585,-0.192416,-10.772122
0.064215,-0.197864,-10.772014
0.064920,-0.203222,-10.771904
0.065692,-0.208497,-10.771793
0.066524,-0.213696,-10.771680
0.067409,-0.218825,-10.771564
0.068341,-0.223887,-10.771447
0.069316,-0.228889,-10.771328
0.070327,-0.233833,-10.771208
0.071371,-0.238723,-10.771085
0.072443,-0.243564,-10.770960
0.073541,-0.248357,-10.770834
0.074661,-0.253106,-10.770706
0.075801,-0.257812,-10.770576
0.076957,-0.262479,-10.770444
0.078127,-0.267107,-10.770311
0.079310,-0.271700,-10.770175
0.080503,-0.276258,-10.770039
0.081705,-0.280783,-10.769900
0.082915,-0.285276,-10.769760
0.084130,-0.289739,-10.769618
0.085350,-0.294172,-10.769474
0.086574,-0.298577,-10.769329
0.087801,-0.302955,-10.769183
0.089030,-0.307305,-10.769034
0.090259,-0.311630,-10.768885
0.091489,-0.315929,-10.768734
0.092719,-0.320204,-10.768581
0.093948,-0.324454,-10.768427
0.095176,-0.328681,-10.768272
0.096401,-0.332885,-10.768115
0.097625,-0.337066,-10.767957
0.098846,-0.341225,-10.767798
0.100065,-0.345362,-10.767637
0.101280,-0.349477,-10.767475
0.102492,-0.353571,-10.767312
0.103701,-0.357644,-10.767148
0.104905,-0.361697,-10.766982
0.106106,-0.365729,-10.766816
0.107302,-0.369740,-10.766648
0.108494,-0.373732,-10.766479
