ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
6378137.000000,0.000000,0.000000
6378137.000000,0.000000,0.000000
6378137.000100,0.000100,-0.000100
6378137.000300,0.000300,-0.000300
6378137.000600,0.000600,-0.000600
6378137.001000,0.001001,-0.001000
6378137.001499,0.001501,-0.001500
6378137.002098,0.002103,-0.002099
6378137.002797,0.002804,-0.002799
6378137.003595,0.003607,-0.003598
6378137.004493,0.004511,-0.004496
6378137.005490,0.005515,-0.005495
6378137.006586,0.006598,-0.006593
6378137.007781,0.007731,-0.007790
6378137.009065,0.008910,-0.009087
6378137.010392,0.010131,-0.010484
6378137.011757,0.011390,-0.011980
6378137.013157,0.012683,-0.013576
6378137.014587,0.014007,-0.015271
6378137.016045,0.015360,-0.017066
6378137.017528,0.016739,-0.018960
6378137.019033,0.018141,-0.020953
6378137.020557,0.019565,-0.023046
6378137.022099,0.021010,-0.025238
6378137.023656,0.022472,-0.027530
6378137.025227,0.023952,-0.029921
6378137.026810,0.025448,-0.032411
6378137.028404,0.026958,-0.035001
6378137.030008,0.028481,-0.037690
6378137.031620,0.030018,-0.040479
6378137.033239,0.031566,-0.043367
6378137.034864,0.033125,-0.046354
6378137.036495,0.034695,-0.049440
6378137.038131,0.036275,-0.052626
6378137.039771,0.037865,-0.055912
6378137.041414,0.039463,-0.059296
6378137.043060,0.041070,-0.062780
6378137.044708,0.042686,-0.066364
6378137.046358,0.044309,-0.070046
6378137.048010,0.045940,-0.073828
6378137.049663,0.047579,-0.077710
6378137.051316,0.049225,-0.081691
6378137.052970,0.050879,-0.085771
6378137.054623,0.052539,-0.089950
6378137.056277,0.054206,-0.094229
6378137.057930,0.055881,-0.098607
6378137.059583,0.057562,-0.103085
6378137.061234,0.059249,-0.107662
6378137.062885,0.060944,-0.112338
6378137.064535,0.062645,-0.117113
6378137.066183,0.064352,-0.121988
6378137.067830,0.066066,-0.126963
6378137.069475,0.067787,-0.132036
6378137.071118,0.069515,-0.137209
6378137.072760,0.071249,-0.142482
6378137.074399,0.072989,-0.147853
6378137.076037,0.074736,-0.153324
6378137.077673,0.076490,-0.158895
6378137.079306,0.078251,-0.164564
6378137.080937,0.080018,-0.170333
6378137.082566,0.081792,-0.176202
