ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
0.286479,0.286479,0.235344
0.572935,0.572980,0.447007
0.859341,0.844609,0.637208
1.145675,1.088733,0.807959
1.431926,1.308007,0.961083
1.718087,1.504829,1.098233
2.004156,1.681366,1.220910
2.290136,1.839578,1.330470
2.576031,1.981236,1.428147
2.861845,2.107941,1.515055
3.137065,2.221140,1.592206
3.383052,2.322137,1.660522
3.602606,2.412106,1.720846
3.798260,2.492106,1.773943
3.972309,2.563095,1.820508
4.126827,2.625937,1.861172
4.263692,2.681414,1.896506
4.384602,2.730232,1.927027
4.491095,2.773030,1.953206
4.584561,2.810385,1.975466
4.666258,2.842820,1.994193
4.737325,2.870807,2.009735
4.798791,2.894773,2.022406
4.851588,2.915105,2.032492
4.896558,2.932152,2.040251
4.934463,2.946230,2.045916
4.965993,2.957627,2.049698
4.991772,2.966602,2.051787
5.012363,2.973387,2.052356
5.028277,2.978197,2.051561
5.039976,2.981223,2.049542
5.047876,2.982639,2.046427
5.052355,2.982602,2.042331
5.053755,2.981255,2.037356
5.052384,2.978727,2.031598
5.048521,2.975134,2.025141
5.042419,2.970582,2.018061
5.034307,2.965166,2.010427
5.024391,2.958975,2.002302
5.012856,2.952084,1.993741
4.999873,2.944567,1.984796
4.985594,2.936487,1.975513
4.970156,2.927901,1.965932
4.953685,2.918864,1.956091
4.936293,2.909422,1.946023
4.918082,2.899618,1.935759
4.899144,2.889493,1.925327
4.879562,2.879080,1.914750
4.859411,2.868412,1.904051
4.838760,2.857519,1.893250
4.817670,2.846426,1.882364
4.796196,2.835157,1.871411
4.774388,2.823733,1.860404
4.752291,2.812174,1.849357
4.729947,2.800498,1.838282
4.707392,2.788721,1.827188
4.684660,2.776856,1.816086
4.661780,2.764917,1.804983
4.638779,2.752917,1.793889
4.615682,2.740864,1.782809
4.592511,2.728770,1.771749
4.569285,2.716643,1.760716
4.546024,2.704490,1.749713
4.522741,2.692320,1.738746
4.499453,2.680138,1.727817
4.476172,2.667950,1.716932
4.452910,2.655761,1.706092
4.429677,2.643577,1.695300
4.406482,2.631402,1.684559
4.383335,2.619239,1.673872
4.360243,2.607092,1.663238
4.337213,2.594965,1.652661
4.314250,2.582859,1.642142
4.291360,2.570778,1.631682
4.268548,2.558725,1.621282
4.245818,2.546700,1.610943
4.223174,2.534706,1.600665
4.200620,2.522745,1.590450
4.178158,2.510818,1.580297
4.155792,2.498927,1.570208
4.133522,2.487073,1.560182
4.111353,2.475256,1.550220
4.089284,2.463479,1.540323
4.067318,2.451741,1.530489
4.045457,2.440044,1.520719
4.023700,2.428388,1.511014
4.002050,2.416774,1.501373
3.980507,2.405203,1.491796
3.959071,2.393675,1.482282
3.937744,2.382190,1.472833
3.916525,2.370749,1.463447
3.895416,2.359352,1.454124
3.874415,2.347999,1.444865
3.853524,2.336692,1.435668
3.832743,2.325429,1.426534
3.812071,2.314211,1.417462
3.791508,2.303039,1.408452
3.771054,2.291911,1.399504
3.750710,2.280830,1.390617
3.730474,2.269794,1.381791
3.710347,2.258803,1.373025
3.690329,2.247858,1.364320
3.670418,2.236959,1.355674
3.650616,2.226106,1.347088
3.630920,2.215298,1.338561
3.611332,2.204536,1.330093
3.591850,2.193820,1.321683
3.572474,2.183149,1.313331
3.553204,2.172524,1.305036
3.534040,2.161944,1.296799
3.514980,2.151410,1.288618
3.496024,2.140921,1.280494
3.477172,2.130478,1.272425
3.458423,2.120080,1.264413
3.439778,2.109726,1.256455
3.421234,2.099418,1.248552
3.402792,2.089155,1.240703
3.384452,2.078937,1.232909
3.366212,2.068764,1.225168
3.348073,2.058635,1.217480
3.330033,2.048551,1.209845
3.312092,2.038511,1.202262
3.294250,2.028516,1.194731
3.276506,2.018564,1.187253
3.258860,2.008657,1.179825
3.241311,1.998794,1.172448
3.223858,1.988975,1.165122
3.206501,1.979199,1.157846
3.189240,1.969467,1.150619
3.172074,1.959778,1.143442
3.155002,1.950133,1.136314
3.138024,1.940531,1.129235
3.121139,1.930972,1.122204
3.104347,1.921455,1.115221
3.087647,1.911982,1.108286
3.071040,1.902551,1.101398
3.054523,1.893163,1.094556
3.038097,1.883817,1.087762
3.021762,1.874514,1.081013
3.005516,1.865252,1.074311
2.989360,1.856032,1.067653
2.973292,1.846855,1.061041
2.957313,1.837719,1.054474
2.941421,1.828624,1.047952
2.925616,1.819571,1.041473
2.909899,1.810559,1.035039
2.894267,1.801589,1.028647
2.878721,1.792659,1.022299
2.863261,1.783770,1.015994
2.847885,1.774922,1.009732
2.832594,1.766114,1.003512
2.817386,1.757347,0.997333
2.802262,1.748620,0.991197
2.787221,1.739933,0.985101
2.772262,1.731286,0.979047
2.757385,1.722679,0.973033
2.742590,1.714112,0.967060
2.727875,1.705584,0.961127
2.713241,1.697095,0.955233
2.698688,1.688646,0.949379
2.684214,1.680236,0.943565
2.669819,1.671865,0.937789
2.655502,1.663533,0.932052
2.641265,1.655239,0.926353
2.627105,1.646984,0.920692
2.613022,1.638768,0.915069
2.599017,1.630589,0.909484
2.585088,1.622449,0.903936
2.571235,1.614347,0.898425
2.557457,1.606282,0.892950
2.543755,1.598256,0.887512
2.530128,1.590266,0.882110
2.516576,1.582315,0.876744
2.503097,1.574400,0.871414
2.489692,1.566522,0.866119
2.476360,1.558682,0.860859
2.463100,1.550878,0.855633
2.449913,1.543111,0.850443
2.436798,1.535381,0.845287
2.423755,1.527687,0.840165
2.410782,1.520029,0.835076
2.397881,1.512407,0.830022
2.385049,1.504821,0.825000
2.372288,1.497271,0.820012
