accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
0.217884,0.996108,-10.779996
0.202451,1.001723,-10.775990
0.188652,1.009216,-10.786009
0.171075,0.994382,-10.775569
0.150205,1.001362,-10.784286
0.132753,0.996094,-10.776545
0.125125,0.995739,-10.788044
0.105866,0.994897,-10.776454
0.106613,0.738720,-10.782823
0.095929,0.546261,-10.780478
0.085181,0.488625,-10.775854
0.080656,0.443927,-10.785887
0.067761,0.386095,-10.779390
0.068474,0.351509,-10.784063
0.055393,0.301022,-10.778177
0.070371,0.283797,-10.769777
0.060799,0.245675,-10.783518
0.057002,0.212514,-10.774800
0.053655,0.187638,-10.772903
0.048214,0.168398,-10.780970
0.050332,0.143406,-10.777510
0.050944,0.116110,-10.771330
0.044962,0.115924,-10.771773
0.055477,0.094363,-10.773500
0.050959,0.077474,-10.786078
0.059707,0.075102,-10.772698
0.048746,0.050025,-10.782072
0.051889,0.034784,-10.771360
0.052457,0.030046,-10.780208
0.058383,0.013181,-10.773394
0.055084,0.006394,-10.772688
0.059306,0.004243,-10.770788
0.058035,0.000166,-10.770558
0.059892,-0.007128,-10.774512
0.059664,-0.028171,-10.780173
0.069746,-0.028009,-10.772459
0.070289,-0.027756,-10.769991
0.063203,-0.033366,-10.782723
0.076662,-0.048987,-10.770046
0.081482,-0.060829,-10.781879
0.074258,-0.059907,-10.771916
0.084119,-0.057575,-10.771350
0.081132,-0.072859,-10.773405
0.080356,-0.059319,-10.770035
0.076682,-0.070617,-10.785233
0.082273,-0.074237,-10.777578
0.084213,-0.081877,-10.778733
0.077051,-0.080703,-10.773252
0.090503,-0.090668,-10.775854
0.094593,-0.082500,-10.779828
0.102655,-0.095561,-10.771020
0.097105,-0.092181,-10.776730
0.099475,-0.092928,-10.780446
0.106048,-0.106544,-10.781937
0.107534,-0.102717,-10.775549
0.117815,-0.106353,-10.775776
0.116535,-0.101405,-10.780845
0.120248,-0.109648,-10.782004
0.113558,-0.116481,-10.774954
0.118015,-0.111382,-10.777632
0.125436,-0.118827,-10.768255
0.124153,-0.118844,-10.758159
0.123127,-0.120681,-10.774567
0.130319,-0.129605,-10.770680
0.128906,-0.135158,-10.778395
0.125058,-0.128909,-10.783074
0.134527,-0.126075,-10.779510
0.143886,-0.137192,-10.767996
0.131818,-0.143926,-10.767831
0.138322,-0.142364,-10.773306
0.149822,-0.139689,-10.766877
0.145434,-0.144380,-10.786244
0.155086,-0.148113,-10.782831
0.154089,-0.150652,-10.787081
0.152856,-0.150170,-10.769098
0.155486,-0.146045,-10.776824
0.154500,-0.155015,-10.768906
0.158069,-0.157450,-10.764450
0.158902,-0.165543,-10.775261
0.159101,-0.161453,-10.782898
0.171613,-0.160057,-10.770090
0.167160,-0.163953,-10.778032
0.169617,-0.167939,-10.769436
0.171557,-0.166320,-10.772009
0.169288,-0.165223,-10.771670
0.177305,-0.173690,-10.776954
0.171223,-0.176538,-10.768938
0.183431,-0.174362,-10.770572
0.176041,-0.178741,-10.783144
0.178504,-0.173714,-10.773968
0.188284,-0.185797,-10.766088
0.186633,-0.182123,-10.763824
0.197841,-0.189201,-10.761994
0.192735,-0.184575,-10.768606
0.195079,-0.191609,-10.774316
0.196864,-0.193957,-10.772235
0.199125,-0.184845,-10.761174
0.195424,-0.199289,-10.770428
0.200339,-0.189793,-10.770438
0.202240,-0.207864,-10.775831
0.204238,-0.206734,-10.770489
0.196636,-0.206239,-10.771536
0.207168,-0.204643,-10.773711
0.221257,-0.215129,-10.777911
0.215391,-0.205549,-10.772830
0.215579,-0.208970,-10.766776
0.221592,-0.206876,-10.770606
0.219634,-0.216323,-10.783060
0.217067,-0.224359,-10.769401
0.228218,-0.221891,-10.762230
0.224400,-0.214123,-10.773248
0.219404,-0.232993,-10.779694
0.227371,-0.223879,-10.765261
0.232752,-0.228164,-10.769850
0.240087,-0.231627,-10.774348
0.228211,-0.227488,-10.773922
0.230821,-0.230217,-10.777763
0.237516,-0.231055,-10.769669
0.245121,-0.237961,-10.770846
0.243704,-0.241371,-10.772769
0.236983,-0.238430,-10.777156
0.242304,-0.241203,-10.769966
0.243973,-0.247842,-10.781286
0.243254,-0.242869,-10.769264
0.262732,-0.243874,-10.766570
0.254038,-0.248623,-10.776333
0.253867,-0.245503,-10.777065
0.251655,-0.254785,-10.762717
0.258392,-0.250159,-10.772314
0.266088,-0.246493,-10.765212
0.255892,-0.263481,-10.765224
0.268293,-0.255723,-10.765771
0.258586,-0.258636,-10.765631
0.265323,-0.261816,-10.765206
0.265750,-0.263903,-10.769889
0.268166,-0.262151,-10.762754
0.271811,-0.260239,-10.770256
0.273630,-0.265289,-10.761879
0.282055,-0.268863,-10.768097
0.270416,-0.270939,-10.774894
0.284681,-0.259231,-10.777301
0.277386,-0.268167,-10.763315
0.285691,-0.277039,-10.765596
0.280841,-0.277155,-10.766463
0.286606,-0.279949,-10.766351
0.291462,-0.276684,-10.762345
0.281620,-0.279691,-10.764403
0.293144,-0.279708,-10.773540
0.289911,-0.279637,-10.769818
0.292791,-0.286113,-10.777716
0.293925,-0.280334,-10.764302
0.300109,-0.289803,-10.767392
0.289171,-0.285097,-10.771283
0.301447,-0.283033,-10.771148
0.292769,-0.279033,-10.765829
0.298673,-0.299242,-10.763930
0.304417,-0.296553,-10.768957
0.303886,-0.289015,-10.769718
0.307054,-0.298201,-10.767881
0.306703,-0.305932,-10.757374
0.306160,-0.307236,-10.780666
0.306031,-0.298370,-10.773805
0.314556,-0.297984,-10.770270
0.312706,-0.299948,-10.767999
0.318085,-0.305560,-10.775083
0.312209,-0.305444,-10.773461
0.317387,-0.307009,-10.761449
0.320337,-0.312254,-10.768216
0.312684,-0.315914,-10.769212
0.322217,-0.311499,-10.785846
0.319637,-0.310862,-10.770122
0.329617,-0.314264,-10.767674
0.322972,-0.313068,-10.773509
0.320451,-0.319144,-10.774364
