ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
0.641427,0.113396,-10.780325
0.577673,0.101668,-10.780378
0.520722,0.090686,-10.780476
0.469933,0.080335,-10.780611
0.424729,0.070513,-10.780777
0.384601,0.061106,-10.780965
0.349082,0.052069,-10.781161
0.317715,0.043362,-10.781356
0.290088,0.034948,-10.781545
0.265828,0.026797,-10.781725
0.244601,0.018881,-10.781891
0.226104,0.011174,-10.782043
0.210067,0.003655,-10.782177
0.196243,-0.003695,-10.782294
0.184412,-0.010894,-10.782393
0.174374,-0.017956,-10.782473
0.165949,-0.024896,-10.782535
0.158977,-0.031724,-10.782578
0.153310,-0.038451,-10.782602
0.148818,-0.045086,-10.782609
0.145381,-0.051638,-10.782599
0.142894,-0.058113,-10.782572
0.141260,-0.064519,-10.782528
0.140392,-0.070859,-10.782469
0.140211,-0.077140,-10.782394
0.140648,-0.083365,-10.782305
0.141639,-0.089539,-10.782201
0.143126,-0.095664,-10.782084
0.145058,-0.101743,-10.781954
0.147388,-0.107780,-10.781811
0.150075,-0.113775,-10.781656
0.153080,-0.119733,-10.781489
0.156370,-0.125653,-10.781311
0.159914,-0.131537,-10.781122
0.163684,-0.137388,-10.780923
0.167655,-0.143205,-10.780713
0.171806,-0.148991,-10.780494
0.176114,-0.154746,-10.780265
0.180563,-0.160470,-10.780027
0.185136,-0.166165,-10.779780
0.189818,-0.171830,-10.779525
0.194596,-0.177468,-10.779262
0.199458,-0.183077,-10.778990
0.204392,-0.188659,-10.778711
0.209390,-0.194214,-10.778424
0.214442,-0.199743,-10.778130
0.219541,-0.205244,-10.777829
0.224679,-0.210720,-10.777521
0.229850,-0.216169,-10.777206
0.235049,-0.221593,-10.776884
0.240269,-0.226991,-10.776557
0.245507,-0.232364,-10.776223
0.250758,-0.237711,-10.775883
0.256019,-0.243034,-10.775537
0.261285,-0.248331,-10.775185
0.266555,-0.253604,-10.774828
0.271825,-0.258852,-10.774466
0.277092,-0.264075,-10.774098
0.282356,-0.269274,-10.773725
0.287613,-0.274449,-10.773347
0.292861,-0.279599,-10.772964
0.298101,-0.284725,-10.772577
0.303329,-0.289827,-10.772184
0.308544,-0.294906,-10.771787
0.313746,-0.299960,-10.771386
0.318934,-0.304991,-10.770980
0.324106,-0.309998,-10.770570
0.329262,-0.314981,-10.770156
0.334400,-0.319941,-10.769738
0.339522,-0.324877,-10.769316
0.344625,-0.329791,-10.768890
0.349709,-0.334681,-10.768461
