ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
0.000000,0.000000,0.000000
0.000041,0.002865,0.002865
0.000118,0.008594,0.008594
0.000228,0.017189,0.017189
0.000367,0.028648,0.028648
0.000533,0.042972,0.042950
0.000723,0.060029,0.059803
0.000934,0.079539,0.078943
0.001164,0.101245,0.100133
0.001410,0.124918,0.123157
0.001673,0.150348,0.147820
0.001948,0.177348,0.173945
0.002236,0.205747,0.201374
0.002535,0.235390,0.229962
0.002843,0.266139,0.259579
0.003159,0.297868,0.290107
0.003483,0.330463,0.321441
0.003813,0.363820,0.353483
0.004149,0.397847,0.386147
0.004489,0.432460,0.419354
0.004835,0.467584,0.453034
0.005183,0.503148,0.487122
0.005535,0.539093,0.521561
0.005890,0.575360,0.556298
0.006246,0.611901,0.591286
0.006605,0.648670,0.626482
0.006965,0.685625,0.661849
0.007326,0.722729,0.697350
0.007688,0.759949,0.732956
0.008050,0.797254,0.768637
0.008413,0.834618,0.804369
0.008776,0.872016,0.840129
0.009139,0.909425,0.875895
0.009502,0.946827,0.911649
0.009864,0.984202,0.947375
0.010225,1.021536,0.983058
0.010586,1.058813,1.018684
0.010946,1.096020,1.054240
0.011306,1.133146,1.089717
0.011664,1.170181,1.125104
0.012021,1.207114,1.160393
0.012377,1.243939,1.195575
0.012732,1.280646,1.230644
0.013086,1.317230,1.265594
0.013438,1.353684,1.300419
0.013789,1.390004,1.335114
0.014139,1.426185,1.369675
0.014487,1.462221,1.404098
0.014833,1.498111,1.438379
0.015179,1.533850,1.472516
0.015522,1.569436,1.506506
0.015864,1.604866,1.540346
0.016205,1.640139,1.574035
0.016544,1.675251,1.607571
0.016882,1.710202,1.640953
0.017217,1.744991,1.674179
0.017552,1.779616,1.707247
0.017884,1.814076,1.740159
0.018215,1.848370,1.772912
0.018545,1.882499,1.805506
0.018873,1.916461,1.837940
0.019199,1.950256,1.870215
0.019523,1.983884,1.902331
0.019846,2.017345,1.934286
0.020168,2.050639,1.966082
0.020488,2.083765,1.997718
0.020806,2.116725,2.029194
0.021122,2.149518,2.060511
0.021437,2.182144,2.091669
0.021750,2.214605,2.122668
0.022062,2.246899,2.153509
0.022372,2.279028,2.184192
0.022680,2.310993,2.214717
0.022987,2.342793,2.245085
0.023293,2.374429,2.275297
0.023596,2.405902,2.305352
0.023898,2.437212,2.335253
0.024199,2.468360,2.364998
0.024498,2.499347,2.394590
0.024795,2.530173,2.424027
0.025091,2.560839,2.453312
0.025386,2.591345,2.482445
0.025679,2.621693,2.511426
0.025970,2.651882,2.540256
0.026260,2.681915,2.568935
0.026548,2.711790,2.597466
0.026835,2.741510,2.625847
0.027120,2.771075,2.654080
0.027404,2.800485,2.682165
0.027686,2.829741,2.710104
0.027967,2.858845,2.737897
0.028246,2.887796,2.765544
0.028524,2.916596,2.793047
0.028801,2.945246,2.820406
0.029076,2.973745,2.847621
0.029349,3.002095,2.874694
0.029621,3.030296,2.901625
0.029892,3.058350,2.928416
0.030161,3.086257,2.955065
0.030429,3.114017,2.981576
0.030696,3.141633,3.007947
0.030961,3.169103,3.034180
0.031225,3.196429,3.060275
0.031487,3.223612,3.086234
0.031748,3.250653,3.112056
0.032007,3.277551,3.137743
0.032265,3.304309,3.163296
0.032522,3.330926,3.188714
0.032778,3.357404,3.213999
0.033032,3.383743,3.239151
0.033285,3.409943,3.264172
0.033536,3.436007,3.289061
0.033786,3.461933,3.313819
0.034035,3.487723,3.338448
0.034283,3.513378,3.362947
0.034529,3.538899,3.387318
0.034774,3.564285,3.411561
0.035018,3.589538,3.435677
0.035260,3.614659,3.459666
0.035501,3.639648,3.483529
0.035741,3.664506,3.507267
0.035980,3.689233,3.530881
0.036217,3.713831,3.554370
0.036453,3.738299,3.577737
0.036688,3.762639,3.600980
0.036922,3.786852,3.624102
0.037154,3.810937,3.647102
0.037385,3.834896,3.669982
0.037615,3.858729,3.692741
0.037844,3.882437,3.715381
0.038072,3.906020,3.737902
0.038298,3.929480,3.760305
0.038523,3.952816,3.782591
0.038747,3.976030,3.804759
0.038970,3.999123,3.826811
0.039192,4.022094,3.848747
0.039412,4.044944,3.870568
0.039631,4.067675,3.892275
0.039850,4.090286,3.913868
0.040067,4.112778,3.935347
0.040283,4.135153,3.956713
0.040497,4.157410,3.977968
0.040711,4.179550,3.999111
0.040923,4.201574,4.020143
0.041135,4.223482,4.041064
0.041345,4.245275,4.061876
0.041554,4.266954,4.082578
0.041762,4.288519,4.103172
0.041969,4.309971,4.123657
0.042175,4.331311,4.144035
0.042380,4.352538,4.164307
0.042584,4.373654,4.184471
0.042787,4.394659,4.204530
0.042988,4.415554,4.224484
0.043189,4.436339,4.244333
0.043388,4.457015,4.264077
0.043587,4.477582,4.283718
0.043784,4.498042,4.303256
0.043981,4.518394,4.322691
0.044176,4.538639,4.342025
