ref_mag_x (uT),ref_mag_y (uT),ref_mag_z (uT)
28.310346,-2.964415,-15.183974
28.312368,-2.974182,-15.178292
28.314378,-2.983895,-15.172635
28.316377,-2.993554,-15.167003
28.318363,-3.003158,-15.161395
28.320337,-3.012709,-15.155812
28.322299,-3.022206,-15.150253
28.324249,-3.031650,-15.144719
28.326188,-3.041041,-15.139210
28.328115,-3.050380,-15.133725
28.330030,-3.059666,-15.128264
28.331934,-3.068900,-15.122827
28.333826,-3.078083,-15.117414
28.335707,-3.087215,-15.112026
28.337577,-3.096296,-15.106661
28.339435,-3.105326,-15.101320
28.341283,-3.114305,-15.096003
28.343119,-3.123234,-15.090710
28.344944,-3.132114,-15.085440
28.346759,-3.140944,-15.080194
28.348562,-3.149725,-15.074972
28.350355,-3.158457,-15.069772
28.352137,-3.167140,-15.064597
28.353908,-3.175775,-15.059444
28.355669,-3.184361,-15.054315
28.357419,-3.192900,-15.049208
28.359159,-3.201392,-15.044125
28.360889,-3.209836,-15.039064
28.362608,-3.218233,-15.034027
28.364317,-3.226583,-15.029012
28.366016,-3.234887,-15.024020
28.367704,-3.243145,-15.019050
28.369383,-3.251356,-15.014104
28.371052,-3.259523,-15.009179
28.372710,-3.267643,-15.004277
28.374359,-3.275719,-14.999397
28.375998,-3.283750,-14.994539
28.377628,-3.291736,-14.989704
28.379248,-3.299678,-14.984890
28.380858,-3.307576,-14.980099
28.382459,-3.315429,-14.975329
28.384050,-3.323240,-14.970581
28.385632,-3.331007,-14.965855
28.387204,-3.338731,-14.961151
28.388767,-3.346412,-14.956468
28.390321,-3.354051,-14.951807
28.391866,-3.361647,-14.947167
28.393401,-3.369201,-14.942548
28.394928,-3.376713,-14.937951
28.396446,-3.384184,-14.933375
28.397954,-3.391614,-14.928820
28.399454,-3.399002,-14.924286
28.400945,-3.406349,-14.919773
28.402427,-3.413656,-14.915280
28.403901,-3.420922,-14.910809
28.405366,-3.428148,-14.906358
28.406822,-3.435334,-14.901928
28.408270,-3.442481,-14.897518
28.409709,-3.449588,-14.893129
28.411140,-3.456656,-14.888761
28.412562,-3.463684,-14.884412
28.413976,-3.470674,-14.880084
28.415382,-3.477625,-14.875776
28.416779,-3.484538,-14.871488
28.418169,-3.491413,-14.867220
28.419550,-3.498250,-14.862972
28.420923,-3.505049,-14.858744
28.422288,-3.511810,-14.854535
28.423646,-3.518535,-14.850347
28.424995,-3.525222,-14.846178
28.426336,-3.531872,-14.842028
28.427670,-3.538486,-14.837898
28.428996,-3.545063,-14.833787
28.430314,-3.551605,-14.829696
28.431624,-3.558110,-14.825623
28.432927,-3.564579,-14.821570
28.434222,-3.571012,-14.817536
28.435510,-3.577411,-14.813521
28.436790,-3.583774,-14.809525
28.438063,-3.590102,-14.805548
28.439328,-3.596395,-14.801589
28.440587,-3.602654,-14.797650
28.441837,-3.608878,-14.793729
28.443081,-3.615068,-14.789826
28.444317,-3.621224,-14.785942
28.445546,-3.627346,-14.782076
28.446768,-3.633434,-14.778229
28.447983,-3.639490,-14.774399
28.449191,-3.645511,-14.770588
28.450392,-3.651500,-14.766795
28.451586,-3.657456,-14.763020
28.452773,-3.663379,-14.759263
28.453954,-3.669270,-14.755524
28.455127,-3.675129,-14.751803
28.456294,-3.680955,-14.748099
28.457454,-3.686749,-14.744413
28.458607,-3.692512,-14.740745
28.459754,-3.698243,-14.737094
28.460894,-3.703942,-14.733461
28.462027,-3.709611,-14.729844
28.463154,-3.715248,-14.726246
28.464274,-3.720855,-14.722664
28.465388,-3.726430,-14.719100
28.466496,-3.731976,-14.715552
28.467597,-3.737490,-14.712022
28.468692,-3.742975,-14.708508
28.469781,-3.748430,-14.705012
28.470863,-3.753855,-14.701532
28.471939,-3.759250,-14.698069
28.473009,-3.764616,-14.694622
28.474073,-3.769952,-14.691192
28.475131,-3.775259,-14.687779
28.476183,-3.780537,-14.684382
28.477228,-3.785787,-14.681001
28.478268,-3.791007,-14.677637
28.479302,-3.796199,-14.674288
28.480330,-3.801363,-14.670956
28.481352,-3.806499,-14.667640
28.482368,-3.811606,-14.664340
28.483378,-3.816686,-14.661056
28.484383,-3.821738,-14.657788
28.485382,-3.826762,-14.654536
28.486375,-3.831759,-14.651299
28.487362,-3.836729,-14.648078
28.488344,-3.841672,-14.644873
28.489321,-3.846587,-14.641683
28.490291,-3.851476,-14.638509
28.491256,-3.856339,-14.635350
28.492216,-3.861174,-14.632206
28.493170,-3.865984,-14.629078
28.494119,-3.870767,-14.625965
28.495063,-3.875524,-14.622867
28.496001,-3.880255,-14.619784
28.496933,-3.884961,-14.616716
28.497861,-3.889641,-14.613663
28.498783,-3.894295,-14.610625
28.499700,-3.898924,-14.607601
28.500612,-3.903528,-14.604592
28.501518,-3.908107,-14.601598
28.502420,-3.912661,-14.598619
28.503316,-3.917190,-14.595654
28.504207,-3.921694,-14.592704
28.505093,-3.926174,-14.589768
28.505974,-3.930630,-14.586846
28.506851,-3.935061,-14.583939
28.507722,-3.939469,-14.581046
28.508588,-3.943852,-14.578167
28.509450,-3.948212,-14.575302
28.510306,-3.952548,-14.572451
28.511158,-3.956860,-14.569614
28.512005,-3.961149,-14.566791
28.512847,-3.965415,-14.563982
28.513684,-3.969658,-14.561186
28.514517,-3.973877,-14.558405
28.515345,-3.978074,-14.555637
28.516168,-3.982248,-14.552882
28.516987,-3.986399,-14.550141
28.517801,-3.990528,-14.547414
28.518610,-3.994634,-14.544700
28.519415,-3.998718,-14.541999
28.520215,-4.002780,-14.539312
28.521011,-4.006820,-14.536637
28.521803,-4.010838,-14.533976
28.522590,-4.014834,-14.531328
28.523372,-4.018809,-14.528694
28.524150,-4.022762,-14.526072
28.524924,-4.026693,-14.523463
28.525693,-4.030604,-14.520867
28.526458,-4.034493,-14.518283
28.527219,-4.038361,-14.515713
28.527976,-4.042208,-14.513155
28.528728,-4.046035,-14.510610
28.529476,-4.049840,-14.508077
28.530220,-4.053625,-14.505557
28.530960,-4.057390,-14.503050
28.531695,-4.061134,-14.500554
28.532427,-4.064858,-14.498071
28.533154,-4.068562,-14.495601
28.533877,-4.072246,-14.493143
28.534596,-4.075910,-14.490696
28.535312,-4.079554,-14.488262
28.536023,-4.083178,-14.485840
28.536730,-4.086783,-14.483430
28.537433,-4.090368,-14.481032
28.538133,-4.093934,-14.478646
28.538828,-4.097481,-14.476272
28.539520,-4.101009,-14.473910
28.540207,-4.104517,-14.471559
28.540891,-4.108007,-14.469220
28.541571,-4.111477,-14.466892
28.542248,-4.114929,-14.464576
28.542920,-4.118363,-14.462272
28.543589,-4.121778,-14.459979
28.544254,-4.125174,-14.457698
28.544915,-4.128552,-14.455428
28.545573,-4.131912,-14.453169
28.546227,-4.135254,-14.450921
28.546877,-4.138578,-14.448685
28.547524,-4.141883,-14.446460
28.548167,-4.145171,-14.444246
28.548806,-4.148442,-14.442043
28.549442,-4.151694,-14.439851
28.550075,-4.154929,-14.437669
28.550704,-4.158147,-14.435499
28.551329,-4.161347,-14.433340
28.551951,-4.164530,-14.431191
28.552570,-4.167696,-14.429053
28.553185,-4.170845,-14.426926
28.553797,-4.173977,-14.424809
28.554405,-4.177092,-14.422704
28.555010,-4.180191,-14.420608
28.555611,-4.183272,-14.418523
28.556210,-4.186337,-14.416449
28.556804,-4.189386,-14.414384
28.557396,-4.192418,-14.412331
28.557984,-4.195434,-14.410287
28.558569,-4.198433,-14.408254
28.559151,-4.201417,-14.406231
28.559730,-4.204384,-14.404218
28.560305,-4.207336,-14.402215
28.560878,-4.210271,-14.400222
28.561447,-4.213191,-14.398239
28.562013,-4.216095,-14.396266
28.562575,-4.218984,-14.394303
28.563135,-4.221857,-14.392350
28.563692,-4.224714,-14.390407
28.564245,-4.227556,-14.388474
28.564796,-4.230383,-14.386550
28.565343,-4.233195,-14.384636
28.565888,-4.235992,-14.382731
28.566429,-4.238773,-14.380836
28.566967,-4.241540,-14.378951
28.567503,-4.244292,-14.377075
28.568035,-4.247029,-14.375208
28.568565,-4.249751,-14.373351
28.569092,-4.252459,-14.371503
28.569615,-4.255152,-14.369665
28.570136,-4.257831,-14.367836
28.570654,-4.260495,-14.366016
28.571169,-4.263145,-14.364205
28.571682,-4.265781,-14.362403
28.572191,-4.268403,-14.360611
28.572698,-4.271010,-14.358827
28.573202,-4.273604,-14.357053
28.573703,-4.276184,-14.355287
28.574201,-4.278750,-14.353530
28.574697,-4.281302,-14.351783
28.575190,-4.283840,-14.350044
28.575680,-4.286365,-14.348313
28.576168,-4.288876,-14.346592
28.576652,-4.291374,-14.344879
28.577135,-4.293859,-14.343175
28.577614,-4.296330,-14.341480
28.578091,-4.298788,-14.339793
28.578565,-4.301233,-14.338114
28.579037,-4.303664,-14.336444
28.579506,-4.306083,-14.334783
28.579973,-4.308488,-14.333130
28.580436,-4.310881,-14.331485
28.580898,-4.313261,-14.329849
28.581357,-4.315628,-14.328221
28.581813,-4.317983,-14.326601
28.582267,-4.320325,-14.324989
28.582718,-4.322654,-14.323386
28.583167,-4.324971,-14.321790
28.583614,-4.327276,-14.320203
28.584058,-4.329568,-14.318624
28.584499,-4.331848,-14.317053
28.584939,-4.334116,-14.315489
28.585375,-4.336372,-14.313934
28.585810,-4.338615,-14.312387
28.586242,-4.340847,-14.310847
28.586671,-4.343066,-14.309315
28.587099,-4.345274,-14.307791
28.587524,-4.347470,-14.306275
28.587946,-4.349654,-14.304766
28.588367,-4.351827,-14.303266
28.588785,-4.353988,-14.301772
28.589200,-4.356137,-14.300287
28.589614,-4.358275,-14.298808
28.590025,-4.360401,-14.297338
28.590434,-4.362517,-14.295875
28.590841,-4.364620,-14.294419
28.591246,-4.366713,-14.292971
28.591648,-4.368794,-14.291530
28.592048,-4.370865,-14.290096
28.592446,-4.372924,-14.288670
28.592842,-4.374972,-14.287251
28.593235,-4.377009,-14.285839
28.593627,-4.379036,-14.284434
28.594016,-4.381051,-14.283037
28.594403,-4.383056,-14.281646
28.594789,-4.385050,-14.280263
28.595172,-4.387034,-14.278887
28.595553,-4.389006,-14.277518
28.595931,-4.390969,-14.276155
28.596308,-4.392921,-14.274800
28.596683,-4.394862,-14.273452
28.597056,-4.396793,-14.272110
28.597426,-4.398714,-14.270775
28.597795,-4.400624,-14.269447
28.598162,-4.402525,-14.268126
28.598526,-4.404415,-14.266812
28.598889,-4.406295,-14.265504
28.599250,-4.408165,-14.264203
28.599609,-4.410025,-14.262909
28.599965,-4.411876,-14.261621
28.600320,-4.413716,-14.260340
28.600673,-4.415546,-14.259065
28.601024,-4.417367,-14.257797
28.601373,-4.419178,-14.256536
28.601721,-4.420980,-14.255280
28.602066,-4.422772,-14.254032
28.602410,-4.424554,-14.252789
28.602751,-4.426327,-14.251553
28.603091,-4.428090,-14.250323
28.603429,-4.429844,-14.249100
28.603765,-4.431588,-14.247883
28.604099,-4.433324,-14.246672
28.604432,-4.435050,-14.245467
28.604762,-4.436767,-14.244268
28.605091,-4.438474,-14.243076
28.605418,-4.440173,-14.241890
28.605744,-4.441862,-14.240709
28.606067,-4.443543,-14.239535
28.606389,-4.445215,-14.238367
28.606709,-4.446877,-14.237204
28.607027,-4.448531,-14.236048
28.607344,-4.450176,-14.234898
28.607659,-4.451812,-14.233753
28.607972,-4.453440,-14.232615
28.608284,-4.455059,-14.231482
28.608593,-4.456669,-14.230355
28.608901,-4.458271,-14.229234
28.609208,-4.459864,-14.228118
28.609513,-4.461449,-14.227008
28.609816,-4.463025,-14.225904
28.610117,-4.464593,-14.224806
28.610417,-4.466153,-14.223713
28.610716,-4.467704,-14.222626
28.611012,-4.469247,-14.221544
28.611307,-4.470782,-14.220468
28.611601,-4.472309,-14.219398
28.611893,-4.473827,-14.218333
28.612183,-4.475338,-14.217273
28.612472,-4.476840,-14.216219
28.612759,-4.478334,-14.215170
28.613044,-4.479821,-14.214127
28.613329,-4.481300,-14.213089
28.613611,-4.482770,-14.212056
28.613892,-4.484233,-14.211029
28.614172,-4.485688,-14.210007
28.614450,-4.487136,-14.208990
28.614726,-4.488575,-14.207978
28.615001,-4.490008,-14.206972
28.615275,-4.491432,-14.205971
28.615547,-4.492849,-14.204975
28.615817,-4.494258,-14.203984
28.616086,-4.495660,-14.202998
28.616354,-4.497054,-14.202017
28.616620,-4.498441,-14.201041
28.616885,-4.499821,-14.200071
28.617149,-4.501193,-14.199105
28.617411,-4.502558,-14.198144
28.617671,-4.503916,-14.197188
28.617930,-4.505267,-14.196237
28.618188,-4.506610,-14.195291
28.618444,-4.507946,-14.194350
28.618699,-4.509276,-14.193414
28.618953,-4.510598,-14.192482
28.619205,-4.511913,-14.191556
28.619456,-4.513221,-14.190634
28.619706,-4.514522,-14.189716
28.619954,-4.515816,-14.188804
28.620201,-4.517104,-14.187896
28.620446,-4.518384,-14.186993
28.620690,-4.519658,-14.186095
28.620933,-4.520925,-14.185201
28.621175,-4.522185,-14.184312
28.621415,-4.523439,-14.183427
28.621654,-4.524686,-14.182547
28.621892,-4.525926,-14.181671
28.622128,-4.527160,-14.180800
28.622364,-4.528387,-14.179934
28.622597,-4.529608,-14.179072
28.622830,-4.530822,-14.178214
28.623062,-4.532030,-14.177361
28.623292,-4.533231,-14.176512
28.623521,-4.534426,-14.175668
28.623748,-4.535615,-14.174828
28.623975,-4.536797,-14.173992
28.624200,-4.537973,-14.173161
28.624424,-4.539143,-14.172334
28.624647,-4.540306,-14.171511
28.624869,-4.541464,-14.170692
28.625089,-4.542615,-14.169878
28.625308,-4.543760,-14.169067
28.625526,-4.544900,-14.168261
28.625743,-4.546033,-14.167460
28.625959,-4.547160,-14.166662
28.626174,-4.548281,-14.165868
28.626387,-4.549396,-14.165079
28.626600,-4.550505,-14.164293
28.626811,-4.551609,-14.163512
28.627021,-4.552706,-14.162735
28.627230,-4.553798,-14.161961
28.627438,-4.554884,-14.161192
28.627644,-4.555964,-14.160427
28.627850,-4.557039,-14.159665
28.628054,-4.558107,-14.158908
28.628258,-4.559170,-14.158154
28.628460,-4.560228,-14.157405
28.628661,-4.561280,-14.156659
28.628861,-4.562326,-14.155917
28.629060,-4.563367,-14.155179
28.629258,-4.564402,-14.154445
28.629455,-4.565432,-14.153714
28.629651,-4.566456,-14.152988
28.629846,-4.567475,-14.152265
28.630040,-4.568489,-14.151545
28.630233,-4.569497,-14.150830
28.630424,-4.570499,-14.150118
28.630615,-4.571497,-14.149410
28.630805,-4.572489,-14.148706
28.630993,-4.573476,-14.148005
28.631181,-4.574458,-14.147308
28.631368,-4.575434,-14.146614
28.631553,-4.576406,-14.145924
28.631738,-4.577372,-14.145238
28.631922,-4.578333,-14.144555
28.632104,-4.579289,-14.143876
28.632286,-4.580240,-14.143200
28.632467,-4.581186,-14.142528
28.632647,-4.582127,-14.141859
28.632826,-4.583063,-14.141193
28.633003,-4.583993,-14.140532
28.633180,-4.584920,-14.139873
28.633356,-4.585841,-14.139218
28.633531,-4.586757,-14.138566
28.633705,-4.587668,-14.137918
28.633879,-4.588575,-14.137273
28.634051,-4.589477,-14.136631
28.634222,-4.590374,-14.135993
28.634393,-4.591266,-14.135358
28.634562,-4.592154,-14.134727
28.634731,-4.593036,-14.134098
28.634898,-4.593915,-14.133473
28.635065,-4.594788,-14.132851
28.635231,-4.595657,-14.132232
28.635396,-4.596521,-14.131617
28.635560,-4.597381,-14.131005
28.635723,-4.598236,-14.130395
28.635886,-4.599087,-14.129790
28.636047,-4.599933,-14.129187
28.636208,-4.600775,-14.128587
28.636368,-4.601612,-14.127990
28.636527,-4.602445,-14.127397
28.636685,-4.603274,-14.126807
28.636842,-4.604098,-14.126219
28.636999,-4.604917,-14.125635
28.637154,-4.605733,-14.125054
28.637309,-4.606544,-14.124475
28.637463,-4.607351,-14.123900
28.637616,-4.608153,-14.123328
28.637768,-4.608951,-14.122758
28.637920,-4.609745,-14.122192
28.638070,-4.610535,-14.121629
28.638220,-4.611321,-14.121068
28.638369,-4.612102,-14.120511
28.638518,-4.612880,-14.119956
28.638665,-4.613653,-14.119404
28.638812,-4.614422,-14.118855
28.638958,-4.615187,-14.118309
28.639103,-4.615948,-14.117766
28.639247,-4.616705,-14.117225
28.639391,-4.617458,-14.116688
28.639534,-4.618208,-14.116153
28.639676,-4.618953,-14.115621
28.639817,-4.619694,-14.115092
28.639958,-4.620431,-14.114565
28.640098,-4.621164,-14.114041
28.640237,-4.621894,-14.113520
28.640375,-4.622620,-14.113002
28.640513,-4.623341,-14.112486
28.640650,-4.624059,-14.111973
28.640786,-4.624774,-14.111463
28.640921,-4.625484,-14.110955
28.641056,-4.626191,-14.110450
28.641190,-4.626894,-14.109947
28.641323,-4.627593,-14.109448
28.641456,-4.628288,-14.108950
28.641587,-4.628980,-14.108456
28.641719,-4.629669,-14.107964
28.641849,-4.630353,-14.107474
28.641979,-4.631034,-14.106987
28.642108,-4.631711,-14.106503
28.642236,-4.632385,-14.106021
28.642364,-4.633055,-14.105541
28.642491,-4.633722,-14.105064
28.642617,-4.634385,-14.104590
28.642743,-4.635045,-14.104118
28.642868,-4.635701,-14.103648
28.642992,-4.636354,-14.103181
28.643116,-4.637003,-14.102717
28.643239,-4.637649,-14.102254
28.643361,-4.638291,-14.101794
28.643483,-4.638931,-14.101337
28.643604,-4.639566,-14.100882
28.643725,-4.640198,-14.100429
28.643844,-4.640827,-14.099979
28.643964,-4.641453,-14.099531
28.644082,-4.642075,-14.099085
28.644200,-4.642695,-14.098642
28.644317,-4.643310,-14.098201
28.644434,-4.643923,-14.097762
28.644550,-4.644532,-14.097326
28.644665,-4.645138,-14.096891
28.644780,-4.645741,-14.096459
28.644894,-4.646341,-14.096030
28.645008,-4.646938,-14.095602
28.645121,-4.647531,-14.095177
28.645233,-4.648121,-14.094754
