gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
6378181.074932,165.505815,-142.361428,-2.647031,5.021573,1.992541
6378171.959305,178.839838,-142.590504,-3.529199,3.989819,2.698722
6378181.858167,159.856992,-132.232055,-4.075093,2.776667,3.197833
6378167.951966,186.743836,-125.588464,-4.415309,1.447374,3.644476
6378171.172795,183.330739,-132.743726,-4.315583,0.012695,3.982231
6378162.494109,167.887796,-128.455368,-3.913859,-1.184008,4.288563
6378148.590096,156.610902,-117.720465,-3.283639,-2.207457,4.358614
6378152.951582,171.114529,-120.632681,-2.296033,-3.075800,4.510953
6378157.717933,161.517505,-96.533768,-1.120800,-3.574474,4.413489
6378144.249560,165.263791,-89.983961,-0.917456,-4.522633,4.197038
6378147.116635,150.160495,-97.447903,-1.367124,-5.636524,4.169573
6378145.314402,155.577369,-93.872740,-1.515704,-5.776569,4.003875
6378148.566092,144.103335,-93.351917,-1.521048,-5.747048,3.971328
6378143.014161,142.285979,-85.113827,-1.544016,-5.933440,3.945157
6378147.184208,124.504910,-75.179762,-1.600340,-5.868390,3.826742
6378140.818401,123.969297,-76.620400,-1.632397,-5.917462,3.896857
6378140.390372,120.393635,-73.721469,-1.658267,-5.810539,3.859580
6378137.789874,118.942352,-72.334783,-1.682742,-5.919642,3.830340
6378133.952449,110.649921,-73.567894,-1.727430,-5.875618,3.874552
6378133.526847,99.133420,-73.403009,-1.630809,-5.834557,3.859096
6378138.121901,106.086285,-57.901093,-1.609702,-5.891582,3.857035
6378133.046823,87.546961,-60.426897,-1.577441,-5.865255,3.835756
6378130.886976,87.908264,-48.193834,-1.585829,-5.856666,3.846015
6378128.468886,83.575505,-63.494031,-0.792809,-6.436814,3.238502
6378129.063566,67.621895,-42.576083,0.704457,-6.779987,1.981828
6378132.157076,66.175926,-48.478539,1.993356,-6.596258,0.735614
6378128.025855,57.863088,-49.185758,3.259472,-5.995144,-0.373639
6378129.329403,57.383064,-41.370827,4.174261,-4.998333,-1.318573
6378148.463709,52.044332,-53.390319,4.779348,-3.803364,-2.098270
6378147.103048,47.867351,-68.750183,5.353858,-2.690582,-2.691754
6378150.537197,47.562558,-56.963105,5.581192,-1.518507,-2.988327
6378155.458943,39.972183,-50.200831,5.426332,-0.459594,-3.040196
6378173.943512,43.851792,-72.083728,5.425768,0.484734,-3.167571
